source,commentary
䷛,巽下兊上
大過,音相過之過
棟橈利有攸往亨彖曰大過大者過也,大者乃能過也
棟橈本末弱也,𥘉爲本而上爲末也
剛過而中,謂二也居隂過也處二中也拯弱興衰不失其中也
巽而說行,巽而說行以此救難難乃濟也
利有攸往乃亨,危而弗持則將安用故往乃亨
大過之時大矣哉,是君子有爲之時
象曰澤滅木大過君子以獨立不懼遯丗无悶,此所以爲大過非凡所及也
初六藉用白茅无咎,以柔處下過而可以无咎其唯愼乎
象曰藉用白茅柔在下也九二枯楊生稊老夫得其女妻无不利,稊者楊之秀也以陽處隂能過其本而救其弱者也上无其應心无特吝處過以此无衰不濟也故能令枯楊更生稊老夫更得少妻拯弱興衰莫盛斯爻故无不利也老過則枯少過則稚以老分少則稚者長以稚分老則枯者榮過以相與之謂也大過至衰而己至壯以至壯輔至衰應斯義也
象曰老天女妻過以相與也九三棟橈凶,居大過之時處下體之極不能救危拯弱以隆其棟而以陽處陽自守所居又應於上係心在下宜其淹溺而凶衰也
象曰棟橈之凶不可以有輔也九四棟隆吉有它吝,體屬上體以陽處隂能拯其弱不爲下所橈者也故棟隆吉也而應在初用心不弘故有它吝也
象曰棟隆之吉不橈乎下也九五枯楊生華老婦得其士夫无咎无譽,處得尊位而以陽處陽未能拯危處得尊位亦未有橈故能生華不能生稊能得夫不能得妻處棟橈之丗而爲无咎无譽何可長哉故生華不可乆士夫誠可醜也
象曰枯楊生華何可乆也老婦士夫亦可醜也上六過涉滅頂凶无咎,處大過之極過之甚也涉難過甚故至于滅頂凶志在救時故不可咎也
象曰過涉之凶不可咎也,雖凶无咎不害義也
