source,commentary
南華眞經卷第一郭象子玄註陸德明音義莊子內篇逍遥遊第一,夫小大雖殊而放於自得之場財物任其性事稱其能各當其分逍遙一也豈容勝⬤於其間哉音義曰內篇內者對外立名⬤文云篇書也字從竹從非者草名耳非也逍音銷亦作消遥如字亦作搖遊如字亦作游逍遥遊者篇名義取閒放不拘怡適自得夫音符埸直良切稱尺證切當丁浪切分符問切
北⬤有魚其名爲鯤鯤之大不知其幾千里也化而爲鳥其名爲鵬,鵬鯤之實吾所未詳也夫莊子之大意在乎逍遙遊放無爲而自得故極小大之致以明性分之適逹觀之士冝要其會歸而遺其所⬤不足事事曲與生⬤自不害其弘㫖皆可略之○北冥本亦作溟覔經切北海也嵇康云取其溟溟無涯也梁簡文帝云窅冥無極故謂之冥東方朔十洲記云水黒色謂之冥海無風洪波百丈鯤徐音昆李侯温反大魚名也崔譔云鯤當爲鯨簡文同幾居豈反下同鵬歩登反徐音朋郭甫登反崔音鳳云鵬即古鳳字非來儀之鳳也⬤文云朋及鵬皆古文鳳字也朋鳥象形鳳飛羣鳥從以萬數故以鵬爲朋黨字字林云鵬朋黨也古以爲鳳字夫音符發句之端皆同分符問反下皆同觀古亂反要一遥反
鵬之背不知其幾千里也怒而飛其翼若垂天之雲是鳥也海運則將徙於南冥南冥者天池也,非冥海不足以運其身非九萬里不足以⬤其翼此豈好奇哉直以大物必自生於大處大處亦必自生此大物理固自然不患其失又何措心於其間哉○垂天之雲司馬彪云若雲垂天旁崔云垂猶邊也其大如天一靣雲也海運司馬云運轉也向秀云非海不行故曰海運簡文云運徙也好呼報反下皆同處昌慮反下同厝七故反本又作措
齊諧者志怪者也諧之言曰鵬之徙於南冥也水擊三千里搏扶揺而上者九萬里,夫翼大則難舉故搏扶搖而後能上九萬里乃足自勝耳旣有斯翼豈得决然而起數仞而下哉此皆不得不然非樂然也○齊諧戸皆反司馬及崔並云人姓名簡文云書志怪志記也怪異也水擊崔云將飛舉翼擊水踉蹌也踉音亮蹌七亮反搏徒端反司馬云搏飛而上也一音搏崔云柎翼徘徊而上也扶搖徐音遥風名也司馬云上行風謂之扶搖爾雅云扶搖謂之颷郭璞云暴風從下上也上時掌反註同勝音升下同缺喜缺反下同數色主反下同樂音嶽又五孝反
去以六月息者也,夫大鳥一去半歲至天地而息小鳥一飛半朝槍榆枋而止此比所能則有間矣其於適性一也○槍七羊反枋音方
野馬也塵埃也生物之以息相吹也,此皆鵬之所慿以飛者耳野馬者遊氣也○野馬司馬云春月澤中遊氣也崔云天地間氣如野馬馳也埃音哀崔云天地間氣蓊鬱似塵埃揚也吹如字崔本作炊馮皮冰反本亦作慿
天之蒼蒼其正色邪其逺而無所至極邪其視下也亦若是則巳矣,今觀天之蒼蒼竟未知便是天之正色邪天之爲逺而無極邪鵬之自上以視地亦若人之自此視天則止而圖南矣言鵬不知道里之逺近趣足以自勝而逝○邪也嗟反⬤句不定之辭後放此
且夫水之積也不厚則⬤大舟也無力覆杯水於⬤堂之上則芥爲之舟置杯焉則膠水淺而舟大也,此皆明鵬之所以高飛者翼大故耳夫質小者所資不待大則質大者所用不得小矣故理有至分物有定極各足稱事其濟一也若乃失乎忘生之生而營生於至當之外事不任力動不稱情則雖垂天之翼不能無窮决起之飛不能無困矣○夫音符覆芳服反杯崔本作盃⬤於交反又烏了反李又伊九反崔云堂道謂之⬤司馬云⬤地令平支遁云謂有⬤垤形也芥古邁反徐古邁反一音古⬤反李云小草也膠徐李古孝反一音如字崔云膠著地也李云黏也稱尺證反後同濟子細反本又作齊如字之生本亦作王字當丁浪反後皆同
風之積也不厚則其⬤大翼也無力故九萬里則風斯在下矣而後乃今培風背⬤青天而莫之夭閼者而後乃今將圖南,夫所以乃今將圖南者非其好高而慕逺也風不積則夭閼不通故耳此大鵬之逍遙也○培音裴重也徐扶杯反又父宰反一音扶北反本或作陪風絶句背⬤青天一讀以背字屬上句夭於表反司馬云折也閼徐於葛反一音謁司馬云止也李云塞也
蜩與學鳩⬤之曰我決起而飛槍榆枋時則不至而控於地而巳矣奚以之九萬里而南爲,苟足於其性則雖大鵬無以自貴於小鳥小鳥無羡於天地而榮願有餘矣故小大雖殊逍遙一也○蜩音條司馬云蟬學鳩如字一音於角反本又作鷽音同本或作鷽音預崔云學讀爲滑滑鳩一名滑雕司馬云學鳩小鳩也李云鶻鵰也毛詩草木䟽云鶻鳩班鳩也簡文云月令云鳲鳩拂其羽是也決向徐喜抉反李呼穴反李順云疾貌槍七良反司馬李云猶集也崔云著也支遁云槍突也榆徐音踰木名也枋徐音方李云檀木也崔云木也或曰木名控苦貢反司馬云投也又云引也崔云叩也
