source,commentary
春秋經傳集解文上第八,釋丈丈公名興僖公子母聲姜謚法慈惠愛民曰文忠信接禮曰文
杜氏盡十年經元年春王正月公即位,無傳先君未葬而公即位不可嚝年無君
〇二月癸亥日有食之,無傳癸亥月一日不書朔官失之
〇天王使叔服來會葬,叔氏服字諸侯喪天子使大夫㑹葬禮也
〇夏四月丁巳葬我君僖公,七月而葬緩
〇天王使毛伯來錫公命,毛國伯爵諸侯爲王卿士者諸侯即位天子腸以命圭合瑞爲信僖十一年王賜晉侯命亦其比也錫星歷切比必利切例也又如字
〇晉侯伐衛,晉襄公先告諸侯而伐衛雖大夫親伐而稱晉侯從告辭也
〇叔孫得臣如京師,得臣叔牙之孫
〇衛人伐晉,衛孔達爲政不共盟主興兵鄰國受計喪邑故貶稱人喪息浪切
〇秋公孫敖會晉侯于戚,戚衛邑在頓丘衛縣西禮卿不會公侯而春秋魯大夫皆不貶者體例巳舉故據用魯史成文而巳內稱公卒稱薨皆用魯史
〇冬十月丁未楚丗子商臣弑其君頵,商臣穆王也弒君例在宣四年頵憂倫切又丘倫切
〇公孫敖如齊,傳例曰始聘焉禮也
傳元年春王使内史叔服來會葬公孫敖聞其能相人也,公孫敖魯大夫慶父之子相息亮切
見其二子焉叔服曰榖也食子難也收子,榖文伯難惠叔食子奉祭祀供養者也收子葬子身也見賢遍切下注孤見同食音嗣注同難乃多切又如字併俱用切養餘亮切
榖也豐下必有後於魯國,豐下蓋面方爲八年公孫敖奔莒傳
〇於是閏三月非禮也,於歷法閏當在僖公末年誤於今年三月置閏蓋時達歷者所譏
先王之正時也履端於始舉正於中歸餘於終,歩歷之始以爲術之端首朞之日三百六十有六日日月之行又有遲速而必分爲十二月舉中氣以正月有餘日則歸之於終積而爲閏故言歸餘於終朞居其切
履端於始序則不愆,四時無愆過愆起䖍切
舉正於中民則不惑,斗建不失其次寒暑不失其常故無疑惑
歸餘於終事則不悖,四時得所則事無悖亂悖必內切
〇夏四月丁巳葬僖公,傳皆不虚載經文而此經孤見知僖公末年傳宜在此下
〇王使毛伯衛來錫公命,衛毛伯字釋文一本作毛伯衛來錫公命又作天王使
叔孫得臣如周拜,謝賜命
○晉文公之季年諸侯朝晉衛成公不朝使孔達侵鄭伐緜訾及匡,孔逹衛大夫匡在潁川新汲縣東北訾子斯切伋居及切下同
晉襄公旣祥,諸侯雖諒闇亦因祥祭爲位而哭諒音良又音亮
使告于諸侯而伐衛及南陽,今河内地
先且居曰效尤禍也,尤衛不朝故伐今不朝王是效衛致禍時王在温故勸之且子餘切
請君朝王臣從師晉侯朝王于温先且居胥臣伐衛五月辛酉朔晉師圍戚六月戊戍取之獲孫昭子,昭子衛大夫食戚邑
衛人使告于陳陳共公曰更伐之我辭之,見伐求和不競大甚故使報伐示己力足以距晉共音恭更古孟切又音庚大音泰又如字
衛孔達帥師伐晉君子以爲古古者越國而謀,合古之道而失今事霸王之禮故國失其邑身見執辱
〇秋晉侯疆戚田故公孫敖㑹之,晉取衛田正其疆界疆居良切注同
〇初楚子將以商臣爲大子訪諸令尹子上子上曰君之齒未也,齒年也言尚少少詩照切下文同
而又多愛黜乃亂也楚國之舉恒在少者,舉立也
且是人也蠭目而豺聲忍人也,能忍行不義蠭本又作蜂芳逢切豺仕皆切
不可立也弗聽旣又欲立王子職而黜大子商臣,職商臣庶弟
商臣聞之而未察告其師潘崇曰若之何而察之潘崇曰享江芈而勿敬也,江芈成王妹嫁於江芈亡氏切史記以爲成王妾
從之江芉怒曰呼役夫,呼發聲也役夫賤者稱呼好賀切注同役夫如字稱尺證切
宜君王之欲殺女而立職也告潘崇曰信矣潘崇曰能事諸乎,問能事職不女音汝
曰不能能行乎曰不能能行大事乎曰能,大事謂弑君弒音申志切一本無此注
冬十月以宫甲圍成王,大子宫甲僖二十八年王以東宫卒從子玉蓋取此宫甲卒子忽切從如字又才用切
王請食熊蹯而死,熊掌難熟冀乆將有外救蹯音煩
弗聽丁未王縊謚之曰靈不瞑曰成乃瞑,言其忍甚未斂而加惡謚瞑亡丁切又亡千切斂力驗切
穆王立以其爲大子之室與潘崇使爲大師且掌環列之尹,環列之尹宫衛之官列兵而環王宫大音泰環如字又音患
〇穆伯如齊始聘焉禮也,穆伯公孫敖
凡君即位卿出並聘踐脩舊好要結外援,踐猶履行也好呼報切下同要於遙切援于眷切
好事鄰國以衛社稷忠信卑讓之道也忠德之正也信德之固也卑讓德之基也,傳因此發凡以明諸侯諒闇則國事皆用吉禮
殽之役,在僖三十三年
晉人旣歸秦帥秦大夫及左右皆言於秦伯曰是敗也孟明之罪也必殺之秦伯曰是孤之罪也周芮良夫之詩曰大風有隧貪人敗類,詩大雅隧蹊徑也周大夫芮伯刺厲王言貪人之敗善類若大風之行毀壞衆物所在成蹊徑師所類切芮如銳切詩大雅桑柔篇隧音遂敗必邁切注同蹊音兮徑古定切
聽言則對誦言如醉,言昏亂之君不好典誦之言聞之若醉得道聽塗說之言則喜而荅對誦似用切昏本亦作惛音昏
匪用其良覆俾我悖,覆反也俾使也不用良臣之言反使我爲悖亂覆芳服切俾本亦作卑必爾切注同
是貪故也孤之謂矣孤實貪以禍夫子夫子何罪復使爲政,爲明年秦晉戰彭衙傳復扶又切
經二年春王二月甲子晉侯及秦師戰于彭衙秦師敗績,孟明名氏不見非命卿也大崩曰敗績馮翊郃陽縣西北有彭衙城衙音牙見賢遍切郤戸納切
〇丁丑作僖公主,主者殷人以栢周人以栗三年喪終則遷入於廟
〇三月乙巳及晉處父盟,處父爲晉正卿不能匡君以禮而親與公盟故貶其族族去則非卿故以微人常稱爲耦以直厭不直不地者盟晉都去起吕切稱尺證切厭於渉切
〇夏六月公孫敖會宋公陳侯鄭伯晉士縠盟于垂隴,垂隴鄭地熒陽縣東有隴城士縠出盟諸侯受成於衛故貴而書名氏縠戸木切本亦作榖同隴力勇切
〇自十有二月不雨至于秋七月,無傳周七月今五月也不雨足爲災不書旱五榖猶有收收如字又乎又切
〇八月丁卯大事于大廟躋僖公,大事褅也躋升也僖公閔公庶兄繼閔而立廟坐宜次閔下今升在閔上故書而譏之時未應吉禘而於大廟行之其譏巳明徒以逆祀故特大其事異其文大音泰注及傳大廟同躋子兮切坐才卧切又如字
〇冬晉人宋人陳人鄭人伐秦,四人皆卿秦穆悔過終用孟明故貶四國大夫以尊秦伯
〇公子遂如齊納幣,傳曰禮也僖公喪終此年十一月則納幣在十二月也士昏六禮其一納采納徵始有玄緟束帛諸侯則謂之納幣其禮與士禮不同蓋公爲大子時巳行昏禮也纁許云切
傳二年春秦孟明視帥師伐晉以報殽之役二月晉侯禦之先且居將中軍趙衰佐之,代郤溱禦魚吕切將子匠切衰初危切溱側巾切
王官無地御戎,代梁弘
狐鞫居爲右,鞫居續簡伯鞫九六切
甲子及秦師戰于彭衙秦師敗績晉人謂秦拜賜之師,以孟明言三年將拜君賜故嗤之嗤尺之切
戰於殽也晉梁弘御戎萊駒爲右戰之明日晉襄公縛秦囚使萊駒以戈斬之囚呼萊駒失戈狼瞫取戈以斬囚禽之以從公乗遂以爲右箕之役,箕役在僖三十三年呼火故切瞫尺甚切字林式袵切乗繩證切
