春秋公羊經傳解詁	佳買反下音古訓也
隱公第一何休學	學者言爲此經之學即注述之意
元年正月	音征又音政後放此
開辟	婢亦反本亦作闢
之稱	尺證反下之稱卑稱同
徽號	許韋反
器械	戸戒反
夏以	户雅反後放此以意求之
物見	賢徧反下並見同
之治	直吏反
夫不	音扶
而去	起吕反下去同
刺欲	七賜反後皆同更不音
隱長	丁丈反注及下皆同
巳冠	工亂反下同
適子	丁歷反下同
醮於	子笑反
俱媵	以證反又繩證反
以上	時掌反他皆放此
扳隱	普顏反又必顏反引也舊敷閒反
能相	息亮反
背正	歩内反下同
爲桓	于僞反注同
繆公	音穆
貜且	俱縛反下子餘反
姪娣	大結反下大計反
愛爭	爭鬪之爭下同
邾	音誅
婁	力俱反邾人語聲後曰婁故曰邾婁禮記同左氏穀梁無婁字
儀父	音甫本亦作甫人名字放此
于眛	亡結反榖梁同左氏作蔑
及曁	其器反下皆同
曷爲	如字或于僞反後皆同此
襃之	保刀反
不見	賢徧反下皆同
爲其	于僞反注爲其獨爲皆同
歃血	所洽反又所甲反
詛命	莊慮反
約束	並如字一音上於妙反下音戍
故復	扶又反下復爲同
王魯	于況反下而王同一音如字後王魯皆放此
倡始	尺亮反
造次	七報反
其處	昌慮反
惡之	烏路反下惡不惡其皆同
大甚	音泰戓勑賀反
近正	附近之近
柯之	音歌
克段	徒亂反
于鄢	音偃
卻缺	去逆反下起恱反
忍戾	力計反
讞于	魚列反
宥之	音又赦也
内難	乃旦反下此難同
州吁	況于反
宰咺	況阮反一音況元反
之賵	芳仲反
稱禰	乃禮反
稱妣	必履反
乗馬	繩證反注乗馬同
玄纁	許云反
以共	音恭
曰賻	音附
曰襚	音遂
猶遺	唯季反
隱爲	于僞反下注爲并年末注同
吿于	古毒反一音古報反
歸唅	本又作含戸暗反下同
一使	所吏反
別公	彼列反
上僭	子念反
而治	直吏反下皆同
所傳	直專反下文所傳并注同
來被	皮寄反
于宿	音夙國名
者說	音恱
而逮	音代又大計反
故省	所景反後省文皆同
祭伯	側界反五年注放此
選舉	息變反
不肖	音笑
采邑	七代反
不日	人實反此傳皆以日月爲例後放此
見恩	賢徧反下見治皆同
少殺	所介反
麤觕	才古反又七奴反說文大也
諸夏	戸雅反凡諸夏皆放此
攅函	才官反下音咸
大平	音泰
母期	音朞
齊衰	音咨本亦作齋下七雷反
自盡	津忍反
二年惡其	烏路反
外好	呼報反
非朝	直遥反凡此字不音者皆同
踰竟	音境今本多即作境字更不音
所傳	直專反年末相傳同
莒人	音舉
入向	舒亮反國名
更相	音庚
報償	時亮反
擅興	市戰反
無駭	戸楷反
貶	彼檢反損也
昉於	甫往反適也
滅郜	古報反
復見	扶又反下不復同見音賢徧反
當爲	于僞反下爲後背隱同
背隱	音佩
履緰	音須左氏作裂繻
逺別	彼列反
猶譴	遣戰反
親迎	魚敬反注及下同
先女	悉薦反
妃匹	音配又芳非反
下治	直吏反
未離	力智反下同
將取	七住反
紀子伯	左氏作子帛
逺害	于萬反
將燔	扶元反
胡毋	音無
姒氏	音似
巳去	起吕反
卑下	遐嫁反
三年殺其	申志反下殺其君同
子翬	許韋反
諂謀	勑檢反
懦弱	乃亂反又乃臥反
越紼	音弗
以別	彼列反下同
恩殺	所界反
爲天	于僞反下故爲主爲傳所爲同
尹氏	左氏作君氏
子朝	如字
劉卷	音權
貶去	起吕反
見譏	賢徧反下同
造次	七報反
覆問	芳服反
孫順	音遜
宋繆公	音穆左氏作穆凡此後放此
北首	手又反
解緩	古邂反又古賣反
當時	丁浪反又如字下同
與夷	如字又音餘凡人名字及地名之類皆放首音借假字則時復重出
愛女	音汝下及注同
盍終	戸臘反四年傳同
公馮	皮氷反
生毋	音無下同
傳與	直專反下音與
馮弑	音試注同
不爭	爭鬪之爭
四年牟婁	武侯反
見疾	賢徧反年末見衆同
差爲	初賣反
弑其	申志反弑字從式殺字從殳不同也君父言弑積漸之名也臣子云殺卑賤之意也字多亂故時復音之可知則不重出也
君完	音丸
要之	一遥反注同
慢易	以豉反
與弑	音預下及注同
說子	音恱
將辟	音避今本多即作辟字後不更音
可復	扶又反
本爲	于僞反下自爲傳吾爲皆同
作難	乃旦反注同
禱解	丁老反或丁報反下古賣反又古買反
曰覡	户狄反
于濮	音卜一音剥
石碏	七畧反一音七洛反
簒	初患反
五年觀魚	左氏作矢魚
浚	思俊反
洙	常朱反
登來	依注登音得
罟	音古
鄣谷	之尚反又音章
未解	户買反或佳買反
故復	扶又反下不得復同
濟上	子禮反注同濟水之上
入盛	音成左氏作郕
將尊	子匠反注及下皆同
咎如	音羔
分別	彼列反
元率	所類反本又作帥
隱爲	于僞反下注同
下傚	戸敎反
八佾	音逸列也
之相	息亮反注及下同
自陜	失冉反何云弘農陜縣也一云當作郟古洽反王城郟鄏
邵公	上照反又作召音同
絀陟	勑律反
夫樂	音扶發句之端放此
朝廷	徒佞反
好義	呼報反下同
聞徴	張里反
好施	式豉反
不敢爭	爭鬪之爭
離也	力智反下同
姦邪	似嗟反
未曽	在能反下同
淫辟	匹亦反
釋縣	音玄
治定	直吏反
簫韶	常昭反
夏曰	戸雅反下同
大護	戸故反
伐紂	直久反
螟	亡丁反蟲食苗心
設苛	音河
彄卒	苦侯反
始見	賢徧反
彊	渠羌反下同
惡其	烏路反
六年輸平	式朱反墮也左氏作渝平
猶墮	許規反
狐壤	如丈反
見隱	賢徧反
獨惡	烏路反
死難	乃旦反
于艾	五蓋反
編年	必連反字林聲類皆布干反一音甫連反
昊天	戸老反
更年	音庚
暴師	歩卜反
七年從適	丁歷反本亦作嫡下同
賢行	下孟反下異行同
以酅	戸圭反
號稱	尺證反
美惡	烏路反又如字注同
所傳	直專反
見其	賢徧反
故復	扶又反
至令	力呈反
崩弛	尸爾反又式氏反
分別	彼列反
大廟	音泰下同
其難	乃旦反
惡凡	烏路反
八年要宋	一遥反
爲事	于僞反下欲爲魯爲小國爲桓并年末注皆同
使宛	於阮反人名也一音烏卯反又烏勉反
歸邴	彼命反又音丙鄭邑左氏作祊
皆從	才用反
巡守	手又反本又作狩下除猶守守視以外同
絜齊	側皆反本多即作齊字後放此更不音
而共	音恭下同
其費	芳味反
廣四	古壙反
袤四	音茂
稾榖	古老反
甚惡	烏路反下同
背叛	歩内反
録使	所吏反
循行	下孟反
度量	音亮
贄	音至
至嵩	夙忠反
歸格	本又作假同古百反
于禰	乃禮反本又作藝
復書	扶又反下故復同
難也	乃旦反一音如字注及下同
見重	賢徧反下同
包來	左氏作浮來
髙傒	音兮
公行	戸孟反
死難	乃旦反
令翬	力呈反
僅能	其靳反
之應	應對之應
九年震電	徒練反
雉雊	古豆反
可見	賢徧反
雨雪	于付反
俶甚	尺叔反始也
大甚	音泰
俠卒	音協榖梁云所俠
少畧	詩照反
于邴	左氏作防
十年復稱	扶又反又音服
明爲	于僞反下先爲同
公敗	必邁反凡臨佗曰敗皆同此音
于菅	古顏反
取郜	古報反
取闞	苦暫反
取漷	火虢反又音郭
及沂	魚依反
數動	所角反
因見	賢徧反下同
易也	以豉反下及注同
屬爲	音燭適也
入盛	左氏作郕後皆放此
十一年別外	彼列反
見法	賢徧反年末注同
復出	扶又反下文不復注故復同
祁黎	祁音巨之反又上之反黎音力兮反又力私反左氏作時來
爲弟	于僞反年末注同
數行	所角反
之釁	許靳反
弑也	申志反注及下並同
冠氏	古亂反下同
僵尸	居良反
之處	昌慮反
去正	起吕反
