文公第六何休學元年歸含	本又作唅戸暗反五年經同
且賵	芳鳳反
不爲	于僞反下不爲同
長幼	丁丈反
稱也	尺證反
來錫	思歴反
復發	扶又反
惡天	烏路反
無恙	餘亮反
于戚	午寂反
君髠	苦門反左氏作頵
二年彭衙	音牙本或作牙
惡	烏路反
其將	子匠反
今復	扶又反下不復皆同
重師	直用反
爲僖公廟	于僞反下蓋爲以爲下欲爲同
下壙	苦晃反又音曠
麤觕	才古反又七奴反
期年	音基三年同
人正	音征下同
別昭	彼列反下同
去氏	起吕反
士縠	户木反
垂斂	左氏作垂隴
大廟	音太下大祖皆同
隮僖	子兮反升也本又作躋同
大祫	音洽大祭
禘數	大帝反下所主反
室笮	側白反
炊沐	昌垂反下音木
東郷	許亮反下同
猶諦	音帝
不礿	羊畧反
先禰	乃禮反
喪取	七住反本亦作娶同
之好	呼報反
傳之	直專反
慟	杜貢反
三年伐沈	音審國名
沈潰	户内反
新使	所吏反
雨螽	于付反下及注同一音如字螽音終
而隊	直類反注同
隋地	大果反
地上	時掌反
醇	音純
爲王	于僞反
貴近	附近之近
重出	直用反
爲諼	許元反
四年不爲	于僞反
録使	所吏反
見與	賢徧反
寗俞	乃定反下音餘
五年加飯	扶晚反
宰咺	況阮反
去天	起吕反下同
任宿	音壬
顓臾	音專下音榆
入鄀	音弱
六年侯讙	好官反
數如	所角反
射姑	音亦又音夜榖梁作夜
君漏	力豆反此也
言泄	息列反又以制反
姑將	子匠反下同
不說	音恱下同
刺陽	七亦反又
十一年伐圈	求阮反一音卷說文作圈字林臼万反二傳作麇
于鹹	音咸
復	扶又反
于犂	力知反又力兮反
狄行	下孟反
十二年而笄	古兮反
逺別	彼列反
使遂	二傳作術
賢繆	音穆
諓諓	徐在淺反又子淺反又音牋尚書作截淺薄貌也賈逵注外傳云巧言也
善竫	在井反撰也本或作諞皮勉反又必淺反本作譔七全反又仕勉反
俾君	必爾反注同使也
易怠	以豉反注同
輕隋	大臥反
一介	古拜反一介猶一槩也尚書音古賀反
斷斷	丁亂反專一也注同
佗技	其綺反
一槩	古愛反
竒巧	其冝反本又作琦同
休休	許虬反美大貌
曲折	之設反
數興	所角反
不別	彼列反下同
及運	二傳作鄆後皆同
十三年盈爲	于僞反下文盈爲爲周公皆同
故復	扶又反
籧篨	其居反下直居反
世室屋壞	二傳作大室
大廟	音泰下同
以養	餘亮反注皆同
供養	九用反下同
死以爲	如字注死以爲周公主同
千乗	繩證反
有王	于況反
趣郷	許亮反
騂	息營反
犅	音岡詩作剛騂犅赤脊也
爲盛	成政反又音成粢盛也在器曰盛
公燾	徒報反一本作濤音同冒也
冒也	亡報反
公廩	力甚反
財令	力呈反下同
于沓	徒合反
于斐	本又作棐芳尾反
之難	乃旦反
十四年爲臣	于僞反下爲後故爲同
侯潘	普干反
更相	音庚下吴楚更同
篡弑	申志反下同
趙盾	徒本反
星孛	歩内反徐扶憒反
並爭	爭鬪之爭
接菑	在妾反又如字下側其反二傳作捷菑
百乗	繩證反
沛若	普貝反有餘貌
貜且	俱縛反下子餘反
壓之	於甲反又於輒反服也
齊復	扶又反下同
也長	丁丈反注同
見挈	賢徧反下音苦結反
惡商	烏路反
卓子	勑角反
分別	彼列反
惡乎	音烏
十五年華孫	戸化反
見宋	賢徧反
惡二	烏路反下皆同
筍將	音峻竹箯也將送也
竹箯	婢緜反一音歩賢反服䖍音編韋昭音如頻
編	必緜反一音篇郭璞音歩典反
輿	音餘
爲叔	于僞反下父爲子爲若爲實爲同
傳送	直專反
令受	力呈反下同
解也	户買反
不省	所景反
其郛	芳夫反郭也
恢郭	苦回反大也
郷者	許亮反下同
幾亦	音祈
十六年爲叔	于僞反
乃復	扶又反下同
犀丘	音西左氏作郪丘榖梁作師丘
潄	素侯反
浣	戸管反
令自	力呈反
暴揚	歩卜反
巴人	布加反
處臼	二傳作杵臼
以別	彼列反
梟	古堯反
斬要	一遥反
刎	亡粉反
頭	如字本又作脰音豆
十七年聖姜	二傳作聲姜
十八年伯罃	乙耕反何云穆公也左氏穆公子康公
復見	扶又反下同下賢徧反
弑也	音試下及注同
