宣公第七何休學元年差輕	初賣反
摘巢	吐狄反
刳胎	口孤反
復屬	音燭
叢棘	才工反
冔	況甫反
要絰	一遥反
又孫	音遜
濟	子禮反
遺齊	唯季反
兼將	子匠反
斐林	芳尾反
閒	音閑
貿	音茂
二年華元	戸化反
夷獔	戸刀反又古刀反二傳作夷皐
三年則扳	普顏反又甫姦反
于滌	大歷反養牲宫名
迭生	大結反
更王	音庚下于況反
賁渾	舊音六或音奔下户門反二傳作陸渾
鄭繆	音穆
四年公爲	于僞反
五年爲重	直用反下同
六年見何	賢徧反
升餕	音俊
己趨	音紀
是樂	音落
有人何	本又作荷胡可反又音河
畚	音本
爲解	佳賣反又如字
摮	五羔反又苦交反猶􁑞也
􁑞	口弔反擊也
愬	所革反又訴路反
心怍	在洛反
魚飧	音孫
祁彌	工支反
頸	居郢反
自斷	音短
重門	直容反
擊柝	他洛反
而食	音嗣下同
仡然	魚乙反
躇	丑畧反與踱同一本作辵音同
劇不	其據反本亦作遽
比周	毗志反
之獒	五刀反
而踆	音存以足逆躢之
逆躢	徒臘反
其頷	户感反
蚤免	音早
不說	音恱
黒臀	徒門反
剽	匹妙反
七年爲伐	于僞反
八年難辭	乃旦反
編	必連反
屬	音燭
曰彤	羊弓反
謂楯	食允反
人扞	户旦反
頃熊	音傾
無訒	音刃
莫者	音暮
九年諱亟	去兾反
未期	音基
十年及僤	本又作闡昌善反
取蘱	類又力對欺類二反
贍振	常艶反
十一年公孫寗	乃定反音寧
十二年斷曰	音短
藉	在夜反
沛焉	普蓋反
墝埆	上苦交反下音礐
多索	所白反舊本作䇿音索
屢往	力住反又作數音朔
數千	所主反
扈養	餘亮反
艾草	魚廢反
杅不	音于
喪費	芳味反
可掬	九六反注同
扳	普顏反又必顏反
造舟	七報反
而佚	音逸注同
欲壞	音怪
十三年秋􁈰	音終
十四年者惡	烏路反
十五年得與	音預
憊矣	皮誡反
柑馬	其廉反以木銜馬口
大貊	亡百反
之費	芳味反
數萬	所主反
以食	音嗣
伉健	苦浪反一音苦杏反
塾	音淑
莫	音暮
蝝生	與專反
十六年宣謝災	左氏作宣榭火
十七年錫我	思曆反
于鞌	音安
斷道	音短又大短反
十八年節斷	音短
賢行	下孟反
墠帷	音善埽地張帷
之殺	所戒反
怨懟	直類反
