哀公第十二何休學元年復見	扶又反下賢徧反
恩殺	所戒反
二年漷東	火虢反徐音郭
及沂	魚依反
句繹	古侯反下音亦
不與	音預
可爲	于僞反
不去	起吕反
見挈	賢徧反下去結反
于栗	一本作秩二傳作鐵
惡失	烏路反
三年上爲	于僞反下爲輒爲衞不爲同
不中	丁仲反
復立	扶又反下及注同
見者	賢徧反下同
兩觀	工喚反
開陽	左氏作啓陽開者爲漢景帝諱也
樂髠	苦昆反
惡大	烏路反
治	直吏反
大平	音泰
四年盜殺	音試下同
近罪	附近之近
戎曼	音蠻
卑宋	必利反下同
西郛	芳夫反
蒲社	左氏作亳社
揜之	意冉反
背天	音佩
俠轂	古洽反下古木反十三年同
驂乗	繩證反十三年同
天去	起吕反
滕頃	音傾
五年城比	本又作芘亦作庇同音毗左氏作毗
閏數	所主反下及注月數閏數同
六年邾婁葭	音加又音遐左氏作邾瑕
魯數	所角反
未曽	才能反
狄之行	下孟反
于柤	莊加反
君舎	二傳作荼音舒
爲諼	況元反
千乗	繩證反
析玉	思歷反
爲後	于僞反下乞爲同
矯也	居兆反
期而	音基下同
難言	乃旦反
鎧	苦代反
巨囊	乃郎反又音託
中􁆤	力又反
色然	如字本又作垝居委反驚駭貌本或作危
闖然	丑鴆反又丑甚反一音丑今反見貌字林云馬出門貌丑衽反
逡巡	七旬反
七年皇瑗	于眷反
于鄫	似陵反
隗子	五罪反
惡魯	烏路反
復入	扶又反
八年侯燬	況委反
及僤	昌善反一音昌然反字林作左氏作闡
爲以	于僞反
故復	扶又反
伯過	古禾反
所喪	息浪反
九年雍丘	於用反
易也	以豉反下同
陷阱	才性反
爲征	于僞反
十年薛伯寅	二傳作伯夷同音以尼反
十一年袁頗	破多反
艾陵	五蓋反
與伐	音預下不與伐同
十二年爲河	于僞反下爲同宗同
爲率	音律又音類
一乗	繩證反
故復	扶又反
橐皐	章夜反一音託
于運	左氏作鄖
􁈰	音終本亦作螽注同
當見	賢徧反
十三年于嵒	五咸反一音魚及反
易也	以豉反下同
鄭復	扶又反秋以下注同
報償	時亮反
男成	本亦作戌
反背	音佩
當見	賢徧反年内皆同
惡諸	烏路反
魏多	左氏作魏曼多
之費	芳味反下同
孛于	音佩
彗星	囚歳反又息遂反
主治	直吏反
燔書	扶元反
陳夏	户雅反一本作廉
彄夫	苦侯反又古侯反一本作嫗音同二傳作夏區夫
十四年西狩	手又反
獲麟	力人反
薪采	音新
主芟	所銜反
艾	魚廢反
采樵	在焦反
去周	起吕反
行夏	户雅反下子夏同
爲獲	于僞反下爲獲孰爲注爲誰知爲皆同
鸛	音權
鵒	音欲
振振	之人反
大平	音泰下大平皆同
拊石	芳甫反
援神	音袁
麒麟	音其
有麏	本又作麇亦作麕皆九倫反麞也
反袂	彌世反衣袖也
涕	他禮反
沾袍	歩刀反又歩報反衣前襟也
襟也	音金
王於	于況反下火王而王之王同
從橫	子容反
駈除	並如字又上丘具反下直據反
曰噫	於其反
咄嗟	丁忽反
天喪	息浪反
予	羊汝反我也
祝斷	丁管反
所傳	直專反注傳聞同
以復	扶又反
臣見	賢徧反下欲見同
少殺	所戒反下同
子般	音班
道浹	子協反一本作帀
瑞應	應對之應
撥亂	卜末反理也
莫近	附近之近又如字
演孔	以善反
其爲	于僞反注所爲同
是與	音餘下及注同
