春秋榖梁傳隱公	隱公名息姑惠公之子周文王八世孫平王四十九年即位
第一范甯集解元年正月	音征又如字後皆放此
焉成之	於䖍反
隱長	丁丈反又作丈音同
之惡	烏各反下注之惡同
惡桓	烏路反下其惡桓同
弑之	申志反又作殺如字下同
信道	音申下同
信邪	似嗟反下及注皆同
已探	吐南反
千乗	繩證反公侯之國賦千乗
蹈道	上徒報反履行之名也下如字
邾	音誅國名
儀父	凡人名字皆音甫後放此更不重音
于眛	音蔑地名左氏作蔑注下皆同
美稱	尺證反
以上	時掌反
不日	人實反不日謂不書日也榖梁皆以日月爲例他皆放此
渝也	羊朱反變也
于鄢	音偃地名
見段	賢徧反
大辟	婢亦反
積思	直吏反
宰咺	況阮反注同
仲子	惠公之母也與左氏不同
之賵	芳鳯反注及下同
乗馬	繩證反四馬曰乗
曰襚	音遂
曰含	户暗反口實也又作唅
曰賻	音附
祭伯	側界反
來朝	直遥反
寰内	音縣古縣字一音環又音患寰内圻内也
畿内	本或作圻音祈
鍭矢	音候又音侯
出竟	音境本或作境下同
埸	音亦
聘遺	唯季反
之好	呼報反
當稟	彼錦反
日卒	人實反下不日卒同
股肱	古弘反
二年以見	賢徧反下同
下屬	章玉反
不黷	徒木反
皆放	甫往反後此例不音
皆氐	丁兮反本又作底
別種	章勇反
知者	音智
能斷	丁亂反
者守	如字注同
莒人	音舉
入向	舒亮反
時惡	烏各反下次惡同
無侅	音該又戸楷反左氏作駭
履緰	音須左氏作裂繻下注同
爲其	于僞反注來爲同
有當	丁浪反
故去	起吕反下同
以別	彼列反
美惡	烏路反又如字
舎族	音捨
或厭	於葉反
繼弑	音試
長子	丁丈反下注伯長同
親迎	魚敬反
不復	扶又反
子伯	如字長也左氏作子帛
夫稱	尺證反
常處	昌慮反
隱殺	音試
壞宫	音怪又户怪反
三年日有食之	本亦作蝕音同後皆放此
大量	音亮
下賢	遐嫁反
爲消	于僞反
外壤	而丈反
所吞	勑恩反又音天
咽者	於見反
不見	如字又賢徧反
之饉	渠吝反
見於	賢徧反又如字
不可知知也	上知如字下知音智
太上	並如字
夫名	音符發句之端皆同
相別	彼列反
尹氏	如字周大夫也左氏作君氏
詔相	息亮反
稱諡	市至反後皆同
短	丁緩反
折	時設反下同
有壽	市又反又如字
宋繆公	音穆本亦作穆
之使	所吏反下同
史䇿	本又作筴初革反
殺君	音弑下同
足算	素緩反數也
宋共	音恭本亦作恭下同
悉去	起吕反
四年伐杞	音起
牟婁	亡侯反
易辭	以豉反
所見	賢徧反
蓋爲	于僞反
所惡	烏路反又如字
於傳者	直專反
祝吁	香于反左氏公羊及詩作州吁
弑其	音試釋舊作殺注下同
君完	本又作皃音丸
今復	扶又反
翬	音暉下同
皆去	起吕反
與于	音預
于濮	音卜
之挈	本又作挈苦結反注同
致令	力呈反下同
惡也	烏各反注同
嫡長	丁歷反下丁丈反下同
建儲	直魚反
名分	扶問反
無嬖	必計反
五年觀魚	如字左氏作矢魚
䱷人	音魚
之難	乃旦反
入郕	音成注同
將卑	子匠反注同
爲其母	于僞反
長子	丁丈反
舞夏	户雅反注及下同
八佾	音逸列也
降殺	色界反
始僭	子念反
僭侈	昌是反又尺是反
螟	亡丁反
公子彄	苦侯反
乃暴	歩卜反本或作曝暴露也
僅而	渠吝反
之行	下孟反
不塡	音田
不復	扶又反下同
塡厭	於甲反
毆	丘于反注同
壞宫	音怪一户怪反
六年輸平	失朱反墮也左氏作渝平
墮也	許規反壞毁之也
壞前	音怪又户怪反
于艾	五蓋反
七年之娣	徒細反女弟曰娣
媵之	以證反又繩證反
從也	才用反下同一音如字
以上	時掌反
共事	音恭本亦作供
愆期	起䖍反
取妻	七喻反
必少	詩照反下文及注同
滕侯	徒登反
長曰	丁丈反注同
狄道也	戎狄之道
長嫡	本又作適丁歷反
爲保	于僞反下爲其同
刺公	七賜反
之稱	尺證反
逺別	彼列反下同
之使	所吏反注同
猶愈	羊主反
過諸侯	古臥反又古禾反
在疆	本又作壃亦作強音姜
埸	音亦
致餼	許氣反牲腥曰餼
伐鮮	音仙
八年使宛	於阮反
歸邴	彼病反一音丙左氏作祊
惡與	烏路反注及下同
去其	起吕反
擅易	市戰反
不別	彼列反
無復	扶又反
廢朝	直遥反下同
覲	巨靳反諸侯春見天子曰朝秋見曰覲
若令	力呈反
之參	七南反
交喪	息浪反
盟詛	莊慮反下文同
誥	古報反
誓	市制反
五帝	孔安國云少昊顓頊髙辛唐虞鄭玄有黃帝無少昊餘同范依鄭
顓頊	音專下音許玉反
帝嚳	苦篤反髙辛帝名
三王	夏商周也
夏殷	戸雅反下同
鈞臺	音均
景亳	歩各反
盟津	音孟本亦作孟
交質	音置注同
二伯	如字又音霸齊桓晉文
召陵	上照反
包來	音苞一音浮左氏作浮來
螟	亡丁反
貶去	起吕反
若俠	音協九年經同
九年以別	彼列反
祭伯	側界反下同凡國名邑名及人名氏皆於始音後不復出若假借之字時復重音後放此
之好	呼報反
殷覜	他弔反
之慝	他得反惡也
閒問	閒厠之閒
歸脤	市軫反祭肉也
致禬	戸外反或古外反
震電	徒練反
霆也	徒丁反又徒頂反
雨雪	于付反
䟽數	色角反
劉向	舒亮反
以見	賢徧反下同
當復	扶又反
十年以見	賢徧反
篡殺	音試
數會	色角反
公敗	必邁反又皮邁反注同
于菅	古顏反
取郜	古報反字林工竺反
取訾	子斯反
不重	直用反
逐北	如字又音佩本又作逐奔
復取	扶又反
伐載	如字本或作戴
其易	以䜴反下文同
其惡	烏各反
惡入	烏路反
十一年薛侯	息列反
巡守	音狩本亦作狩
犆言	音特獨也本或作特
累數	所主反注同
之比	必利反
君弑	音試
