文公	襄王二十六年即位名興
第六范甯集解元年隱去	起吕反
以見	賢徧反
繼弑	申志反
貴稱	尺證反
來錫	星歷反
采地	音菜地本又作邑
于戚	倉寂反
弑其	申志反傳同
君髠	苦門反
篡立	初患反
夷夏	户雅反
謹識	如字又巾志反
二年彭衙	音牙
爲僖公廟	于僞反
所馮	皮冰反
長尺	直亮反又如字下同
壞廟	音怪下同
易檐	以占反
伉也	苦浪反
爲公	于僞反
去處父	起吕反下同
髙傒	音兮
差降	初賣反又初佳反
士榖	户木反本又作縠九年同
垂斂	如字左氏作垂隴
大廟	音泰注及傳大祖同
躋僖	子兮反升也
祫也	户夾反下及注皆同
昭穆	音韶穆下及傳同
南郷	音向下同
雖長	丁丈反
以先	悉薦反下同
于禰	乃禮反
雉雊	古豆反雉鳴也
傎倒	丁田反下丁老反
三年伐沈	音審
沈潰	戸内反
以守	手又反
雨螽	于付反下同下音終
茅茨	在思反茅草也茨蒺蔾也
見於	賢徧反
有難	乃旦反
自解	音蟹又古買反
四年爲其	于僞反
公與	音餘注同
反覆	芳服反
夫人與	音豫注同
有貶	彼檢反
甯俞	羊朱反
五年歸含	户暗反釋舊作唅
且賵	芳鳳反
飯用	扶晚反
賵襚	音遂
于殽	户交反
乗馬	繩證反下同
皆令	力呈反
相者	息亮反
稽顙	音啓下息黨反
葦席	于鬼反
從竟	音境
主爲	于僞反
入鄀	音若
六年侯驩	好官反
累上	劣僞反下同或如字
漏言	魯豆反
上泄	息列反又以制反
上聾	魯公反
否塞	備鄙反
夜姑	左氏作射姑
趙盾	徒本反
攻伐	如字又音貢
惻隱	初力反
佐女	音汝
以語之	魯慮反
竟上	音境
士造	七報反
辟而言	必亦反君也注同
詭辭	九委反
猶朝	直遥反注及下同
朝朝	上如字下直遥反
莫夕	音慕
敢泄	息列反
不數	所古反或所具反
叢	徂供反
七年須句	其俱反
城郚	音吾
壬臣	本或作王臣
令狐	力丁反
輟戰	丁劣反
為將	子匠反
于扈	音户
喪取	七住反本亦作娶
八年衡雍	於用反
雒戎	音洛本或作伊雒之戎誤
以見	賢徧反
九年無復	扶又反
刺公	七賜反
箕鄭	居其反
使萩	子遥反又子小反或作菽左氏作椒
而見	賢徧反
共公	音恭
十年之胄	直又反
國近	附近之近
女栗	音汝
厥貉	亡白反
十一年伐麋	九倫反
郤缺	苦恱反
來朝	直遥反
敗狄	必邁反
于鹹	音咸
于麗	力知反
莒挐	女居反
佚害	大結反更也害本又作宕
猶更	音庚
堅強	其丈反
打擿	直隻反
射其	食亦反下注同
廣一	古曠反
長百	直亮反
斷其	丁管反
眉見	賢徧反
於軾	音式
不重	直用反注同
創	初羊反
為內	于偽反注同
造次	七報反
顛沛	音貝
十二年郕伯	音成
來朝	直遙反
而冠	江喚反下及注同
而娶	七住反
譙周	在遥反
而笄	古兮反
先是	蘇徧反
後是	户豆反
茍比	毗志反或如字
得復	扶又反
曰鰥	古頑反
禮爲	于僞反
服長	丁丈反
使術	音述
巳亟	去兾反數也注同
有難	乃旦反
十三年籧	其居反
篨	直居反
大室	音泰傳皆同
不復	扶又反
于沓	徒荅反
于棐	芳匪反
十四年侯潘	浦干反
星孛	歩内反
猶茀	李軌扶憒反徐邈扶勿反一音歩勿反又音弗
魁中	苦回反
邪亂	似嗟反
並殺	音試
捷菑	在接反下側其反
長轂	古木反
五百乗	繩證反下及注同
歩卒	子忽反
夐入	況盛反逺也
貜且	俱縛反下子餘反
方悟	五故反
正適	丁歴反
爲受	于僞反
貍蜃	力之反下市軫反
踰竟	音境下同
殺其	音試本又作弑傳及注同
單伯	音善
十五年華孫	户化反
奉使	所吏反
爲好	呼報反
以見	賢徧反
官稱	尺證反年末注同
來朝	直遥反
以難	乃旦反
介我	音界注同
其郛	芳俘反
十六年欲去	起吕反
爲厭	於豔反
師丘	左氏作郪丘公羊作犀丘
復行	扶又反又音服注復使及下注而復皆同
弑其	申志反
杵臼	昌吕反下其九反
十七年諸侯會于扈	范云言諸侯者義與上十五年同亦諸侯皆會公獨不與恥而畧之
十八年伯罃	乙耕反
弑其	申志反後悉同
使舉	所吏反注同
不稱介	音界下同副使也
而數	所主反
之稱	尺證反
惡宣	烏路反注惡不奉同
敬嬴	音盈依左傳應作頃熊
姪娣	大結反下音弟
共養	並如字一讀上九川反下餘亮反
