襄公	名午簡王十四年即位
第九范甯集解元年復入	扶又反
于鄫	似陵反
壬夫	而林反
來朝	直遥反下注同
孫剽	匹妙反
二年伯睔	古困反
而稱	尺證反注同
之將	子亮反
齊姜	如字齊諡也一音側皆反後齊歸同
故爲	于僞反
三年長樗	丑居反
受使	所吏反
而復	扶又反
四年杞	音起
五年子巫	亡符反
爲我	于僞反
善稻	吳謂之伊緩左氏作善道
曽夷	才登反又如字
不復	扶又反
其數	音朔
六年來朝	直遥反
莒人滅繒	似陵反立其甥爲後異姓故言滅也
別之	彼列反下同
以莅	音利又音類
七年郯子	音談
來朝	直遥反下同
城費	音祕
于鄬	本又作䧦于詭反
髠	苦門反本又作郡或作頵頵音於倫反左氏作髠頑
于操	七報反
見以	賢徧反
弑而	音試下及注同
故去	起吕反
踰竟	音境
背華	音佩
八年公子濕	本又作隰同音濕又音燮二十年同左氏作燮
邢丘	音刑
見魯	賢徧反
九年于戲	許冝反
十年于柤	莊如反
復夷	扶又反下不復皆同
傅陽	左氏作偪陽
蓋爲	于僞反
一眚	所景反
則并	必性反又如字
汲鄭	音急引也
所殺	音試下同
爲楚	于僞反
驕蹇	紀輦反
公子斐	芳尾反左氏作騑
惡上	烏路反注同
數反	所角反
覆	芳服反
十一年將皆	子匠反
舎中	音捨
京城北	左氏京作亳
復伐	扶又反注同
鄭與	音豫
挈國	苦結反
是傳	直專反
十二年圍邰	本又作台他來反又音臺
攻守	手又反又如字
蓋爲	于僞反
入鄆	音運
惡季	烏路反
十三年取邿	音詩
共王	音恭
十四年孫蠆	丑邁反
于向	舒亮反
君弑	音試
與知	音豫
華閱	音恱
十五年向戌	舒亮反下音恤
劉夏	戸雅反注同
過我	音戈
成郛	音孚郭也
十六年溴梁	古闃反溴梁地名
十七年邾子瞷	音閑左氏作牼
十八年言朝	直遥反下同
其使	所吏反下同
同與	音餘注同
負芻	初俱反
十九年祝柯	古何反
復伐	扶又反下及注皆同
伐齊與	音餘
漷水	火虢反又音郭水名
軋	於八反委曲也
惡盟	烏路反
冝墠	音善除地也
乎介	音界副使也
二十年于向	舒亮反
澶淵	市然反
陳侯之弟光	左氏作黃
惡也	烏路反注同
二十一年以漆	音七
閭丘	力居反
來朝	直遥反
商任	音壬
二十三年伯匄	古害反
卑我	必二反
復入	扶又反
雍渝	於用反又如字下陽朱反左氏渝作榆
惡其	烏路反下傳惡之同
聶北	女輒反
中道	丁仲反又如字
蘧伯	其居反
輕行	遣政反又如字
二十四年孫羯	居謁反
陳鍼	其廉反
冝咎	其九反
之嗛	去簟反不足貌
之饉	音近
臺榭	音謝
堊飾	烏路反又烏洛反
弛侯	式氏反弛廢也侯射侯也
廷道	徒佞反朝廷之道也一音庭
二十五年弑其	音試注同
爲此	于僞反下爲其同
重丘	直龍反
屈建	居勿反
公孫夏	戸雅反
吳子謁	左氏作遏
見以	賢徧反下同
脩守	手又反或如字
門人射	食亦反
矢創	初良反
二十六年弑其	音試下文及注皆同
君剽	匹妙反
其日	人實反
侯衎	苦旦反本作衍
見知	賢徧反
實與	音豫下同
殺其	如字
世子座	在禾反
踰竟	音境
二十七年孔奐	呼亂反
喜弑	音試下弑君皆同
而復	扶又反
惡獻	烏路反
弟專	左氏作鱄
己雖	音紀
見獻	賢徧反
織絇	其俱反
邯鄲	上寒下丹
與約	如字又於妙反下同
爲約	于僞反本或作盟約
背之	音佩
二十八年來朝	直遥反
二十九年閽弑	音昬守門人也下音試下同
餘祭	側界反
寺人	本又作侍人
不近	附近之近下同
臧否	音鄙又方九反
不狎	户甲反
邇怨	於願反又於元反注同
仇之	音求
杞復	扶又反
使札	側八反
之尊稱	尺證反
北燕	音烟國名
姞姓	其乙反又其吉反
三十年薳罷	于委反下音皮
弑其	音試下盡蔡般傳及注皆同
與夷	如字又音餘夷宋殤公名
子般	音班本或作班
髡之	苦門反
以別	彼列反
見以	賢徧反下同
少辟	音避下同
遂逮	音代又大計反
爲行	下孟反
長子	丁丈反
共姬	音恭注同
惡之	烏路反
所爲	于僞反
以見	賢徧反
更宋	音庚償也
所喪	息浪反注同
償其	時亮反
三十一年大子	音泰
弑其	音試
