定公	名宋昭公庶弟敬王十一年即位
第十一范甯集解元年見無	賢徧反下注所見同
聽治	直吏反
之處	昌慮反
敢背	音佩
耕芸	本又作耘音云
不艾	魚廢反
爲旱	于僞反
去讓	羌吕反
是舎	音捨
焉請	於䖍反
應上	時掌反
道之	音導下同
詒託	以之反
煬宫	餘亮反煬公之廟也煬公伯禽子
二年兩觀	工喚反注及下文同闕也
欲令	力呈反
差可	初賣反
三年子穿	音川
于拔	皮八反地名
四年國夏	戸雅反
召陵	詩照反
公孫姓	音生又如字
皐鼬	叟又反
故復	扶又反
劉卷	音權
采地	七代反
寰内	音縣又音環
吳信	音申又如字
而攘	如羊反却也
挾弓	戸牒反又子協反
闔廬	戸臘反下力居反
見不	賢徧反
爲是	于僞反下不爲匹夫爲是皆同
朝於	直遥反注同
囊瓦	乃郎反
南郢	以井反又以正反
數年	所主反
易無	以豉反
壞宗	音怪注同
撻平	上達反
樂縣	音玄下同
能亢	苦浪反
御之	魚吕反
不肖	音笑
而奮	方問反
三敗	必邁反
復立	扶又反注同楚國復立也
五年見其	賢徧反
惡也	烏路反
子翬	許韋反
六年三家張也	如字一音亮反注同
七年于鹹	音咸
八年惡之	烏路反
侯柳	良久反
曲濮	音卜
九年伯蠆	丑邁反
分器	扶問反
惡得	音烏注同惡猶於何
堤下	丁兮反又音蹄
十年頰谷	古協反左傳作夾谷
爲危	于僞反
相焉	息亮反下兩相同
壇	徒丹反封土曰壇
鼓譟	素報反羣呼曰譟
羣呼	火故反
合好	呼報反注同
使禦	魚吕反
逡巡	七旬反
屬其	意欲反語也注同
夫人	音扶注同夫人謂孔子也
語也	魚吕反
之行	下孟反
幕	音莫帳也
優俳	皮皆反
欲嗤	尺之反
鄆讙	好官反
蓋爲	于僞反
以見	賢徧反
圍郈	音后
曁宋	其器反
仲佗	大河反注同
石彄	苦侯反
所強	其丈反
十一年者渝	羊朱反變也
惡之	烏路反下同
取夫	音扶
叔還	音旋
十二年墮郈	許規反毁也
違背	音佩
墮費	音祕
十三年垂葭	音加
淵囿	音又
比蒲	音毗
吉射	食夜反或食亦反
君比	必履反又毗志反
十四年晉趙陽	左氏作衞趙陽
佗人	徒河反又如字
子牂	作郎反
敗吳	必邁反
檇	音醉
于牽	云賢反
于洮	他刀反
歸脤	市軫反生祭肉也
熟曰膰	音煩本或作煩
蒯瞶	苦怪反下五怪反
之行	下孟反
十五年來朝	直遥反
鼷鼠	音兮
一處	昌慮反
渠蒢	直居反
弋氏	羊職反哀公之母左氏作姒氏
於長	丁丈反
帥之	所類反
不爲	于僞反
下稷	如字􁀈也左氏作􁀈
晡時	布吳反
定弋	左氏作定姒
