哀公	名蔣敬王二十六年即位
第十二范甯集解元年不見	賢遍反下復見同
今復	扶又反
斛角	音糾又音求
有差	初賣反
則否	方九反
不復	扶又反下同
滌宫	徒歷反
敢擅	市戰反
施	式氏反又如字
始庀	匹爾反具也下同
管鍵	其展反又其偃反
監	古銜反
享道	許丈反注同
二年漷東	火虢反又音郭
沂西	魚依反
句繹	古侯反下音亦
不與	音預
來朝	直遥反
欲弑	本又作殺同音弑
信父	音申
書篡	初患反
得復	扶又反
曩日	乃黨反
□	本又作矛亡侯反
楯	常允反又音允
則拒	音巨
邪也	似嗟反
于鐵	他結反
三年曼姑	音萬
者辟	音避
有難	乃旦反
樂髠	苦門反
四年盜弑	音試下及注皆同
微殺	如字注同
陳夏	戸雅反
區夫	烏侯反
辟中	音避
即殺	如字殺賊同
弑君	音試
頃公	音傾
五年杵臼	昌呂反
不數	所主反
六年于柤	荘加反
子軫	之忍反
君荼	音舒又音徒一音丈加反
當去	起呂反
見當	賢遍反
子糾	居黝反
後殺	如字
惡之	烏路反
七年瑗	于眷反
曼多	音萬
于繒	在陵反
而擅	市戰反
表惡	烏路反傳及注同
八年及闡	尺善反
惡內	烏路反
伯過	音戈
九年雍邱	於用反
易辭	以豉反下及注同
將劣	子匠反
十年以見	賢徧反
孟彄	苦侯反
十一年轅頗	破河反
艾陵	五蓋反
十二年今別	如字又彼列反
爲官	于僞反
官稅	舒銳反
夏謂	戸雅反
諱取	如字又七住反
橐皐	章夜反一音託
于鄖	音云
螽	音終
十三年于嵒	五咸反
易	以豉反下同
祝髮	之六反斷也
斷也	音短
以辟	音避
蛟龍	音交
累累	如字猶數數也
數數	所角反
尊稱	尺證反下同
夫差	音扶下初佳反
星孛	音佩
區夫	烏侯反
十四年西狩	手又反
不出	如字又赤遂反
矣夫	音扶
不王	于況反下王德同
關雎	七余反
之應	於敬反
自爲	于僞反
其適	如字適之也
道喪	息浪反
鸜	音權又音劬
鵒	音欲
蜮	音或
