曲禮下第二凡奉	本亦作捧同芳勇反
提者	徒兮反
上衡	時掌反衡謂心平也
綏之	依注音妥湯果反又他回反謂下於心也
勝	音升
操幣	七刀反
行舉足	一本作行不舉足
曳	以制反
踵	支勇反
磬折	之列反又市列反一音逝
垂佩	歩内反本或作珮非
佩倚	范於綺反謂附身也徐又音其綺反
有藉	在夜反下同
則裼	星曆反
藉藻	音早本又作繅
見美	賢遍反
璧琮	才冬反
姪	大節反字林丈一反
娣	大計反
家相	息亮反
長妾	丁丈反下注長老同
辟天子	音避本又作避下同
僭	作念反
傚	胡孝反
使	音史
射	市夜反
則辭以疾	如字本又作有疾
爲疾	如字本又作疚音救
去國三世	鄭云自祖至孫盧王云世歳也萬物以歳爲世
於朝	直遥反下皆同
復立	扶富反下復還同
臧紇	恨發反徐胡切反沈胡謁反
不爲父	于僞反
作諡	音示
倒筴	多老反
去塵	羌吕反下徹猶去去琴瑟同
傎	丁田反
重素	直龍反注同重素衣裳皆素
袗絺	之忍反單也
士輤	千見反
葦席	于鬼反
爲其	于僞反
苞屨	白表反草也
扱	初洽反
衽	而審反
厭冠	於渉反伏也
藨	白表反一音扶苗反
齊衰	本又曰齊音咨下七雷反下文同
蒯	苦怪反
之菲	扶味反屨也
方板	字又作版音同
書賵	芳仲反車馬曰賵
廏車	九又反
凡家造	才早反一本作凡家造器器衍字
犧賦	許冝反
養器	羊尚反一如字
不粥	音育賣也
不衣	於旣反
去國祭器不踰竟	音境注及下同一本作大夫士去國下去國踰竟亦然
寓祭	魚具反寄也
覬已	音兾
爲壇	徐音善注同
郷國	許亮反
撤縁	恱絹反
鞮屨	都兮反又徒兮反鞮屨屨無絇
素簚	本又作幭莫曆反注同白狗皮覆笭
髦馬	音毛
不蚤	依注音爪謂除爪也
鬋	子淺反鄭云謂翦鬢也
無絇	求俱反
覆笭	力丁反車䦨
不鬄	吐曆反又他計反
不自說	亦劣反又如字
惡其	烏路反
接見	賢遍反下文見國君注謂見同
爲幕	莫曆反又音莫
勞之	力報反注及下君勞同
還辟	婢亦反下同還辟逡巡也
使者	色吏反
非見	賢遍反下大夫見士見下注拜見同
辟正	音避
男女相荅拜也	一本作不相荅拜皇云後人加不字耳
逺別	彼列反
麛	音迷
卵	力管反
生乳	如注反
祭肺	芳廢反
不縣	音玄下同
皆爲	如字舊于僞反下爲妨于僞反
憂樂	音洛
岀疆	居良反下同
不恙	羊尚反
分職	方云反徐扶問反
皆擯	必刄反
予一人	依字音羊汝反鄭云余予古今字則同音餘
皆祝辭也	本或作皆祝祝辭也下祝字之又反又之六反
畛於	之忍反致也
某父	音甫注同
大祝	音泰下文注除大宗皆同
百辟	必亦反
登假	音遐注同巳也
登上	時掌反下同
若僊	音仙
措之	七故反置也
而祔	音附
有嬪	音頻
卝人	革猛反又虢猛反徐故猛反卝人掌金玉錫石未成器者
陶	音桃陶人爲瓦器也
瓬	方往反瓬人爲簠簋之屬
築	音竹築氏爲書刀
冶	音也冶氏爲箭鏃
鳧	音符鳧氏爲鐘也
段	本又作鍜多亂反段氏爲錢鎛
函	音含函人爲甲鎧
韗	況万反一音運一音況運反韗人爲鼓
萑葦	音丸
曰亨	許兩反獻也舊許亮反後皆放此不復重岀
其治	直吏反
其㑹	古外反
之長	丁丈反後皆同
自陜	式冉反依字當作何休注公羊傳云弘農陜縣是也一云當爲郟古洽反謂王城郟鄏也
召公	時照反又作邵音同
一相	息亮反
其擯	本又作儐必刄反
天子謂之伯父	本或有同姓二字衍文
曰牧	牧養之牧徐音目
辟二	音避下同
謙稱	尺證反
當依	本又作扆同於豈反注同狀如屏風畫爲黼文髙八尺
而見	賢遍反下文注除相見皆同
覲	其靳反
當宁	徐珍吕反又音儲門屏之閒曰宁
夏	戸嫁反
唁	音彦榖梁傳云弔失國曰唁
取易	以豉反
於卻	丘逆反
涖牲	音利徐力二反又音類
曰盟	音明徐亡幸反
卻閒	如字又音閑
坎用	苦感反徐又苦敢反後同
嗇夫	音色
自謂寡人	一本作自稱
適子	音的
其行	下孟反
使於	色吏反下同
濟濟	子禮反
蹌蹌	本又作鶬或作鏘同七良反
僬僬	子妙反
體盤	歩丹反
蹙	將六反
之妃	芳非反
􁅈人	而樹反
貶於	彼檢反
去上	羌吕反
小童	本或作僮
陪重	直恭反
之稱	尺證反
使自稱	色吏反注使謂同本或作使者自稱
所逺	于万反
爲奪	于僞反
則號	戸刀反
度其	侍各反
物齊	才細反
儗人	魚起反注同猶比也
所䙝	息列反
數地	色主反下數畜同
數畜	許又反鄭注周禮云始養曰畜
歳徧	音遍本又作遍下同
句芒	古侯反下音亡
蓐收	音辱
玄冥	亡丁反
禋祀	音因
中􁆤	力救反
爲其	于僞反
復廢	扶又反
妄祭	本亦作無福
索牛	所白反注同求也
犧牷	音全一本作純
於滌	直的反養牲宫也徐又同弔反
大武	如字一音泰
剛鬣	力輒反
豚曰	徒門反
腯肥	徒忽反注同本或作豚
翰音	戸旦反長也
羮獻	古衡反徐又音衡
槀魚	苦老反乾魚
鮮魚	音仙
脡祭	他頂反徐唐頂反直也
薌	音香
合	如字或音閤
薌萁	字又作箕同音姬語辭也王音期期時也
稷曰明粢	音咨一本作明粱古夲無此句
嘉䟽	本又作𬞞色魚反
韭	音久
曰鹹	本又作醎音咸
鹺	才何反
曰量	音亮又音良
作腯	徒忽反
翰長	如字
稻菰	音孤本又作苽音同
爲人	于僞反
傎壞	音顚
澌也	本又作同音賜盡也
曰柩	音舊白虎通云究也久也
曰降	户江反又音絳落也注同
曰漬	辭賜反
相瀐	子廉反
汙	穢汙之汙一作汗戸旦反
祖妣	必履反媲也
皇辟	婢亦反法也徐扶亦反
稱號	尺證反下之稱皆同
德行	下孟反下同
言媲	普計反
短折	市設反
任爲	音壬又如字
不上	時掌反下及注同
於袷	音劫交領
綏視	依注音妥他果反
遊目	如字徐音流
則敖	五報反
辟頭	本又作僻匹亦反
君命	絶句
大夫與士肄	本又作肆同以二反習也
之處	昌慮反下皆同
寶藏	才浪反
貨賄	呼罪反字林音悔
輟朝	丁劣反止也
莫適	丁歷反
腥	音星
凡摯	音至徐之二反本又作贄同
天子鬯	勑亮反香酒
摯匹	依注作鶩音木鴨也
樊纓	本又作繁歩丹反
射韝	徐音溝又古侯反一音古豆反
椇	俱羽反木名
榛	側巾反木名字林云仕巾反木叢也古本又作亲音壯巾反云似梓實如小栗也
見以	賢遍反
枳椇	居紙反
今邳	被悲反下邳也
郯	音談東海縣名
掃	悉報反
灑	所買反又山寄反
親迎	魚敬反
賤婦人之職	本又有無婦字者
<	_
p	_
b	_
:	_
K	_
R	_
1	_
g	_
0	_
0	_
0	_
3	_
_	_
S	_
B	_
C	_
K	_
_	_
0	_
1	_
1	_
-	_
1	_
1	_
b	_
>	_
