王制第五	如字徐于況反盧云漢文帝令博士諸生作此篇
卷之四王者	如字徐于況反
十日	又一反
取晷	音軌日景
朝㑹	直遥反卷内皆同
畿	求衣反
尚狹	音洽後文同
大平	音泰
斥	昌石反
黜陟	上丑律反下竹力反
主爲	于僞反下爲有亦爲有同
之分	扶問反
食九人	音嗣下同徐音自
爲差	初佳反徐初冝反下注同
肥墝	本又作墽苦交反
官長	丁丈反下文注皆同
爲糞	方運反
覜聘	吐弔反
三分	如字
爲介	音界
閒田	音閑下同
章管	之尚反又如字本亦作障音同
以朌	音班賦也
不與	音預注及下注不與同
塗山	音徒
要服	一遥反下要服皆同
相幷	必政反又如字
地減	古斬反
關盛衰	並讀如字
以共	音恭
有帥	色類反注及下同
爲卒	子忽反下及注同
曰牧	音木
自陜	失冉反一音古洽反
召公	時照反
曰甸	大薦反
曰采	蒼改反
以當	丁浪反又如字
里蠻	莫還反
選用	宣戀反
欲見	賢遍反
二卿與	音餘
三監	古蹔反
監於	古銜反卷末同
冠禮	古亂反
命卷	依注音衮古本反
復加	扶又反
冕而	音勉
德仃	下孟反
任事	而鴆反
與之	如字又音預
不畜	許六反
之涂	音徒本又作塗
屛之	必政反
放去	羌吕反
無賙	音周
餼	許旣反
有宅	王肅注尚書如字鄭音知嫁反懲艾也下同
劓者	魚氣反
刖者	五刮反又音月
守囿	音又
髡	五忽反本又作完音同徐戸官反
守積	子智反
一朝	直遥反
數來	色角反又所具反
巡守	手又反本或作狩後巡守皆同
省之	色景反
岱宗	音代
柴	仕佳反依字作祡
覲見	如子舊賢遍反
大師	音泰後大學大祖大子大樂正大史皆同
納賈	音嫁注同
所好	呼報反下及注同
惡	烏路反
好辟	匹亦反徐芳亦反
則侈	昌氏反又式氏反
淫邪	似嗟反
君削	息約反
君絀	丑律反退也
昭穆	常遥反凡言昭穆放此
易樂	音岳
南嶽	音岳下同
歸假	音格至也
祖禰	乃禮反父廟也
禷	音類
造乎	七報反下及注同
與諸侯	如字
曰朝	直遥反
以柷	昌六反
男樂	音岳
以鼗	音桃
鈇	方于反又音斧
鉞	音越
