月令第六	此是吕氏春秋十二紀之首後人刪合爲此記蔡伯喈王肅云周公所作
卷之五孟春昬參	所林反
中	如字徐丁仲反後放此
長也	丁丈反
於陬	足俱反又足侯反本又作娵同
訾	子斯反
爲人	于僞反
軋也	乙八反
解孚	音敷
大暭	上音泰後文及注大蔟大史大寢大室大微大廟大祝大尉大宰皆同噑亦作昊胡老反大暭宓戲也
句芒	古侯反下音亡句芒木正也少昊之子曰重爲之後句芒皆放此
宓戲	音密又音服戲又作亦作犧又作羲同許冝反
曰重	直龍反
律中	丁仲反猶應也後放此凡如此之例十二月文注皆可以類求之
大蔟	七豆反奏也
猶應	應對之應下皆放此
律長	直亮反又如字後皆放此
律空	徐音孔
臭羶	失然反
先脾	婢支反
於藏	才浪反後放此
直脾	丈吏反又如字下宿直同後放此
于奥	烏報反
及腎	時忍反
解凍	東送反
蟄蟲	直立反
上冰	時掌反下注以上同
獺祭	他達反又他瞎反
左个	古賀反偏也後放此
乗鸞	力官反
路	本又作輅
載靑	音戴後放此
旂	巨機反後放此
衣靑	於旣反後放此下注依甲保猶衣同
其􁏬	本又作器同
冬夏	此卷内可以意求之
衡璜	音黃
火畜	許又反
貫土	古亂反
朝祀	直遥反下文注同
龍卷	本又作衮古本反
玄端	音冕
先立春	悉薦反
乃齊	側皆反本亦作齋卷内放此
還乃	音旋後放此
命相	息亮反注同下善相幷注放此
施惠	如字又始豉反
休其	許收許虯二反美也
毋有	音無本亦作無下同
不當	丁浪反
宿	息六反徐音秀
離	依注音儷吕計反偶也
不貸	吐得反徐音二
馮	音憑
相	息亮反又如字
候伺	音司又息嗣反
載耒	力對反字林云耕曲水垂所作力佳反又力水反
耜	音似
措	七故反置也
保介	音界注同
帝藉	在亦反說文作耤云帝耤千畝
三推	出佳反又吐回反下同推謂伐也
參乗	繩證反
爲天	于僞反下爲仲春爲傷爲死氣皆同
勞酒	力報反注同
氣上	時掌反注土上同
萌動	莫耕反
蒸達	音證又之丞反
冒	莫報反覆也
橛	求月反
封疆	居良反注皆同
經術	古定反注同術依注音遂
田畯	音俊
之分	扶問反
嵎夷	音愚
阪險	上音反又蒲版反下許檢反
道民	音導
旣飭	音勑
農率	所類反謂田正
用牝	頻忍反
妊	而林而鴆二反
毋覆	芳服反
孩蟲	戸哀反
胎	吐來反
夭	烏老反
麛	音迷
卵	力管反
掩骼	江百反
埋胔	才賜反蔡云露骨曰骼有肉曰胔胔亦作骴
肉腐	扶矩反
蚤落	音早
有恐	丘勇反
大疫	音役
焱風	必遥反徐芳遥反本又作飄
宿直	音秀
好風	呼報反
藜	力兮反
莠	音酉
水潦	音老
大摯	音至蔡云傷折
首種	章勇反鄭云首種謂稷蔡云宿麥
仲春日在奎	苦圭反
昬弧	音胡
降婁	戸江反
夾鍾	古洽反一音頰
四隙	去逆反
倉庚	並如字本或加鳥非
驪黃	力知反
搏榖	音博
幼少	詩召反
省	所景反注同減也徐所幸反
囹	音零
圄	魚吕反囹圄今之獄
去	羌吕反
桎	音質今之械也
梏	古毒反今之杻也木在足曰桎在手曰梏
掠	音亮考捶
械	戸戒反
暴尸	歩卜反
捶治	之橤反
髙禖	音梅
施生	始豉反
孚乳	上如字一音芳付反下而樹反季春同
娀簡	夙中反簡狄有娀氏女
生契	息列反
九嬪	毗人反
謂從	才用反
弓韣	大木反弓衣
有娠	音身一音震謂懷妊
始電	大練反
先雷	悉薦反
奮鐸	方問反下大各反
度重	上音杜下音亮注同
斗甬	音勇斛也
權槩	古代反
稱上	尺證反下同
稱錘	丈僞反又丈爲反
闔扇	戸臘反
小閒	音閑
毋漉	音鹿竭也
陂池	彼冝反畜水曰陂穿地通水曰池尚書傳云澤障曰陂停水曰池
畜水	勑六反
乃鮮	依注音獻
朝覿	大歷反
冱寒	戸故反
朝之	直遥反
秬黍	音巨
皆與	音預
祭寒而藏之	本或作祭司寒案左氏傳無司字
之長	丁丈反
中丁	音仲本亦作仲
爲季	于僞反下注同
好雨	呼報反
大隂	音泰
煖氣	乃緩反又音暄
蟲螟	亡丁反爾雅云食苗心螟
季春在胃	音謂
季少	詩召反
姑洗	素典反
爲鴽	音如母無也蔡云鶉䳺之屬
虹	音紅又音絳蝶蝀也
始見	賢遍反
蓱始	歩丁反水上浮萍也
毋無	上音牟反如字
蝃	本又作螮丁計反亦作􁇧同
蝀	本亦作東同丁孔反
蓱萍	音平
曰蘋	毗人反
鞠衣	居六反如菊華也又去六反如麴塵
爲將	于僞反下文乃爲注爲鳥同
覆舟	芳服反下及注同
薦鮪	于軌反
發泄	息列反
句者	古侯反屈生也
倉廩	力甚反
上騰	時掌反下注以上同
循行	下孟反
隄防	丁兮反下音房
道達	音導
有障	之亮反又音章
便民	婢面反
罝	子斜反
罘	音浮
畢翳	於計反
餧	於僞反
獸罟	音古
爲弋	羊職反
桑柘	之夜反
戴勝	音帶注同本亦作載戴勝鳥名
織紝	女今反
曲植	直吏反曲薄也植蠶槌也
籧筐	居吕反亦作筥下丘狂反方曰筐圎曰筥
槌也	直追反又直類反又丈僞反
東郷	許亮反注同
毋觀	古喚反注同
省婦	所景反
去容	起吕反
線	息賤反
組	音祖
紃	音旬
分繭	古典反
效功	戸敎反
以共	音恭
敢惰	徒臥反
之量	音亮注同
筋角	音斤
箭幹	古旦反
凡輮	如九反
監工	古銜反注同
悖	必内反
淫巧	如字又苦孝反注同
春液	音亦
累牛	力追反注同
騰	大登反
遊牝	毗忍反徐扶死反
皆乗	繩證反
在廏	居又反
挍數	所主反
國難	乃多反後及注同驅疫鬼
磔	竹栢反磔磔牲也
穰	本又作攘如羊反
氣佚	音逸後同
索宝	所白反
敺疫	丘于反
大恐	丘勇反
暵	呼旱反又呼旦反
蚤降	音早
孟夏婺女	音務
言炳	音丙
長育	丁丈反此月内除律長長大繼長皆同
著見	賢遍反
炎帝	于廉反炎帝神農也
顓頊	上音專下音朂
音徴	張里反後放此
去一	起吕反
中吕	音仲又如字
無射	音亦
臭焦	子遥反
先肺	芳廢反
竈陘	音刑
螻	音樓
