文王世子第八	文王周文王昌也鄭云以其善爲世子之禮故著諡號標篇言可法也
朝於	直遥反
日三	如字又昔暫反
衣服	徐於旣反又如字
内豎	上主反小臣
又復	扶又反
及莫	音暮注及篇末皆同
蹈	徒報反
憂解	胡買反
食上	時掌反
寒煖	乃管反徐況煩反
末有	亡曷反勿也
應曰	應對之應
爲其	于僞反
飪	而審反生敦之節
不稅	本亦作脫又作說同音他活反
而養	羊尚反
壹	本亦作一
飯	扶晚反下及篇末皆同
箴藥	本亦作鍼之林反
所勝	音升
瘳	丑由反差也
女何	音汝後同
九聆	音零本或作齡
人壽	音受後同
安樂	音洛
予爾	羊汝反
傳	直專反
莅阼	音吏又音類下同
莅視	本或作涖臨也
周公相	息亮反
而治	徐直吏反下注治定同一音如字
抗	苦浪反舉也
長幼	丁丈反後皆同
則撻	他達反擊也
凡學世子	户孝反敎也下小樂正學干籥師學戈學舞干戚同
俊選	息戀反後同
春夏	戸嫁反下放此
羽籥	羊灼反
于楯	食準反又音尹
句孑	古侯反
秉翟	大曆反
大胥	如字又音泰胥息余反又息吕反注皆放此
之版	音板本又作板
舎采	音釋後舎采同
秋頒	音班
旄人	音毛
不僭	七尋反又子念反
大師	音泰下文注大樂正大學大傅大祖大寢皆同
瞽宗	音古瞽宗殷學名
上庠	音詳上庠虞學名
播詩	波我反
功易	以豉反
合語	如字徐音閤注同下大合樂放此
語說	如字徐始說反注語說同
論說	力門反徐力頓反注同
三行	下孟反下文德行同
侍坐	才臥反又如字
逺近間	並如字間猶容也注同徐古辨反同
指畫	乎麥反
分別	彼列反
廣三尺	古曠反又如字
三寸	一本作廣三尺三寸三分
函丈	胡南反
相辟	音避下辟君同
億可	本又作噫音抑
有夔	求龜反
小技	其彼反
後復	扶又反
逺之	于万反注同
近是	附近之近
旣興	依注爲釁音虚覲反
儐于	必刃反本亦作擯注同
無介	如字下注同副也
米廩	力甚反
懌	音亦悅懌
少傅	詩照反下音賦後同
積浸	子鴆反
爲之	于僞反下爲說其爲君皆同
國治	直吏反下而治國治並同
況于	依注作迂音同又音紆大也
欲令	力呈反
學之	音效下及注同
孝弟	大計反又作悌下孝弟皆同
之倅	七對反副也
其朝	直遥反後不出者並同
登餕	音俊
之適	丁歷反
奠盥	音管
行列	戸剛反
者稠	直由反密也
出疆	居良反
守於	如字又手又反下同
諸父守貴室	本或作守貴宫貴室
冠取	古亂反下七喻反後放此
相爲	于僞反下注爲君同
冝免	音問下及注同
于賵	芳鳳反下同
賻	音附
承	音贈出注
含	胡諳反本又作唅賵賻唅襚皆贈喪之物也車馬曰賵布帛曰賻珠玉曰唅衣服曰襚揔謂之贈贈猶送也
甸人	大遍反
縣	音玄
縊	一智反
則纎	依注音鍼之林反刺也徐子廉反注本或作纎讀爲殱者是依徐音而改也
剸	之免反割也
亦告	依注作鞠久六反
鍼刺	七亦反又七智反下同
臏	頻忍反徐扶忍反
劓	魚器反
刀鋸	徐音據
讞	徐魚列反言也
大辟	婢亦反後不音者放此
宥之	音又寛也
又復	扶又反下不復復自行皆同
爲之	于僞反下不爲服爲忝祖注非爲又爲之舞同
之比	必利反
之殺	色戒反徐所例反差也
差也	初佳反徐初冝反
弔臨	如字徐力鴆反
官治	直吏反
衆郷	許亮反注同
百姓	本或作異姓非
逺之	于万反
大昕	音欣說文云旦明日將出也讀若希
警衆	音景起也
養也	如字徐羊尚反後皆依徐音
之處	昌慮反下同
五更	江衡反注同蔡作叟音素口反
咏焉	音詠
以樂闋	苦穴反終也
以樂	音洛
里􁄵	皇音兾兾及也本又作愷又作駿亦作驥
兊命	注作說同音恱
朝夕至于	直遥反旦曰朝暮曰夕舊如字
朝朝	上如字下文朝夕之食上同下直遥反
食上	時掌反
親齊	側皆反注同
齊	才細反
和	胡臥反
<	_
p	_
b	_
:	_
K	_
R	_
1	_
g	_
0	_
0	_
0	_
3	_
_	_
S	_
B	_
C	_
K	_
_	_
0	_
1	_
2	_
-	_
5	_
a	_
>	_
