禮運第九	鄭云禮運者以其記五帝三王相變易及隂陽轉旋之道
卷之七與於	音預
蜡	仕嫁反索也祭名夏曰淸祀殷曰嘉平周曰蜡秦曰臘字林作䄍
索	所百反
於觀	古亂反注同闕也
喟然	去媿反又苦怪反說文云大息
之處	昌慮反下同處同
逮	音代及也一音代計反
俊選	宣面反下文皆同
爲其	于僞反下文爲己皆同
禪位	善面反
所長	丁丈反
矜寡	古頑反
無匱	其媿反
有分	扶問反注同
良奥	烏報反
惡其弃	上烏故反下同
不憚	大旦反
施無	始豉反
吝心	力刄反又力覲反
禦風	魚吕反
傳位	丈專反
俗狹	音洽
嗇	音色
勇知	音智
敦朴	普角反
之稠	直由反
成治	直吏反
在埶	音世本亦作勢
者去	羌吕反注同
爲殃	於良反
復問	扶又反下復問同
相鼠	息亮反注同
遄死	市專反疾貌
殽於	戸敎反法也徐戸交反
冠昬	古亂反
朝聘	直遥反
則易	以豉反
之極言	如字徐紀力反
聞與	音餘
有小正	音征本或作有夏小正
坤	苦門反
乾	其連反
其燔	音煩
捭豚	卜麥反注作擗又作擘皆同
汚尊	烏華反注同一音作烏
抔	歩侯反手掬
蕢	依注音􁏷苦對反又苦怪反土塊也
桴	音浮鼓槌
齊敬	側皆反
釜	本又作鬴音父
甑	即孕反
燒石	如字又舒照反
鑿地	在洛反
掬	九六反本亦作臼音蒲侯反
堛	普逼反
摶土	徒端反
築	徐音竹
屋而號	戸毛反
皐某	音羔
飯	扶晚反注同
腥	音星
而苴	子餘反苞也徐爭初反
遣奠	弃戰反
知氣	音智
北首	手又反注同
南郷	許亮反注同
營窟	苦忽反
居橧	本又作増又作曽同則登反
樔	本又作巢助交反
茹其	音汝
衣其	於旣反
鑄作	之樹反
合土	如字徐音閤
令	音零
甓	歩歷反
及甒	音武
大也	音泰甒大皆樽名
臺榭	音謝本亦作謝
牖戸	音酉
以炮	薄交反徐扶交反
裹燒	音果
以燔	音煩加於火上
亨	普伻反煑也下合亨同
鑊	户郭反
以炙	之石反
貫之	古亂反
醴	音禮
酪	音洛
烝	之承反
釀	女亮反
酢	七故反
酨	才再反徐祖兾反
醴醆	側眼反
粢	依注爲齊才細反注五齊皆同
醍	音體
祝嘏	本或作假古雅反
之祜	音戸福也
粢讀	音咨
泛齊	芳劒反徐音汎
盎齊	烏浪反
爲主人	于僞反下同
其祝	之六反徐之又反注同
其殽	本或作肴戸交反
越席	音活注同字書作趏越席翦蒲席也杜元凱云結草
