内則第十二	鄭云以其記男女居室事父母舅姑之法
后王	鄭云后君也謂諸侯也王天子也盧云后王后也王天子也孫炎王肅云后王君王也
幷六卿	必政反
或兼	如字一音古念反
咸盥	音管洗手
漱	所救反徐素遘反漱漱口也下同
櫛	側乙反梳也
縰	所買反徐所綺反黒繒韜髮
笄	古兮反
緫	子孔反束髮也
拂髦	音毛
冠緌	耳佳反緌纓飾也
韠	音必
紳	音申大帶
搢	徐音箭又如字音晉插也
笏	音忽
韜髮	吐刀反
振去	起吕反
著之	丁畧反下文及注同
鬌	多果反
扱	本又作捷又作插初洽反徐采協反
使令	力呈反
紛	芳云反拭物巾或作帉同
帨	始銳反佩巾也
小觿	許規反本或作鑴音同解結錐
金燧	音遂火鏡
拭物	音式思里反
飴	羊之反餳也
堇	音謹菜也
荁	音丸似堇而葉大也
枌	扶云反白榆也
免	音問注同新生曰免
薧	字又作槀苦老反乾也
滫	思酒反溲也
瀡	音髓滑也
以滑	胡八反又于八反諸卷皆同
以膏之	古報反
調	如字又徒弔反
和	如字又胡臥反
夏用	戸嫁反
溲	所九反
未冠	古亂反
爲迫	于僞反
而朝	直遥反下而朝同
後成人	如字徐胡豆反下同
衣服	如字又於旣反
枕簟	徒點反
灑	本又作洒所買反又所賣反
埽	素報反
􁅈子	如樹反
蚤寢	音早
以上	以或作巳上時掌反後放此
奉席	芳勇反下同
何郷	許亮反
將衽	而鴆反又而甚反臥席也
何止	本又作趾足也
臥處	昌慮反
縣衾	音玄
篋枕	口協反
而襡	音獨韜也
不傳	丈專反注同移也
敢近	附近之近
敦	音對又丁雷反
牟	木侯反齊人呼土釡爲牟
巵	音支酒器也
匜	羊支反一音以氏反杜預注左傳云沃盥器也
非餕	音俊
如堥	字又作蝥木矦反
應唯	于癸反徐伊水反
愼齊	側皆反
噦	於月反
噫	於界反
嚏	音帝
咳	苦愛反
欠	丘劒反
伸	音申
跛	彼義反
倚	於義反又其寄反
睇	大計反傾視也
視	如字徐市志反
唾	吐臥反
涕	本又作洟同吐細反
重衣	直龍反
袒	音但
裼	思歷反
撅	居衞反揭衣也
揭衣	起例反又起列反一音起言反
不見	賢遍反下同
爲其	于僞反
可穢	紆廢反又烏㑹反
刷	色劣反
去	丘吕反
帶垢	古口反
請漱	素侯反後皆同
請澣	本又作浣户管反
和漬	似賜反
綻	字或作䘺直莧反徐治見反
裂	本又作列
紉箴	女陳反徐而陳反下之林反
補綴	丁劣反又丁衞反
猶解	胡賣反又佳買反
燂湯	詳廉反温也
潘	芳煩反淅米汁
靧	音悔洗面
瀾	力旦反
喪遽	其據反
以篚	非鬼反
共湢	彼力反本又作偪浴室也
不嘯	依注音叱尺失反
障也	音章
解也	佳賣反下解倦同
若飮	於鴆反
食	音嗣
不耆	市志反
而去	起吕反本又作而食之
謂難	乃旦反
姑予	以渚反下同
逺	于万反
懟	直類反本又作懃
姑縱	本又作從足用反
寧數	色角反
譴責	弃戰反
猶爲	于僞反
說則	音悅下同
而撻	吐達反擊也
思貽	以之反遺也
遺也	以季反
謂傳	丈專反
介婦	音界注及下同
解勌	本又作倦其卷反
掉磬	徒弔反隱義云齊人以相絞訐爲掉磬崔云北海人謂相激事爲掉磬也
下冡	戸嫁反
使令	力呈反
私畜	許六反又許又反又勑六反
茝蘭	本又作芷昌改反韋昭注漢書云香草也昌以反又說文云虈也虈火喬反齊人謂之茝昌在反
必復	扶又反
適子	丁曆反
皆齊	側皆反
稰	思吕反熟穫曰稰
穛	側角反生穫曰穛
膷	音香牛􁂄也
臐	許云反羊􁂄也
膮	許堯反豕􁂄也字林云豕羹也火攸反
牛炙	章夜反下同
胾	側吏反
牛膾	古外反
芥醬	徐姬邁反
鶉	順倫反
鷃	音晏
公食	音嗣酏食糝食並同
爲鴽	音如下文同
重醴	直龍反注同陪也
淸糟	子曹反徐徂到反
醇也	常倫反
淸泲	子禮反
酢	七故反
酨	才載反
醷	本又作臆於紀反徐於力反
濫	力暫反
以諸	乾桃乾梅皆曰諸
糗	起九反又昌紏反
餌	音二下同
酏	讀曰􁉸又作餰之然反又之善反
擣	本又作搗丁老反下同
與餈	本又作粢自私反下同
糝	西感反
狼臅	昌録反徐又音燭
食	音嗣飰也下苽食麥食食齊皆同徐如字
蝸	力戈反
醢而苽	音孤字又作菰同
雉羹	絶句麥食
脯羮雞羹	絶句
折	之列反
稌	音杜徐他古反稻也
和糝	上胡臥反下三敢反注同
不蓼	音了
羮齊	才細反下文同
析	星曆反下同
濡豚	音而下同
苞苦	伯交反
濡雞醢	音海一本作醯呼兮反次下句同
卵醬	依注音鯤古門反魚子也
亨	普彭反煑也
荼	音徒
作􁏦	音關本又作捫音門
腶脩	丁亂反
蚳	直其反蟻子也
捶脯	徐之橤反
蜱	本又作蚍音毗
蜉	本又作■音浮
卵鹽	力管反
爲胖	音判
視夏	戸嫁反下放此
膏薌	音香牛膏
腒	其居反乾雉也盧云雉腊也說文云北方謂鳥腊曰腒
鱐	本又作䐹所求反乾魚也
膏臊	素刀反犬膏也
麛	音迷鹿子也
膏腥	音星雞膏也說文作胜云犬膏臭也
膏羶	升然反羊膏也
爲其	于僞反
大盛	音泰
麏	九倫反本又作麇又作麕下田豕麏同
有軒	音憲出注後放此切肉如藿葉也
蜩范	上音條蜩蟬也下音犯范􁑌也
􁑌	本又作蜂芳凶反
芝	音之
栭	音而本又作檽
蔆	音陵芰也
椇	音矩枳椇
榛	側巾反
􁇖	音俟
柤	側加反
芰	其寄反
枳椇	上居氏反
用䪥	戸界反俗本多作薤非也
藙	魚氣反茱萸也
㑹	古外反
稽	古兮反
之榝	色八反似茱萸而實赤小
和	戸臥反注皆同又如字
用醯	呼兮反酢也
畜與	許又反又許六反
鶉雞羮	本又作鶉羹雞羹
魴鱮	上音房下音敘
烝	皇絶句之丞反
雛	字又作鶵仕俱反又匠俱反賀讀魴鱮烝雛爲句
燒	如字一音焦皇絶句
雉	皇此一句一讀雉薌爲句
蘇荏	而甚反
言調	徒弔反
狼去	起吕反下並同
尻	苦刀反
腦	奴老反
皆爲	于僞反下皆爲同
伏	扶又反
乳	而樹反
鰫魚	音容
如篆	直轉反
鯁人	本又作哽古猛反字林云鯁魚骨也又下孟反
竅也	苦叫反
膽	丁敢反
攅之	再官反本又作鑚
庮	音由惡臭也
泠	音零泠結毛如氈也
毳	昌銳反
而躁	早報反
麃	本又作皫劉昌宗音普保反徐芳表反又普表反
而沙	如字一音所嫁反注同
交睫	音接
腥	依注作星皇云肉中如米者說文云腥星見食豕令肉中生小息肉也字林音先定反
而般	音班
臂	本又作擘必避反徐方避反
漏	依注音螻力侯反
鵠	胡篤反
鴞	于驕反
胖	音判
鴇	音保
奥	於六反
鹿胃	音謂字又作􁉼同
一薫	許云反或作焄又作葷
不解	胡買反
嘶也	音西字又作斯音同
腐臭	扶甫反
前脛	胡定反
螻蛄	音姑
鵝	五何反
鶩	音木
脾	扶移反
肶	昌私反
肉腥	音星字林作胜云不熟也先丁反
聶而	本又作攝又作䐑皆之涉反下同
麏爲	九倫反
辟鷄	必益反徐芳益反注同
爲宛	于晚反
脾	婢支反
諸醯	徐呼兮反本或作䤈
鹿􁌐	於僞反益州人取鹿殺而埋之地中令臭乃出食之名鹿􁌐是也
近由	附近之近
羮食	音嗣注羹食并下文食禮同
庪食	字又作庋九委反或居彼反本亦作處
於坫	丁念反
夾室	古洽反又古協反
同處	昌慮反
異粻	知良反糧也字林云量也
絞	戸交反
紟	其鴆反本又作衿同
衾冒	亡報反
不煖	乃管反
於朝	直遥反下同
珍從	才用反又如字
不與	音預下同
齊喪	側皆反
衰麻	七回反
東膠	音交
冔而	況甫反
縞	古老反又古報反
樂其心	音洛下同
忠養	羊亮反
爲法	于僞反
德行	下孟反
三王有	音又出注
爲惇	音敦敦厚也
淳熬	之純反下五羔反下及注同
淳母	依注音模莫胡反下同
黍食	音嗣
炮	歩交反
若將	依注音牂子郎反牝羊也
刲	苦圭反
刳之	口孤反又口侯反
編	必緜反又歩典反
萑	音丸蘆也
以苴	子餘反苞裹也
以謹	依注作墐音斤徐如字
炮之	絶句
涂皆乾	絶句涂本亦作塗
擘之	必麥反絶句
濯手	直角反
去其	起吕反注同
皽	章善反魄莫也
糔	息酒反又相流反又息了反
溲	所九反
以付	徐音賦
鉅	音巨其據反
鑊	戸郭反
使湯	一本作使其湯
穰	羊如反草也
魄莫	上普伯反或普博反下亦作漠武博反
解析	星曆反
必脄	音每徐亡代反夾脊肉
其餌	音二筋腱也本或作皽下句作餌
筋	音斤
腱	徐其偃反皇紀偃反一音其言反隱義云筋之大者王逸注楚詞云筋頭也
醯與	音餘
湛諸	子濳反直䕃反又將鴆反一音陟鴆反注同漬也
期朝	音朞
以洒	所買反徐西見反
而鹽	音豔又如字
乾而食之	一本無而食之三字
濡肉	音儒下同
肝膋	音遼徐音勞
食	音嗣下酏食同
幪之	音蒙
舉焦	字又作燋子消反
爲酏	讀爲􁉸之然反又之善反注􁉸同
臆	音憶
􁊰矣	本又作􁉸又作䬤並同之然反又音賛
􁆻寺	音昬
同杝	本又作椸以支反
枷	音嫁
縣	音玄
之楎	音輝
篋笥	息吏反
竿謂	音干
楎杙	音弋
無閒	徐間厠之閒皇如字讀
年未五十	本又作年未滿五十
必與	音預
不復	扶又反下文夫復同
姪	大結反
娣	大計反
兩媵	羊證反又繩證反
齊漱	爭皆反下皆同
澣	音浣
如朝	直遥反下文朝服注朝於君皆同
爲繆	居虯反
必後	胡豆反
辟女	音避下辟人雖辟皆同
敢見	賢遍反下及注同
使姆	音茂字林亡又反女師也一音母又音亡久反
郷前	休亮反下文西郷皆同
接以	依注音捷字妾反勝也下接子同
謂食	音嗣下注食子食乳皆同
射天地	食亦反
言承	如字徐音拯救之拯
大古	音泰
嫡妾	本亦作適同丁歷反
一處	尺御反
耆	市志反
爲兒	于僞反下爲改爲大温皆同
爲鬌	丁果反徐大果反
夾囟	音信又思忍反
當楣	音眉
相	息亮反
孩而	字又作咳戸才反
左還	音旋轉也
辯	音遍下同
如養	羊尚反
褖衣	通亂反
適子	丁歷反注及下同
易諱	以豉反
三月之末	一本作子生三月之末
申繻	音須
食子	音嗣注及下文食母同
勞賜	力報反
旬	音均出注
尊別	彼列反下其別同
食食	上如字下音嗣
男唯	于癸反徐以水反
女俞	以朱反然也
鞶革	歩干反
盛帨	音成
縁之	于絹反
裂	音列或音厲
與	音預
如厲	音列
必後	胡豆反
數日	所主反
襦	字又作襦音儒
袴	苦故反
請肆	本又作肄同以二反習也
爲大	音泰
舞勺	章略反注同
而冠	古亂反
以衣	於旣反
惇行	如字又下孟反
孝弟	音悌
孫友	音遜注同
所好	呼報反
則去	如字
婉	紆晚反徐紆願反
娩	音晚徐音万
麻枲	思里反
絲繭	古典反
織紝	女金反又如林反
組	音祖
紃	音巡
以共	音恭
絛也	他刀反
禮相	息亮反
謂應	應對之應
