玉藻第十三	鄭云以其記服冕之事也冕之旒以藻紃貫玊爲飾因以名之
卷之九玉藻	本又作璪音早
二旒	力求反
邃	雖醉反深也注同
延	如字徐餘戰反冕上覆也字林作綖戈善反
龍卷	音衮古本反注同
玄端	音冕出注下諸侯玄端同
而朝	直遥反篇内除下注朝之餘皆同
則闔	胡臘反
左扉	音非一本作則闔門左扉
而餕	音俊
酏	以支反
御瞽	音古樂人也
上下	時掌反
哀樂	音洛
禆冕	婢支反
伯鷩	必列反
男毳	昌銳反
大廟	音泰後大廟同
下天子	戸嫁反
辨色	如字徐扶免反別也
別也	彼列反
必復	扶又反
相挾	户頰反
四簠	音甫本或作簋
􁉼也	音胃
稷食	音嗣
同庖	歩交反徐扶交反下同
君子逺	于万反
踐	音翦子淺反出注
爲旱	于僞反下皆爲猶爲明爲爲失皆同
春夏	戸嫁反
衣布	於旣反注君衣布同
搢本	徐音箭又如字
去	丘吕反下刷去同
珽	他頂反
荼	音舒
笏也	音忽
遮列	支奢反
靈射	音亦周禮作繹爾雅作謝
坼也	勑白反
羔幦	音覓徐苦狄反
虎犆	依注音直下同
苓也	本又作軨音零
縁也	尹絹反後文注皆放此
齊車	側皆反下文注皆同
郷明	許亮反
東首	手又反注同
迅雷	音峻又音信
衣服	於旣反下衣布同又如字
五盥	音管
而靧	音悔
櫛	側乙反
用樿	章善反
禨	其旣反
絺	丑疑反
綌	去逆反
刷	色劣反
去垢	古口反
出杅	音雩浴器也
履蒯	苦怪反
連用	力旦反釋也注同
澀	所戢反
便於	婢面反
乃屨	九具反本又作履
煇如	音暉
長三	直亮反後放此
杼上	直吕反
終葵	如字終葵椎也
如椎	直追反下同
相玉	息亮反
珽	他頂反本又作珵音呈
自炤	音照
侯荼	音舒出注
前詘	丘勿反
後直	如字徐胡豆反
懦者	乃亂反又奴臥反怯懦也又作儒人于反弱也皇云學士
圜	音圎
殺其	色戒反徐所例反篇内皆同
黨郷之細也退謂傍側也	一本或作黨郷之細者謂傍側也避君之親黨
爲	于僞反又如字
躐	力輒反
爲汚	于僞反下爲大有同汚汚穢之汚又烏臥反
先飯	煩晚反下至三飯及注皆同
辯嘗	音遍
辟貪	音避
先徧	音遍本又作備
覆手	芳服反注同
敢飧	音孫注及下同
循咡	耳侍反
先君	息薦反下同
從者	才用反
凡侑	音又
巳偞	虚渉反厭也
猶大	音泰下同下瓦大亦同
洒如	先典反又西禮反肅敬貌王肅作察云明貌也
言言	魚斤反注同和敬貌
油油	音由恱敬貌本亦作由王肅本亦作二爵而言注云飲二爵可以語也又云言斯禮注云語必以禮也三爵而油注云恱敬貌無巳及下油字也
說敬	音悅
隱辟	匹亦反徐房亦
廣	徐公曠反後放此
裏布	音里
相稱	尺證反
不衣	於旣反注及下注同
織	音志注織染同
染繒	似綾反
去位	如字
閒色	閒廁之間
振絺	依注爲袗之忍反襌也
襌也	音丹下文注同
當裼	思歷反
纊	音曠緜也
爲繭	古典反
緼	紆粉反又紆郡反
爲袍	歩羔反
絮也	胥慮反
爲絅	苦迥反徐又音迥
爲褶	音牒裌也
有黼	音甫
誓省	依注作獮息典反秋獵名
君衣	於旣反下文不衣同
復有	扶又反
服與	音餘
辟君	音避
豹	包敎反
玄綃	音消綺屬
麛	音迷
靑犴	音岸胡地野犬
絞衣	戸交反蒼黃色
大蜡	仕嫁反
臘先祖	力合反
見美	腎遍反注下注及下文同
以球	音求美玉也
魚須文竹	崔云用文竹及魚班也隱義云以魚須飾文竹之邊須音班
無說	本亦作稅同他活反下及注同
事免	音問注同
爲必	于僞反
指畫	乎麥反
造受	皇七報反舊七刀反
去	起吕反下注去上則去去飾同
素帶	音戴
終辟	依注爲禆婢支反下同徐又音卑下緇辟終辟皆放此
率下	音律注及下同
幷	必政反
紐	女久反
用組	音祖
下天子	戸嫁反
繂	音律
幧頭	七消反又七曹反
韠	音必
圜	音圎
後挫	作臥反
