明堂位第十四	鄭云以其記諸侯朝周公於明堂所陳列之位
朝諸侯	直遥反注及下皆同
辟王	音避一本作辟正王
負斧	音甫
依	本又作扆同於豈反注同
南郷	許亮反
偝也	本又作背音倍
屛風	並經反
戸牖	音酉
九采	七在反
四塞	先代反注同又先則反
此周公明堂之位也	本或無周公之字
上近	附近之近
藩服	本又作蕃方元反下同
壹見	壹又作一下賢遍反下同
要服	一遥反
殷紂	直九反
相武	息亮反
頒	音班
度量	徐音亮注同
豆區	烏侯反
筐	音匡
筥	紀吕反
千乗	繩證反注同
卑侯	必爾反本又作俾下同
緑縢	大登反
載	音戴
弧	音胡
韣	音獨弓衣也
旂	其衣反本又作旗音其
二旒	本又作斿力求反
季夏	户嫁反注及下季夏夏礿皆同
以禘	大計反
大廟	音泰後大廟皆同
犧象	素何反注下皆同
山罍	音雷
灌用	古亂反
玊瓉	才旦反圭瓉也
彫	本亦作雕
篹	息緩反又祖管反籩屬
玊琖	側眼反夏爵名用玊飾之
璧散	先旦反注同
梡	苦管反虞俎名
嶡	居衞反又作撅音同夏俎名
裼而	星曆反
昩	音妹
任	而林反或而鴆反
以沙	素何反
黃彞	音夷
其直	如字柄也
大盾	字又作楯常準反又音允
自卷	本又作衮同音古本反下文同
不僭	七尋反又則念反
副褘	音輝注同
肉袒	音誕
歩揺	本又作繇同以昭反
六珈	音加
追師	丁回反
揄翟	羊昭反
夏礿	音藥
秋省	讀爲獮仙淺反
大蜡	仕嫁反
巡守	手又反
祀祊	音方本又作方
索鬼	所白反
門與	音餘
有伉	苦浪反
將將	七良反
木鐸	大各反
警衆	京領反
藻	本又作繰音早
梲	專恱反
復廟	音福注同
重	直龍反注同
檐	以占反
刮楹	古八反
達郷	許亮反注同
反坫	丁念反
康圭	音抗苦浪反出注
欂	音博又皮麥反一音旁各反徐又薄曆反字林平碧反
盧	如字本又作櫨音同
侏儒	音朱
劘	莫何反
爲好	呼報反
桴思	音浮
鉤車	古侯反
乗路	徐食證反注同
爲欒	力丸反
之綏	依注爲緌耳佳反
謂注	之樹反
旄牛	音毛
於杠	音江
大麾	毁皮反
左仗	直亮反
黃鉞	音越
駱	音洛
黒鬣	力輒反
蕃鬣	字又作番音煩郭璞云兩被髮
騂剛	息營反又呼營反
順正	音征又如字
爲純	于僞反
大	音泰本又作泰
著	直略反注同
以斝	音嫁又古雅反注同
其勺	市灼反下同
夏禴	音藥
祼用	古亂反
蕢	讀爲􁏷苦對反
桴	音浮
葦	于鬼反
籥	音藥
蕢	其位反又苦怪反
如笛	本又作篴音狄
拊	芳甫反
搏	音博
揩擊	居八反注同
大琴	徐本作瑟
以穅	音康
柷	昌六反
敔	魚吕反本又作圉
米廩	力甚反
頖宫	音判
之委	于僞反又作積子賜反
瞽矇	音蒙
貫鼎	古喚反
大璜	音黃
封父	音甫注同
分魯	扶問反
縣鼓	音玄注及下注同
簨	本又作筍恤尹反
虡	音巨
植我	市力反又音置徐音徒吏反又徒力反
鼗鼓	音桃
應	應對之應
􁇭	音胤
和鍾	章凶反說文作鐘以此鍾爲酒器字林之用反
女蝸	徐古蛙反又古華反
共工	音恭
宓	音密本又作虙音伏
戲	音羲
無句	其俱反字又作劬
重	直龍反
璧翣	所甲反又作菨
植	市力反徐徒力反
臝	力果反
重牙	直龍反
以挂	音卦
縣紘	徐音宏
載以	音戴
兩敦	音對又都雷反
四連	本又作璉同力展反
六瑚	音胡
八簋	音軌
椇	俱甫反
斷水	丁亂反又丁管反
蹷	俱衞反
横	古曠反又音光又華盲反
言枳	吉氏反
曲撓	音擾
下跗	方于反
楬	徐苦瞎反注同又苦八反
周獻	素何反
秃	上木反
黻	音弗
韎	莫拜反
綏	耳佳反注並同
綢練	吐刀反注同徐音籌
從車	才用反下同
遣車	弃戰反
翣夾	古洽反
柩路	其久反
熏	字又作纁香云反
縿	所銜反
傳之	丈專反注同
相弑	本又作殺音試注同
有誄	力軌反
人髽	側瓜反
於臺	音胡
駘	大來反
近誣	如字又附近之近
