少儀第十七	詩照反少猶小也鄭云以其記相見及薦羞之小威儀
始見	賢遍反下文注除注二相見並同
聞名	如字徐音問注皆同
嗛	音謙本又作謙
逺之	于万反
重則	直用反
傳辭	丈專反下傳辭同
階上	時掌反
罕見	賢遍反
亟見	去兾反注及下同
數也	色角反
皆爲	于僞反下文爲君喪注雖爲並同
適它	音他本亦作他
從者	才用反
朝㑹	直遥反
致襚	音遂
賈人	音嫁徐音估注同
以歛	力豔反
文織	音志鄭注周禮云畫繡之屬
納甸	大見反
賵馬	芳仲反
賻馬	音附
尸柩	音舊
由便	婢面反
有跪	其委反
長臨	直良反
排	薄皆反
闔	胡臘反又音合
說屨	吐活反本亦作脫下注同
尊長	丁丈反下文注尊長皆同
某	音母
三行	下孟反
不度	大洛反計也注同
民械	戸戒反
不訾	子斯反
汜埽	上芳劒反下悉報反
曰拚	弗運反又作􁇗
以鬣	力輒反帚也
膺	於陵反胷前也
擖	以渉反舌也徐音葉
絜淸	徐才性反又如字
將去	起吕反下擢去同
自郷	許亮反
於蓍	音尸
義與	音餘下同
大卜	音泰
恭孫	音遜本亦作遜同
燕見	賢遍反下請見同
卑䙝	息列反
不特	本又作犆音特
不畫	胡麥反
不翣	本又作菨所甲反盧云扇也
端愨	苦角反
侍射	食夜反下注客射同
拾取	其劫反
直飲	音䕃
不勝	詩證反
觥	古橫反
不擢	直角反去也
乗車	繩證反
轡	冰媚反
扡	徒可反引也又他佐反
諸幦	徐音覓
苓也	力丁反
右腋	音亦
以散	悉但反
請見	賢遍反
朝廷	直遥反後朝廷皆同
近君	附近之近
曰罷	音皮注同
師還	音旋下文注皆同
欠	起劒反
伸	音申
運笏	音忽
還屨	音旋
蚤	音早
莫	音暮
解倦	古賣反
頻伸	本又作嚬音頻
玩弄	五亂反
易以	以豉反
汗澤	戸旦反一音烏
量	音亮
乞假	如字又音氣
爲人	于僞反
逺罪	于万反
不窺	苦規反
伺人	音司
曲處	昌慮反
或爭	爭鬪之爭
不偷	他侯反
不長	丁丈反絶句
無訕	所諫反徐所姦反
疾惡	烏路反
無讇	勑檢反
而相	息亮反注同
怠惰	徒臥反
而更	音庚
毋拔	蒲末反注同急疾也王本作挍古孝反
毋報	音赴
可卒	才忽反
謂數	色角反
循枉	上音旬下紆往反邪曲也
可復	扶又反
意度	如字本又作億音抑下大各反
於說	如字注同又始銳反
鴻	字又作洪
殺	色界反
侈	昌氏反
弇	於檢反
毋訾	子斯反
傳疑	丈專反
之美	音儀出注下同
濟濟	子禮反
齊齊皇皇	齊如字皇音往出注
劒函	音咸
襲卻	去略反下文同
苞苴	子余反
茵席	音因
穎	京領反注同警枕也又坰迥反
編束	必緜反
菅	音姦
葦	于鬼反
以裹	音果
著蓐	上音宁下音辱
授穎	役頂反
削授	音笑
辟用	音避
謂把	音霸
刺刄	七智反又七亦反
則辟	匹亦反注同
正郷	許亮反下郷國同
卒尚	子忽反注同
行伍	戸剛反下音五
主詡	況矩反
險阻	側吕反
覆	芳富反謂伏兵也徐音赴
諼	況煩反諼詐也或云諼譁
之處	昌慮反
虞度	大各反下同
先飯	煩晚反下小飯同
流歠	昌悅反
而亟	紀力反注同
噦噎	上於月反下伊結反
數	色角反
噍	字又作嚼子笑反又在笑反
介爵	音界注同
僎爵	音遵
爲騶	責留反本又作馴音巡
羞濡	音儒
擗之	補麥反下同
鯁肉	格猛反
易離	以䜴反下同
析也	星曆反
右腴	以朱反腹下也
右鬐	音祁脊也
脊	子昔反
祭膴	舊火吳反依注音冔況甫反徐況紆反
大臠	力轉反
謂刳	口胡反又苦侯反
凡齊	才細反注及下以齊幷注同
謂食	音嗣
齊和	户臥反下齊和同
由便	婢面反
謂爲	于僞反下爲君同
軌	媿美反
范	音犯
兩軹	音旨
轊頭	音衞
軾前	音式
圂腴	圂與豢同音患
濊	本又作穢紆廢反一音烏外反
必盥	音管又古亂反
不提心	丁禮反注同絶句
㨒	苦圭反
犂之	本又作離同力兮反又力知反
有湆	起及反
爲君子	于僞反注同
葱薤	戸戒反
萎乾	上於危反又於僞反下音竿
進喙	許穢反
出見	賢遍反
樽者	本又作尊注下皆同
郷尊	許亮反下郷人同
禨者	其記反
醮者	子笑反
折俎	之設反下及注皆同
始冠	古亂反
聶而	之涉反注及下皆同
爲膾	古外反
言䐑	直輒反
復報	扶又反
麋鹿	音眉
爲軒	音獻注同
麕	俱倫反
爲辟	音璧又補麥反徐扶益反注同
免爲	他故反
宛脾	上於阮反下毗支反
切葱若薤實之	絶句
皆菹	莊居反
與焄	許云反
淹之	於廉反又於劫反
燔亦	音煩
柄尺	兵命反
齊之	才細反
帨手	本又作挩始銳反
饋食	音嗣
擩于	本又作懦而專反又而恱反徐耳誰反
爲罔	本亦作冈又作誷亡兩反
道瞽	音導
爲其	于僞反下爲霄下文爲人爲已同
冕見	賢遍反
抱燋	側角反又子約反或音在遥反
未爇	人恱反
禮殺	色戒反
辟	匹亦反徐孚益反
咡	而志反
不歆	許金反
臭之	許又反
使者	色吏反
臂	本亦作辟必豉反注同
臑	奴報反又奴到反說文云臂羊矢讀若襦字林人於反
九个	古賀反下同
犆豕	大得反
折斷	丁管反又大喚反
分之	方云反又扶問反本又作个古賀反
靡敝	亡皮反注同
彫幾	其衣反注同
不組	音祖
縢	大登反
不常	如字恒也本亦作嘗
秣	音末榖馬
稅亟	本又作極紀力反急也一音其力反
沂	魚巾反
鄂	五各反
及紟	其䕃反結也
朱綅	息廉反又音侵
鎧飾	苦代反
