樂記第十九	鄭云名樂記者以其記樂之義
角徴	張理反後放此
雜比	毗志反下文同
猶見	賢遍反
相應	應對之應篇内同
彈其	徒丹反
足樂	音岳又音洛
羽旄	音毛
干盾	本又作楯楯述允反又音允
翟羽	音狄
執籥	羊灼反
噍	子遥反徐在堯反沈子堯反踧也謂急也
以殺	色界反徐所例反
其樂	音洛
嘽以	昌善反寛緩也
以散	思旦反
粗以	采都反又才古反
踧也	子六反
寛綽	處約反
以道	音導
其行	下孟反
出治	直吏反下同
治世之音	絶句
安以樂	音洛絶句雷讀上至安絶句樂音岳以樂二字爲句
其政和	崔讀上句依雷下以樂其政和緫爲一句下亂世亡國各放此
以思	息吏反又音笥
和否	音不
玊藻	音早
御瞽	音古
幾聲	居希反又音祈
上下	時掌反
怗	徐昌廉反弊也
懘	昌制反又昌紙反敗也
敝敗	音弊
則陂	彼義反注同傾也
其財匱	其媿反乏也
迭相	田節反
猶散	蘇旦反
旄荒	莫報反
比於	毗志反猶同也注同又如字
濮上	音卜水名
誣上	音無注同
師㳙	古玄反
爲晉	于僞反下爲作法度同
分也	扶問反
克諧	戸皆反
而治	直吏反下民治行同
則幾	音譏一音巨依反注同
食饗	音嗣下食饗同
䟽越	音踈下同
壹倡	昌諒反注同
腥魚	音星
不和	胡臥反
瑟底	都禮反
畫䟽	音獲
祫祭	音洽
不臑	音而
肉湆	去及反
好惡	上呼報反下烏路反又並如字後好惡二字相連者皆放此
猶見	賢遍反
知誘	音酉
猶道	音導
有悖	布内反下同
淫佚	音逸
強者	其良反
脅弱	許劫反
知者	音智
苦怯	起劫反
以遏	於葛反本亦作節
衰麻	七雷反
安樂	音洛
冠	古亂反注同
笄	音雞
以別	彼列反下文注皆同
樂勝	始證反
析居	思歷反
飭貌	音勑本又作飾音式
斌斌	彼貧反本又作彬
好惡著	張慮反
不肖	音笑
必易	以豉反注同
不爭	爭鬪之爭
明長	丁丈反
若敖	五羔反
賢知	音智
相㳂	恱專反因也述也
功偕	古諧反俱也
作大濩	戸故反下同
屈伸	音申
綴兆	丁劣反徐丁衞反下綴逺綴短皆同
簠簋	上音甫下居洧反並祭器名
上下	時掌反
周還	音旋
裼	思歷反
襲	音習
謂鄼	作管反後同
無邪	字又作耶同似嗟反
王者	如字徐于況反
治定	直吏反注治定治主下治辯同
治辨	本又作辯舊音遍案廣雅辨徧也薄莧反
辨徧	音遍
孰亨	沈普衡反徐許兩反
獻爓	在廉反
禮粗	倉都反後皆同
則偏	音篇下同
所好	呼報反
淫侉	苦瓜反
及夫	音扶下皆放此
夏長	戸嫁反下丁丈反下注長養皆同
仁近	附近之近又其靳反下同
惇和	音純本又作敦
地卑	如字又音婢下同
上齊	上時掌反齊依注讀爲躋又作隮子兮反升也
相摩	本又作磨末河反迫也
相蕩	本或作盪同大儻反動也
雷霆	音廷又音挺
奮之	甫問反奮迅也易作潤之
煖之	徐許袁反沈況逺反
猶迫	音伯
奮訊	本又作迅音信
而蟠	歩丹反委也或蒲河反注同
樂著	直略反處也注著之言同
大始	音泰注同
言處	昌吕反
䕫	求龜反舜臣
命女	音汝
舞行	戸剛反下同
知其行	下孟反注同
大咸	如字一本作大卷卷音權
韶	上遥反注同
大濩	音護
則饑	居祈反
法治	直吏反注同
夫豢	音患養也
榖食	音嗣
善酗	許具反
綴	知劣反
以樂之	音洛下所樂哀樂康樂皆同
之分	扶問反
著其	知慮反
心知	音智
應感	於甑反篇内同
猶見	賢遍反
噍	子遥反
殺	色界反又色例反
思憂	息吏反又音斯
嘽	昌善反
諧	戸皆反
還	音旋注同
迭相	大結反
中吕	音仲
郷方	許亮反
詩言其志	一本無言字
歌咏	音詠
以警	音景
見方	賢遍反下及注皆同
以著	張慮反注同
往復	音伏
以飭	音勑注同
不拔	步葛反又皮八反
獨樂	皇音洛庾音岳
不厭	於豔反
以好	呼報反
以聽過	本或作以聖過如字
鳴鐃	女交反
施也	始豉反
九流	本又作旒音流
黑縁	恱絹反
來朝	直遥反
去僞	起吕反
偩天	音負猶依象也
精粗	七奴反
理治	直吏反
訢合	依注音僖許其反猶蒸也一讀依字音欣
煦	許具反徐況甫反
嫗	於具反徐於甫反下及注同
區	依注音句古侯反徐丘于反一音烏侯反
萌	莫耕反
翼奮	方問反
角觡	古伯反無䚡曰觡
蟄蟲	直立反
嫗伏	扶又反
孕	以證反
􁏽	音育生也徐又扶袁反
胎生	他才反
不殰	音獨鄭云内敗曰殰案謂懷任不成也字林云胎敗
卵生	力管反
不殈	呼闃反范音溢徐況逼反一音況狄反卵坼不成曰殈猶裂也
猶蒸	之膺反
無䚡	息才反
内敗	乃對反或作骨肉之字者誤
鋪筵	普胡反又音敷
去僞	起吕反
而上	如字或時掌反
行成	下孟反注同
才技	其綺反
爲治	直吏反
今夫	音扶下同
以廣	如字舊古曠反
弦匏	白交反
笙	音生
簧	音黃
拊鼓	音撫注同
復	音伏
以相	息亮反注同即拊也以韋爲之實之以穅王云輔相也徐思章反
訊疾	音信
大師	音泰
播樂	彼佐反
􁇭	音胤
以穅	音康
漆	音七
甬	音勇
有椎	直追反
進俯	本又作府
以濫	力暫反
溺	乃狄反
及優	音憂
侏	音朱
􁏵	音儒
獶雜	乃刀反獼猴也依字亦作猱
獼	音彌武移反本亦作彌
猴	音侯本亦作侯
所好	呼報反注同
相近	附近之近徐如字
鏗	苦耕反
鎗	七羊反又七衡反
時當	丁浪反下及注同
疾疢	勑覲反
莫其	亡伯反
克長	丁丈反注同
王此	于況反
克俾	依注音比必履反注同徐扶志反
帝祉	勑紀反
施于	以䜴反注施延同
應和	如字又胡臥反
炤臨	上音照本亦作照下如字
勤施	始䜴反
徧服	音遍
玩習	又作翫音五換反
燕女	於見反安也
趨	音促
數	音速
傲	字又作敖同五報反
辟	匹亦反徐芳益反
喬志	徐音驕本亦作驕
敗名	必邁反
孔易	以豉反
鞉鼓	音桃
椌	苦江反柷也
楬	苦瞎反敔也
壎	許袁反
篪	直支反
柷	昌六反
圉	本又作敔魚吕反
簨	恤尹反
虡	音巨
竽瑟	音于
以和	如字徐胡臥反
獻酬	市由反
酳	音胤又仕覲反
酢	音昨
長幼	丁丈反
聲鏗	苦耕反徐苦庚反
立號	胡到反
立橫	古曠反充也下及注同
石聲磬	依注音罄口挺反一音口定反
聽磬	口定反
封疆	居良反下是疆同
聲濫	力敢反下及注皆同
立㑹	戸外反又古外反下同
畜聚	勑六反
擥	力敢反
鼓鼙	歩西反
聲讙	呼端反又音喧
思將	子亮反下注大將下將帥同
帥	本又作率所類反下將帥同
讙囂	許驕反又五羔反
鎗	七羊反又吐衡反徐勑庚反
牟賈	亡侯反
侍坐	才臥反又如字
咏嘆	上音詠下音歎
淫液	音亦
不逮	音代又大計反
歌遟	直冀反
蹈厲	音悼
巳蚤	音早
憲左	依注音軒
其傳	直專反下文注同傳猶說也
老旄	莫報反下同
萇弘	直良反
遟之遟	並直詩反徐直尼反
吾語	魚據反
女	音汝下且女同
大公	音泰
周召	音邵注及下同
之治	直吏反下注及下同
持盾	述尹反又音允
失行	戸剛反下同
且夫	音扶
復綴	丁劣反又丁衞反注及下同
孟津	本亦作􁋼音孟
夾振	古洽反注及下同
鐸	大各反
一刺	本亦作壹刺七亦反
分夾	扶問反注同分部曲
牧野	音也徐又以汝反
欲語	魚據反
反啇	依注音及
封黃帝之後於薊	音計今涿郡薊縣是也即燕國之都也孔安國司馬遷及鄭皆云燕國郡邵公與周同姓案黃帝姓姬君奭蓋其後也或黃帝之後封薊者滅絶而更封燕郡乎疑不能明也而皇甫謐以邵公爲文王之庶子記傳更無所出又左傳富辰之言亦無燕也
於祝	之六反
於𣏌	音起
使之行	下孟反注同視也
