祭義第二十四	鄭云名祭義者以其記齊戒薦羞之義
欲數	色角反下同
則怠	大改反
曰祠	嗣思反
悽	音妻
愴	初亮反
旣濡	本亦作濡音儒
怵	勑律反
惕	他歷反
皆爲	于僞反下文見所爲并注同
放其	方往反
致齊	側皆反後不岀者同
散齊	息但反注同
所樂	音岳又五孝反
所耆	市志反注及下並同
屈到	屈勿反屈到楚莫敖
耆芰	其寄反楚人謂菱爲芰
僾然	音愛微見貌
周還	音旋本亦作旋注同
愾然	開代反
闔戸	戸臘反
致愨	苦角反
敬養	羊尚反
郷也	許諒反下文郷也郷之注郷之同
言夫日	音扶本或作言夫忌日
爲相	息亮反下文同
不怍	才各反
奠盎	烏浪反
齊齊乎	如字舊子禮反
愉愉乎	羊朱反
盎齊	才細反
繹日	音亦
儐尸	音賔
之忠	如字謂盡中心
文王與	音餘
樂與	音洛下同
尸侑	音又
仲尼嘗	絶句嘗秋祭
奉薦而進	絶句
其親也愨	絶句
趨	音促注及下注皆同
以數	色角反速也徐音速注同
子贛	音貢
濟濟	子禮反下同
漆漆	依注音切下同
濟濟者客也	口白反賔客也下客以逺同
漆漆者容也	羊凶反儀容也下若容以自反同
樂成	音岳又五教反
慌	況往反注及下同一音荒
惚	音忽注及下同本又作忽
所當	丁浪反
一槩	古代反
比時	必利反徐甫至反注同
先時	悉薦反又如字
洞洞	音動下同
屬屬	音燭下同
如弗	本亦作不何休云弗者不之深也
勝	音升
也與	音餘
黝	於糾反
堊	烏路反
祝祝	上之六反下之又反又並之六反
仿	孚往反
佛	孚味反
以詘	求勿反注及下幷篇末同徐丘勿反
敬齊	如字注及下同王徐側皆反
婉順	憂阮反
熬也	五報反
如奉	芳勇反
儼	魚檢反
恪	苦各反
既冠	古亂反
●子	而樹反
敬長	丁丈反下及下注皆同
為其	于偽反下為其同
近於	附近之近
乎王	于況反
至弟	音悌下同
五更	古衡反下更相同
措諸	七路反
序從	才用反注同
于碑	彼皮反
袒而	徒旦反
鸞刀	力端反
以刲	苦圭反
膟	音律
膋	力彫反
爓祭	音燖
泄	息列反
䐲	直輒反
神見	賢遍反一本作神可見則如字
曰𤾉	音陽
以別	彼列反下同
相廵	依注音沿恱専反
氾說	芳劍反
不悖	布內反
以去	起呂反
爭	爭鬬之爭
有奇	紀宜反
邪	似嗟反
不治	直吏反
魄也	普白反
嘘	音虚
吸	許及反
斃于	本亦作弊婢世反
隂為	依注音䕃於鴆反
土壤	如丈反
焄	許云反香臭之氣耳
蒿	許羔反氣烝出貌
烝出	之膺反
為藨	表驕反又皮表反
以為黔首則	其廉反徐又其嚴反黒也黑首謂民也秦謂民為黔首則法也
為民	于偽反
復加	扶又反
逺邇	音爾
燔	音煩
燎	力召反又力弔反
羶	依注音馨許經反後羶薌同
薌	音香
見以	依注見作覸音間廁之間徐古辯反
見間	依注合為覸字音間廁之間
以俠	古洽反
甒	音武
爲藉	在亦反藉田說文作耤
朱紘	音宏
秉耒	力内反
醴酪	音洛
齊	音咨本又作齍
朝之	直遥反注躬朝同
犧牷	音全
近川	附近之近
仞有	音刄七尺曰仞
大昕	許斤反日欲出
使𧖟	才南反
奉	芳勇反下及注同
種	章勇反
風戾	力計反燥也
以食	音嗣
蚤	音早本亦作早
脃	七歳反
氣燥	悉早反
惡濕	烏路反
旣單	音丹
奉繭	古典反
服與	音餘注同
副褘	音暉
其率	音類又音律又所律反
夫人縿	悉刀反下同說文作繅云抽繭岀絲也以此爲旒縿字音所咸反
三盆	蒲奔反掩也
三掩	本亦作淹徐於驗反又於斂反
則易	以豉反下同
子	如字徐將吏反下及注同
諒	音亮下同
油然	音由
則樂樂則安	並音洛下不樂同
與爭	爭鬪之爭
德煇	音輝
言行	下孟反下理行而行皆同
而措	本亦作錯七故反
其減	胡斬反又古斬反下同倦也
則銷	音消
有報	依注音襃保毛反下皆同
能養	羊尚反後皆同
言與	音餘
先意	悉薦反
參直	徐所林反
莅官	音利又音類本又作涖
戰陳	直覲反
烖及	音災
於親	本亦作烖及於身
亨孰	普彭反
而薦	將見反
不遺	如字又于季反
樂自	音岳皇五孝反
溥之	本亦作敷同芳于反
而放	甫往反下同至也
而準	諸尹反平也
無輟	張劣反
斷一	丁管反
不匱	其媿反下同
博施	始豉反
惡之	烏路反
數月	色主反下同
瘳矣	丑留反差也
頃歩	讀爲跬缺婢反又丘弭反一舉足爲跬再舉足爲步
不徑	古定反邪也
邪	似嗟反
趨	七俱反
於朝	直遥反後皆同
而弟	音悌下及下注同
爲之	于僞反
不併	步頂反徐扶頂反
車徒辟	音避注同
鴈行	戸剛反下同
所擔	都甘反
少者	詩照反下同
不遺	如字棄忘也一本作匱其媿反
而長	丁丈反下文皆同
爲甸	田見反
頒禽	音班
於廋	本又作獀音蒐所求反
狩	音獸
士卒	子忽反下同
放乎	方往反
食三	音嗣下同
五更	古衡反下同
大學	音泰下大學汪大卜皆同
而酳	音胤又仕覲反
巡守	手又反本或作狩
于竟	居領反
不復	扶又反下文注將復入同
舉觶	之豉反
見爵	賢遍反
之施	始豉反
卷冕	古本反
明知	音智
斷其	丁亂反
必恐	曲勇反
所以語	魚預反
陶陶	音遥
遂遂	本文作燧音遂
思慮	息嗣反
而術	義作述出注
