祭義第二十四	鄭云名祭義者以其記齊戒薦羞之義
欲數	色角反下同
則怠	大改反
曰祠	嗣思反
悽	音妻
愴	初亮反
旣濡	本亦作濡音儒
怵	勑律反
惕	他歷反
皆爲	于僞反下文見所爲并注同
放其	方往反
致齊	側皆反後不岀者同
散齊	息但反注同
所樂	音岳又五孝反
所耆	市志反注及下並同
屈到	屈勿反屈到楚莫敖
耆芰	其寄反楚人謂菱爲芰
僾然	音愛微見貌
周還	音旋本亦作旋注同
愾然	開代反
闔戸	戸臘反
致愨	苦角反
敬養	羊尚反
郷也	許諒反下文郷也郷之注郷之同
言夫日	音扶本或作言夫忌日
爲相	息亮反下文同
不怍	才各反
奠盎	烏浪反
齊齊乎	如字舊子禮反
愉愉乎	羊朱反
盎齊	才細反
繹日	音亦
儐尸	音賔
之以俠	古洽反
甒	音武
爲藉	在亦反藉田說文作耤
朱紘	音宏
秉耒	力内反
醴酪	音洛
齊	音咨本又作齍
朝之	直遥反注躬朝同
犧牷	音全
近川	附近之近
仞有	音刄七尺曰仞
大昕	許斤反日欲出
使𧖟	才南反
奉	芳勇反下及注同
種	章勇反
風戾	力計反燥也
以食	音嗣
蚤	音早本亦作早
脃	七歳反
氣燥	悉早反
惡濕	烏路反
旣單	音丹
奉繭	古典反
服與	音餘注同
副褘	音暉
其率	音類又音律又所律反
夫人縿	悉刀反下同說文作繅云抽繭岀絲也以此爲旒縿字音所咸反
三盆	蒲奔反掩也
三掩	本亦作淹徐於驗反又於斂反
則易	以豉反下同
子	如字徐將吏反下及注同
諒	音亮下同
油然	音由
則樂樂則安	並音洛下不樂同
與爭	爭鬪之爭
德煇	音輝
言行	下孟反下理行而行皆同
而措	本亦作錯七故反
其減	胡斬反又古斬反下同倦也
則銷	音消
有報	依注音襃保毛反下皆同
能養	羊尚反後皆同
言與	音餘
先意	悉薦反
參直	徐所林反
莅官	音利又音類本又作涖
戰陳	直覲反
烖及	音災
於親	本亦作烖及於身
亨孰	普彭反
而薦	將見反
不遺	如字又于季反
樂自	音岳皇五孝反
溥之	本亦作敷同芳于反
而放	甫往反下同至也
而準	諸尹反平也
無輟	張劣反
斷一	丁管反
不匱	其媿反下同
博施	始豉反
惡之	烏路反
數月	色主反下同
瘳矣	丑留反差也
頃歩	讀爲跬缺婢反又丘弭反一舉足爲跬再舉足爲步
不徑	古定反邪也
邪	似嗟反
趨	七俱反
於朝	直遥反後皆同
而弟	音悌下及下注同
爲之	于僞反
不併	步頂反徐扶頂反
車徒辟	音避注同
鴈行	戸剛反下同
所擔	都甘反
少者	詩照反下同
不遺	如字棄忘也一本作匱其媿反
而長	丁丈反下文皆同
爲甸	田見反
頒禽	音班
於廋	本又作獀音蒐所求反
狩	音獸
士卒	子忽反下同
放乎	方往反
食三	音嗣下同
五更	古衡反下同
大學	音泰下大學汪大卜皆同
而酳	音胤又仕覲反
巡守	手又反本或作狩
于竟	居領反
不復	扶又反下文注將復入同
舉觶	之豉反
見爵	賢遍反
之施	始豉反
卷冕	古本反
明知	音智
斷其	丁亂反
必恐	曲勇反
所以語	魚預反
陶陶	音遥
遂遂	本文作燧音遂
思慮	息嗣反
而術	義作述出注
