祭統第二十五	鄭云統猶本也以其記祭祀之本故名祭統
五經	吉凶軍賔嘉之五禮
神祇	祁之反
心怵	勑律反
祐助	音又
君長	丁丈反下所長同
道之	音導
其爲	于僞反注爲謂同一音如字
追養	羊尚反下同
者畜	許六反下同
盡此	徐子忍反下同
之行	下孟反
取夫人	七住反
所共	音恭下文以共皆同
芹	其斤反
茆	音卯
蚳	文之反
蝝	恱專反
蜩	音條
蔆	本亦作菱音陵
芡	音儉
榛	側巾反
齊盛	本亦作齍與粢同音咨下及注同
純服	側其反注及下純冕同
以見	賢遍反
少陽	詩召反
乃齊	側皆反本又作齋下不出者同
言齊也齊不齊	並如字下以齊之同
耆欲	市志反
其邪	似嗟反
訖其	居乙反止也
先期	悉薦反又如字
大廟	音泰後大廟皆同
副褘	音輝
圭瓉	才但反
祼尸	古亂反
執紖	直忍反注同徐以忍反
大夫從	才用反下皆同
執芻	初俱反
宗婦執盎	烏浪反注同
從夫人	絶句一讀以從字絶句
薦涗水	舒銳反徐音歳
羞齊	本亦作嚌才細反注同
爲柄	兵命反
作絼	直忍反
槀也	苦老反下同
共其	音恭
盎齊	才細反下盎齊同
以樂	音洛下同
竟内	音境篇内皆同
近主	附近之近
獻之屬莫重於祼	一本無之屬二字
道之以禮	音導
有餕	音俊
施惠	始豉反下文注並同
能知	音智
尸謖	所六反起也
百官進	依注作餕
自卑	如字隱義音必利反
以別	彼列反下同
見其	賢遍反下同
脩於廟中也	一本脩作徧
徧及	音遍下同
積重	直龍反下同
凍餧	乃罪反
夫人	音扶
見之	如字舊賢遍反
畜積	勑六反
本與	音餘下是與同
君長	丁丈反下長幼皆同
所惡	烏路反
見事	賢遍反下皆同
之殺	色界反徐所例反下同
鋪	普胡反又芳夫反
筵	羊然反
爲依	于僞反下注爲其皆同
于祊	伯更反
言詗	徒貢反
索祭	所伯反
則伸	音申
子行	戸剛反注同徐胡孟反
之適	丁歷反
以瑶	音遥
以散	悉但反
之差	本又作之等
謂酳	音胤又仕覲反
有昭	上遥反後放此
南郷	許亮反
而舎	依注音釋
卷冕	古本反
執校	戸敎反又戸交反又下卯反下同柄也
執鐙	音登又丁鄧反豆跗也
襲處	昌慮反
下跗	芳符反
貴髀	必氏反又必履反
不重	直龍反
臂臑	乃報反肱骨也
有卑	必利反下及注同與也
煇	依注作韗同況萬反又音運下同甲吏也
胞	歩交反下同肉吏也
翟	音狄樂吏也
􁆻	音昬守門者也
以見	賢遍反注皆同
見此卑	如字舊必利反下同
韗磔	知宅反
曰礿	羊灼反字又作禴
夏祭	戸嫁反下注夏者孟夏同
草艾	音刈
可芟	所銜反
給爨	七亂反
亨	普彭反徐普孟反
自名	如字徐武政反下及注自名同
論譔	音撰
身比	毗志反謂次比也下及注皆同
斟酌	之林反
傅	音附徐音賦一音直專反謂傳述
著	直略反徐張慮反
之行	下孟反
以見	賢遍反注同
知足	音智注同
孔悝	口回反
公假	加百反至也注同
蒯	苦怪反
聵	五怪反
襃之	保毛反
左	音佐
右	音又下啓右并注同一讀此左右並如字
難	乃旦反
奔走	本亦作犇
無射	音亦注同
爲筴	初革反
猶女	音汝後皆同
從焉	才用反
坐殺	才臥反
寘之	之豉反
厭也	於豔反下同
鎬京	胡老反
纂乃	子管反
侯衎	苦旦反
烝	之承反下文注同
鉏	仕居反
耆欲	市志反
不解	古賣反
休哉	許虯反
子圉	魚吕反
予女	羊許反注同
以辟	必亦反又婢尺反注同明也
施于	如字著也
彞鼎	以支反
猶著	張慮反又直略反下同
約	如字徐於妙反
劑	子隨反
是誣	音無
不傳	直專反不本亦作弗
八佾	音逸
赤盾	食準反又音允
羽籥	羊灼反
