仲尼燕居第二十八	鄭云善其不倦燕居猶使三子侍言及於禮著其字言可法也退朝而處曰燕居
燕居	於見反
汎說	芳劒反
女三人	音汝後同本亦作汝
吾語	魚據反下及注語女皆同
不徧	音遍
不中	丁仲反下同
之給	音急徐渠急反又其劫反下同
足恭	將注反又如字
鮮仁	仙淺反
近於	附近之近
能食	音嗣
敏頓	徒遜反
乗東	繩證反又如字
者與	音餘下無相與同
昭穆	上遥反穆亦作繆音同
食饗	音嗣注同
句龍	古侯反
長幼	丁丈反後皆同
朝廷	直遥反下及注皆同
量鼎	音諒注及下同
而錯	七故反本又作措後同
易知	以豉反
別也	彼列反下其別同
豆區	烏侯反
之治	直吏反下其治治國並同
瞽之	音古
無相	息亮反
倀倀	勑良反無見貌
其䇿	初革反
為衆	于偽反又如字
倡始	尺亮反
畎畝	古犬反
而縣	音𤣥注同
樂闋	苦穴反
夏籥	音藥
行中	丁仲反下同
還中	音旋
采齊	本又作薺在細在私二反注同
序更	音庚下同
振鷺	音路
禮繆	音謬注同
禮行	下孟反又如字
冬夏	戶嫁反
大子	音泰下大子下文大平同
適子	丁歴反
俊選	宣面反
皆造	才早反徐七到反
夔	求龜反
窮與	音餘
𫝊於	丈専反注同
子曰師乎	絶句
復問	扶又反
必鋪	普胡反徐音孚
行而樂之	音洛又音岳
所治	直吏反注同
奧	字又作隩烏報反
阼	才故反
符長	丁丈反隠義云符謂甘露醴泉之屬長謂麟鳯五靈之屬
瑞應	應對之應徐於甑反
之處	昌慮反
昭然	章遙反徐之紹反明也
𤼵矇	音蒙
矣	本亦無矣字
