中庸第三十一	鄭云以其記中和之爲用也庸用也孔子之孫子思作之以昭明聖祖之德也
卷之十六率性	所律反循也
則知	音智下知者大知皆同
人放	方往反
傚之	胡教反
離也	力智反下及注同
惡乎	音烏
不睹	丁古反
恐懼	匡勇反注同
閒居	音閑下同
莫見	賢遍反注顯見同一音如字
有佔	勑廉反
哀樂	音洛注同
中節	丁仲反下注爲之中同
長也	丁丈反
小人之中庸也	王肅本作小人之反中庸也
忌憚	徒旦反忌畏也憚難也
畏難	乃旦反
常行	下孟反
中庸其至矣乎	一本作中庸之爲德其至矣乎
民鮮	息淺反下及注同罕也
罕也	呼坦反希也少也
知者	音智下文大知也予知注有知皆同
不肖	音笑下同
矣夫	音扶
也與	音餘下強與皆同
舜好	呼報反下同
易以	以豉反
罟	音古罔之緫名
擭	胡化反尚書傳云捕獸機檻
陷	陷沒之陷
阱	才性反本或作穽同阱穿地陷獸也說文云穽或爲阱字也
知辟	音避注知辟辟害皆同
期月	音基
拳拳	音權又起阮反徐羌權反奉持之貌
服膺	徐音應又於陵反
奉持	芳勇反
可蹈	音悼又徒報反
問強	其良反下同
所好	呼報反
言女	音汝下抑女同
不校	交孝反報也
衽金	而審反又而鴆反
不厭	於豔反
哉矯	居表反下同
不倚	依彼反徐其蟻反
所傃	音素
猶郷	本又作嚮許亮反下皆同
行佹	久委反下同
譎	音決
汲汲	音急
隱行	下孟反
遯世	本又作遁同徒頓反
費而	本又作拂同扶弗反猶佹也徐音弗注同
以與	音預注皆與之與以其與同
舜好	呼報反
故與	音餘
所憾	本又作感胡暗反恨也注同
鳶飛	恱專反字又作䳒
戾	力計吕結二反
魚躍	羊灼反
猶著	張慮反下同
道造	在老反
伐柯	古何反
睨而	徐音詣睥睨也
言顧行行顧言	皆下孟反注聖人之行同或一讀皆如字
慥慥	七到反守實貌
言行	下孟反
相應	於陵反舊音應對之應
患難	乃旦反下同
不援	音園注同牽持也
己	音紀
無怨	於願反又於元反下及注並同
居易	以豉反注同平安也
徼幸	古堯反
正	音征注同
鵠	古毒反注同正鵠皆鳥名也一曰正正也鵠直也大射則張皮侯而棲鵠賔射張布侯而設正也
棲皮	細兮反
辟如	音譬下同
自邇	音爾近也
自卑	音婢又如字注同
好合	呼報反
旣翕	許急反合也
和樂	音洛下及注同
且耽	丁南反
妻帑	音奴子孫也本又作孥同尚書傳毛詩箋並云子也杜預注左傳云妻子也
相應	應對之應
和	胡臥反
齊明	側皆反本亦作齋
洋洋	音羊
其傍	皇薄剛反謂左右也徐方岡反
僾	徐於愷反又音愛
之格	古百反來也
不可度	待洛反注同
思矧	詩忍反況也注同
可射	音亦厭也
厭也	於豔反字又作猒下同
盡敬	子忍反
不可揜	音掩於檢反
此夫	音扶
而著	張慮反
也與	音餘
令聞	音問下令聞同
故栽	依注音災將才反注同植也
培之	蒲回反益也
覆	芳伏反
初載之載	並音災本或作哉同
嘉樂	戸嫁反詩本作假音同假嘉也皇音加善也
憲憲	音顯注同興盛貌一音如字
保佑	音佑助也下注同
纉	徐音纂哉管反繼也
大王	音泰下及注大王皆同
壹戎衣	依注衣作殷於巾反戎兵也謂一用兵伐殷也尚書依字讀謂一著戎衣而天下大定
胄與	直救反下音餘
武王末	亡遏反老也
追王	于況反注追王同
期之	音基注同
組	音祖
紺	古闇反組紺大王之父也亦曰諸盩盩音置留反
以上	時掌反
不爲服	于僞反
埽	悉報反
糞	弗運反本亦作􁇗亦作拚同
昭穆	常遥反穆又作繆音同
以遝	本又作逮同音代
燕毛	於見反注並同
別所	彼列反
共雞	音恭
饋食	其位反
舉觶	音至
於其長	丁丈反下謂長同
省文	色領反
示諸	依注音寘之豉反置也
易爲	以豉反
知力	音智本亦無力字
治之要也	治音直吏反一本作治國之要治則如字
方筴	初革反方版也筴簡也
方版	音板本亦作板
蒲盧	並如字爾雅云蜾臝蒲盧即今之細腰蜂也一名蠮螉
蜾	音果
螺	力果反本亦作蠃音同
土蜂	芳封反字亦作蠭同
螟	莫瓶反
蛉	音零螟蛉桑蟲也
爲己	音紀
之殺	色界反徐所例反
而治	直吏反一音如字
