緇衣第三十三	鄭云善其好賢者之厚故述其所稱之詩以爲其名也緇衣鄭詩美武公也劉瓛云公孫尼子所作也
子言之曰	此篇二十四章唯此一子言之後皆作子曰
上易	以豉反下同
不苛	音何
以錯	七故反本亦作措同
好賢	呼報反注同
如緇	側其反
惡惡	上烏路反下如字注同
卷伯	戸降反巷伯小雅篇名
作愿	音願
還予	音旋
粲兮	七旦反
衣緇衣	上於旣反下如字
取彼䜛人	本又依詩作譖人
投畀	必利反下同
豺虎	仕皆反
有昊	胡老反本或作皓同
有格	古伯反來也
有遯	徒遜反亦作遁逃也
不倍	音佩下注同
涖之	音利又音類
孫心	音遜注同
蚩尤	尺之反
倍畔	本或作叛俗字非也
不任	而鴆反
所行	下孟反注同又如字
不拘	音俱
上好	呼報反下皆同
好惡	烏路反
如景	如字一音英領反
傚禹	胡孝反
赫赫	許百反
成王	如字徐于況反
故長	丁丈反
以說	音恱
有梏	音角詩作覺大也直也
德行	下孟反
如綸	音倫又古頑反綬也
如紼	音弗大索
嗇夫	音色
棺索	悉洛反
不倡	昌尚反
危行而行	皆下孟反注及下皆同
相應	應對之應
不諐	起䖍反過也
愼女	音汝
道人	音導
必稽	古兮反
出話	胡快反善言也
於	音烏注同
緝	七入反
熙	許其反毛詩傳云緝熙光明也
長民	丁丈反下君長同
不貳	本或作貸同音二下同
從容	七凶反
黃黃	徐本作橫音黃
大蜡	仕嫁反
而說	音恱
尹吉	依注爲告音誥羔報反
不忒	他得反本或作貳音二
章義	如字尚書作善皇云義善也
􁈏惡	丁但反病也
靖共	音恭本亦作恭
好是	呼報反
章好	如字又呼報反注同
愼惡	如字又烏路反注同
貪侈	昌式反又式氏反
臣儀	音義出注
行	如字
不援	音袁注同
知慮	音智
版版	布綰反注同
卒亶	丁但反病也本亦作􁈏
辟也	匹亦反字亦作僻同
止共	音恭皇本作躬云躬恭也
之卬	其恭反勞也
以褻	息列反
播刑	徐補餓反
不迪	音狄道也
衍字	延善反
不治	音值
臣比	毗志反注同親也
見逺	賢遍反下同
君毋	音無下同
柄權	音秉兵永反
交爭	爭鬪之爭
不蔽	必世反
葉公	舒涉反注同葉公楚大夫沈諸梁也字子髙爲葉縣尹僭稱公也
敗大	補邁反
以嬖	必惠反徐甫詣反又補弟反字林方豉反賤而得幸曰嬖云便嬖愛妾
莊后	側良反齊莊也下及注同
適夫人	丁歷反
齊莊	側皆反下同
仇仇	音求爾雅云敖也
君陳	本亦作古陳字
若己弗克見	音紀尚書無已字
小人溺	乃歷反
謂覆	芳服反
水近	附近之近注由近人同
德易	以豉反下同
狎	徐户甲反
潔淸	如字又才性反
洪波	本又作鴻
泳之	音詠濳行爲泳
游之	音由
則侮	亡甫反
捍	胡旦反
格	戸白反
口費	芳貴反注同
煩數	色角反
所覆	芳服反又芳又反
爲哱或爲悖	並布内反
可慢	本又作僈音武諫反
難卒	寸忽反
大甲	音泰
自覆	芳服反注同
省括	古活反
于厥度	如字又大各反注同尚書無厥字
蹷	其厥反又紀衞反一音厥
女之	音汝
儗	魚起反本亦作擬
射	食亦反下同
兊命	依注作說本亦作說
起兵	尚書作戎
在笥	司吏反
爲說	音恱
傅說	音恱
朝祭	直遥反
天作孽可違也	魚列反下同尚書作天作孽猶可違也
不可以䠉	本又作逭乎亂反逃也尚書作弗可逭無以字
猶辟	音避
尹吉	音誥出注羔報反
天見	天依注音先西田反
相亦	息亮反
在亳	歩各反
好之	呼報反下同
莊齊	側皆反
詩云昔吾有先正	從此至庶民以生緫五句今詩皆無此語餘在小雅節南山篇或皆逸詩也
且淸	舊才性反一云此詩協韻冝如字上先正當音征
誰能秉國成	毛詩無能字
卒勞	力報反注勞來同詩依字讀
君長	丁丈反
勞來	力再反
者與	音餘
君雅	音牙注同尚書作牙
夏日	戸嫁反注同尚書無日字
資冬	資依注音至尚書作咨連上句云怨咨
祁寒	巨伊反徐巨尸反是也字林上尸反
行無	下孟反下行有格同
比式	如字比方法式
是故	一本作是以
精知	如字一音智注同
汜愛	音泛
虞度	待洛反下同
能好	呼報反下皆同
其正	音匹下同岀注
有郷	許亮反又音香注同
輩類	布内反
徼利	古堯反下同
惡惡	上烏路反下如字
不著	張慮反
此近	附近之近
問遺	于季反
邪	似嗟反徐以車反
辟	匹亦反
周行	戸剛反又如字
其軾	音式
其敝	鄭婢世反敗也庾必世反隱蔽也
人苟或言之	一本無人字
不見	如字又賢遍反
葛蕈	徒南反
毋射	音亦注同
射厭	於豔反後皆同
令君子	力呈反
行從而	下孟反下則行下注以行同
寡言	寡音顧出注
之玷	丁簟反又丁念反缺也下及注同
可摩	莫何反
君奭	音釋
周田觀文	依注讀爲割申勸寧
召公	尚照反本亦作邵
近之	附近之近
使王	于況反
言與	音餘
兊命	音恱
毋予	音無
放	方往反
傚	戸教反
德偵	音貞問也周易作貞
幹事	古半反
