閒傳第三十七	鄭云名閒傳者以其記喪服之間輕重所宜也
服苴	七余反
而見	賢遍反
齊衰	音咨下同
若枲	思里反
喜樂	音洛
而偯	於起反聲餘從容也說文作㥋云痛聲
三折	之設反
從容	七容反
唯而	于癸反徐以水反
士與	音預
斂焉	力驗反
食粥	之六反
一溢	音逸劉音實二十兩也
莫一	音暮
䟽食	音嗣下䟽食同
醯醬	本亦作䤈呼兮反下同
醴酒	音禮
期而	音基下及注皆同
中月	如字徐丁仲反
而禫	大感反
居倚	於綺反
寢	本亦作寑七審反
苫	始占反
枕	之鴆反
塊	苦對反又苦怪反
不稅	吐活反
芐	戸嫁反蒲苹也
翦	子踐反
牀可	徐仕良反
柱	知矩反一音張炷反
楣	音眉
居復	音伏
去其	起吕反下去麻同
其縷	力主反
之差	初佳反後放此
爲母	于僞反下注爲後同
三重	直龍反注三重同
縓	七戀反
縁	徐音掾恱絹反
要絰	一遥反
素縞	古老反又古報反注同
而纎	息廉反注同黒經白緯曰纎
去一	起吕反下同
四糾	居黝反下同
一股	音古
辟男	音避
朝服	直遥反
素紕	婢支反又音綼
白緯	音謂
紛	芳云反
帨	始銳反
綅	徐息廉反又音侵
麻葛重	直龍反注及下不言重言重者同
著	張慮反
主爲	于僞反
長中	丁丈反
