大學第四十二	鄭云大學者以其記博學可以爲政也
大學	舊音泰劉直帶反
則近	附近之近
其知	如字徐音智下致知同
在格	古百反
所好	呼報反
國治國治	並直吏反下同
毋自	音無
如惡惡	上烏路反下如字
臭	昌救反
好好	上呼報反下如字
自謙	依注讀爲慊徐苦簟反厭也
閒居	音閑
厭	讀爲黶烏斬反徐又烏簟反厭然閉藏貌也
揜其	於檢反
而著	張慮反後同
其肺	芳廢反
肝然	音干
言厭	於琰反一音於涉反
體胖	步丹反大也注及下同
顯見	賢遍反
淇	音其
澳	本亦作奥於六反本又作隩一音烏報反
菉竹	音緑
猗猗	於冝反
有斐	芳尾反一音匪文章貌
如瑳	七何反
如琢	丁角反
如摩	本亦作磨末何反爾雅云骨曰切象曰瑳玊曰琢石曰磨
僩兮	下板反又胡板反
赫	許百反
喧兮	本亦作咺況晩反
可諠	許袁反詩作諼或作喧音同忘也
恂	依注音峻思俊反一音思旬反
慄	利悉反
澳	於六反
隈	烏回反
嚴峻	私俊反
於	音烏下於緝熙同
戲	好胡反徐范音羲
樂其樂	並音岳又音洛注同
康誥	古報反
大甲	音泰
顧諟	上音故本又作頋同念也下音是正也
峻德	徐音俊又私俊反
爲題	徐徙兮反
盤	步十反
銘	徐音冥亡丁反
邦畿	音祈又作幾音同
緡蠻	音緜一音亡巾反毛詩作緜傳云緜蠻小鳥貌
岑	仕金反
蔚	音鬱又音尉
安閒	音閑
止處	齒渚反
樂土	音洛
焉	於䖍反
得知	音智
於緝	七入反
熙	許其反
吾聽訟	似用反
猶人也	論語作聽訟吾猶人也
毋訟	音無
虚誕	音但
所忿	弗粉反
懥	勑值反忿懥怒貌也范音稚徐丁四反又音勩
恐懼	丘勇反
所好	呼報反下故好而知同
樂	徐五孝反一音岳
作懫	音致
作疐	音致又得計反
而辟	音譬下及注同謂譬喻也
賤惡	烏路反下惡而知同
所敖	五報反
惰	徒臥反
其惡惡	上如字下烏路反
鮮矣	仙善反注同
故諺	魚變反俗語也
心度	徒洛反
美與	音餘下薄與同
志行	下孟反
弟者	音悌
事長	丁丈反下長長并注同
不中	丁仲反注同
耆欲	時志反
貪戾	力計反
賁事	徐音奮本又作僨注同猶覆敗也
覆敗	芳福反
于濟	子禮反
爲犇	音奔
所好	呼報反注同
君行	下孟反或如字
夭夭	於驕反
蓁	音臻
不忒	他得反
興弟	音悌
不倍	音佩注同
有絜	音結
拒之	音矩本亦作矩
偝棄	音佩本亦作倍下同
挈也	苦結反
爲巨	音拒本亦作拒其吕反
所惡	烏路反下皆同
毋以	音無下同
樂只	音紙
所好好	皆呼報反
節彼	徐音截前切反一音如字
巖巖	五銜反
辟則	匹亦反注同
僇矣	音六
其所行	下孟反又如字
邪辟	似嗟反
未喪	息浪反
峻命	恤俊反大也
不易	以豉反注同
爭民	爭鬪之爭
施奪	如字
言悖	布内反下同
以上	時掌反
多藏	才浪反
專佑	音又
觀射父	食亦反又食夜反父音甫
時辟	音避
驪姬	力冝反本又作麗亦作孋同
在翟	音狄
子顯	許遍反
爲之	于僞反
若有一个	古賀反一讀作介音界
臣	此所引與尚書文小異
斷斷	丁亂反
無它	音他
技	其綺反下及注同
休休	許虯反尚書傳曰樂善也鄭注尚書云寛容貌何休注公羊云美大之貌
好之	呼報反
不啻	音試詩豉反
媢疾	莫報反妬也尚書作冒音同謂覆蔽也
以惡	烏路反下能惡人同
俾不	本又作卑必爾反使也
所敗	必邁反
於殽	戸交反
皆樂	音岳又音洛
妬也	丁路反
佛戾	上扶弗反下力計反
迸諸	北孟反又逼諍反諍音爭鬪之爭皇云迸猶屏也
放去	丘吕反
命也	依注音慢武諫反
能逺	于萬反
好人	呼報反下皆同
之所惡	烏路反下同
拂人	扶弗反注同佹也
葘必	音哉下同
逮	音代一音大計反
夫身	音扶
猶佹	九委反
不肖	音笑
於施	始豉反
予	由汝反
畜	許六反下同
馬乗	徐繩證反下及注同
仲孫蔑	莫結反
以上	時掌反
采地	七代反本亦作菜
爲之	于僞反
長國	丁丈反
患難	乃旦反
猥至	烏罪反
捄之	音救本亦作救
巳著	張慮反
