郷飲酒義第四十五	鄭云郷飲酒義者以其記郷大夫飲賔於庠序之禮尊賢養老之義也別録屬吉禮
于庠	音詳鄭云郷學也州黨曰序學記云古之敎者家有塾黨有庠術有序國有學
盥洗	音管
揚觶	之豉反說文云郷飲酒角也字林音支
致絜	音結下同一本作致絜敬也
不爭	爭鬪之爭下同
則逺	于萬反
鬪辯	如字徐甫免反下同
郷人士君子	鄭云郷人郷大夫士州長黨正也君子謂卿大夫士也周禮天子六郷鄭司農云百里内爲六郷外爲六遂司徒職云五家爲比五比爲閭四閭爲族五族爲黨五黨爲州五州爲郷郷大夫每郷卿一人州長每州中大夫一人黨正毎黨下大夫一人族師每族上士一人閭胥每閭中士一人比長五家下士一人諸侯則三郷
州長	丁丈反篇内皆同
謂卿	去京反注同
飮國	於鴆反
羞出	音脩
主人共之也	音恭
東榮	如字屋翼也劉音營
猶淸	如字皇才性反
介	音戒下放此輔賔者
僎	音遵輔主人者
成魄	普百反說文作霸云月如生魄然也
之坐	才臥反又如字
嚴凝	魚矜反成也
祭薦	本又作􁀔同
嚌	才細反
肺	芳廢反
啐	七内反
專爲	于僞反下及注專爲同
孝弟	音悌下同
之行	下孟反
國索	色百反
禮屬	音燭
大守	音泰下手又反
相	息亮反漢制郡有太守國有相或息羊反則以連下句
易易	皆以豉反注及下易易同
別矣	彼列反注及下注同
省矣	所領反徐䟽幸反注同
不酢	音昨
隆殺	色戒反注及下同
笙入	音生
閒歌	閒廁之閒
合樂	如字徐音閤
不復	扶又反
少長	詩召反
於沃	於木反
能弟	音悌下弟長同
猶脫	徒活反又音奪
廢朝	直遥反注朝夕旣朝同
莫不	音暮下同
先夕	悉薦反
五行	下孟反
亨狗	普萌反
在阼	才路反
之委	於僞反
大古	音泰
南郷	許亮反下及注郷仁南郷東郷皆同
蠢也	尺允反蠢動生之貌
者夏	戸嫁反下同
假也	古雅反下同大也
愁也	依注讀爲揫子留反下同斂也爾雅云揫聚也
中者藏也	如字下同徐才浪反
偝藏	音佩
嚴殺	如字又色戒反
介覵	音閒廁之閒
所共	音恭
三卿	去京反
大參	七南反
