學而第一	以學爲首者明人必須學也
集解	一本作何晏集解
凡十六章亦說	音恱注同
通稱	尺證反
說懌	音亦
有朋	蒲弘反有或作友非
亦樂	音洛譙周云恱深而樂淺一云自内曰恱自外曰樂
不愠	紆問反怒也鄭云怨也
孝弟	大計反本或作悌下同
而好	呼報反下及注同
鮮	仙善反少也鄭云寡也下同
本與	音餘
欲令	力呈反
人說	音恱
曽參	所金反又七南反
三	息暫反又如字
省	悉井反視也鄭云思察己之所行也
爲人	于僞反又如字
傳不	直專反注同鄭注云魯讀傳爲專今從古案鄭校周之本以齊古讀正凡五十事鄭本或無此注者然皇覽引魯讀六事則無者非也後皆放此
道	音導本或作導包云治也注及下同
千乗	繩證反注同千乘大國之賦也
司馬法	齊景公時有司馬田穰苴善用兵周禮司馬掌征伐六國時齊威王使大夫追論古者兵法附穰苴於其中凡一百五十篇號曰司馬法
有畸	居冝反田之殘也
之封	甫用反又如字
雖大賦	絶句一本或云雖大國之賦
包依王制孟子	王制及孟子皆以百里爲大國
奢侈	尺紙反又尺氏反
則弟	音悌本亦作悌
汎愛	孚劒反
行有	下孟反下云觀其行并注同
學文	馬曰文古之遺文也鄭云文道藝也
子夏	户雅反
好色	呼報反下至好學同
盡	津刃反下注同
毋友	音無本亦作無下同
憚	徒旦反
難	乃旦反
子貢	本亦作贛音同
之與	音餘下之與同
抑與	上於力反
陳亢	音剛又苦浪反
必與	音預
爲治	直吏反
信近	附近之近下及注同又如字
覆	芳服反下同
逺恥	于萬反
無諂	勑檢反
而樂	音洛注同
好	呼報反下注同
如切	治骨曰切
磋	七多反治象曰磋
琢	治玉曰琢
摩	一本作磨末多反治石曰磨
謂與	音餘
患不知也	本或作患已不知人也俗本妄加字今本患不知人也
