公冶長第五凡二十九章公冶	音也
長	如字姓公冶名長家語字子張范寗云名芝字子長史記亦字子長
可妻	七細反下同
縲	尤追反孔云黒索
紲	息列反孔云攣也本今作絏
攣	力專反
以拘	音俱
刑戮	音六
宫韜	本又作縚同吐刀反南宫閲一名縚孟僖子之子
斯焉	於䖍反
此行	下孟反
瑚	音胡
璉	力展反
簠	音甫
簋	音軌
焉用	於䖍反下同
禦人	魚吕反
屢數	色角反下同
漆	音七
彫	丁條反本或作凋同
子說	音恱
桴	芳符反
由與	音餘
編竹	必緜反又蒲典反
栰	音伐
好勇	呼報反下同
過我	絶句一讀過字絶句
材	才哉二音
不解	音蟹
不復	扶又反下同
千乗	繩證反下注同
賦	孔云兵賦也鄭云軍賦梁武云魯論作傳
於朝	直遥反
聞一	如字本或作問字非
吾與爾	爾本或作女音汝
宰予	羊汝反或音餘
晝	竹救反
寢	七荏反
朽	香久反
雕	丁條反
腐	房甫反
琢	陟角反
畫	乎卦反
糞	弗問反本或作同
圬	音烏本或作杇鏝也
槾	或作鏝末旦反又末丹反塗工之器
於予	予宰我之名
與	音餘語辭也下同
其行	下孟反
申棖	直庚反包云魯人也鄭云蓋孔子弟子申續史記云申棠字周家語云申續字周也
慾	音欲或羊住反
焉	於䖍反
著	知慮反
見	賢遍反
循	音巡
元亨	許庚反
天道	何云元亨日新之道鄭云七政變通之占
孔圉	魚吕反
而好	呼報反
僑	其驕反
臧	子郎反
之守	手又反
僭	子念反
藻	音早水草有文者也
梲	本又作掇草恱反梁上短柱也
栭	音而
楹	音盈
侈	昌氏反又式氏反
其知	音知下同
名	奴斗反本又作榖
於	音烏
菟	音塗
愠	紆問反
未知	如字鄭音智注及下同
焉	於䖍反下同
崔子	鄭注云魯讀崔爲髙今從古
弑	施志反本又作殺同
十乗	繩證反
杼	直吕反
惡	烏路反
捐其	恱全反
辟	音避本亦作避
三思	息暫反又如字
行父	音甫
賢行	下孟反
寗武子	乃定反
俞	羊朱反
則知	音智下同
歸與歸與	並音餘
吾黨之小子狂簡	絶句鄭讀至小子絶句
斐然	芳匪反
穿	音川
鑿	在洛反此章孔注與孟子同與鄭解異
伯夷	姓墨名允字公信孤竹君之子伯長也夷諡一本名元
叔齊	名智字公達伯夷之弟齊亦諡也夷齊名見春秋少陽篇
乞醯	呼西反亦作䤈
色足	將樹反又如字注同一本此章有子曰字恐非
便辟	婢亦反
大史	音泰
匿	女力反
盍	户臘反
憾	户闇反恨也
少者	詩照反
訟	自用反責也
焉	如字衞瓘於䖍反爲下句首
