雍也第六凡三十章言任	音壬又而鴆反
諸侯治	直吏反一本無治字一本作言任諸侯治國也
桑	子郎反鄭云秦大夫
無見	賢遍反
而行	下孟反又如字下同
大簡	音泰下同
好學	呼報反
今也則亡	本或無亡字即連下句讀
過分	符問反
怒當	丁浪反
嘗復	扶又反
使於	所吏反
爲其	于僞反
釡	音父六斗四升也
庾	俞甫反十六斗
秉	音丙十六斛也
衣輕	於旣反
大多	上音泰或吐賀反
曰毋	音無
犂牛	利之反雜文曰犂又力之反色如狸也又力兮反耕犂之牛
騂	息營反
其舎	音捨注同棄也一音赦置也
中	丁仲反
犧	許冝反
也與	音餘下同
決斷	丁亂反
騫	起䖍反
費	音秘邑名
善爲	于僞反注同
語	魚據反
使者	所吏反
令不	力呈反
復召	扶又反
重來	直用反
則吾必在	一本無吾字鄭本無則吾二字
汶上	音問水名
自牖	由久反
喪	息浪反又如字下同
矣夫	音符
一簞	音丹
食	音嗣下同
一瓢	婢遥反瓠也
笥	息嗣反
陋巷	户降反注同
其樂	音洛注同
不說	音恱
中道	如字一音丁仲反
今女	音汝
畫	音獲止也
女得	音汝
澹臺	徒甘反
由徑	古定反
而殿	都練反注同
祝鮀	徒多反
宋朝	張遥反
及如	一本及字作反義亦通
文質彬彬	彼貧反文質相半也說文作份文質備
好之	呼報反下注同
樂之	音洛
以上	時掌反注可上同
語上	魚據反下同
上知	音智
問知	音智下章及注同
化道	音導
而逺	于萬反
瀆	徒木反本今作黷
樂	音岳又五孝反注及下同
知者樂	五孝反下同
有大公周公	音泰下同
觚不觚	音孤酒爵也容二升
於患難	乃旦反
隋	待果反
令自	力呈反
君子博學於文	一本無君子字兩得
矣夫	音符
不說	音恱注同
矢之	孔鄭繆播皆云矢誓也蔡謨云矢陳也
所否	鄭繆方有反不也王弼李充備鄙反
天厭	於琰反塞也又於豔反
等以爲男子者	集解本皆爾或不達其義妄去等字非也今注云舊以南子者
以說	始銳反
治道	直吏反
故孔子	一本作夫子
之祝	州又反本今作咒
民鮮	仙善反注同
博施	始豉反
夫仁	音符
更爲	于僞反
之行	下孟反
