泰伯第八凡二十一章民無得	本亦作德
大王	音泰下同
少弟	詩照反
則葸	絲里反何云畏懼貌鄭云殻質貌
則絞	古卯反馬云刺也七肆反鄭云急也
不偷	他侯反
行之	下孟反注下同
開衾	苦今反
兢兢	居陵反
免夫	音符
患難	乃旦反
孫捷	在接反本又作踕同
斯逺	于萬反注同
斯近	附近之近
鄙倍	蒲悔反
濟濟	子禮反
蹌蹌	七良反本或作鏘同
惡戾	力計反
幼少	詩照反
人與	音餘
君子也	一本作君子人也
弘毅	魚氣反
能斷	丁亂反
好勇	呼報反注同
大甚	音太下大師大公並同
驕且吝	力訒反又力愼反本亦作恡
於榖	公豆反孔云善也鄭及孫綽禄也
不易	孫音亦鄭音以豉反
則見	賢徧反又音現
行當	下孟反
􁒚	植鄰反古臣字本今作臣
弑	音試下同
師摯	音至
關雎	七餘反
洋洋	音羊
狂而	求匡反
侗而	音通又勑動反玉篇音同
不愿	音願孔云謹也鄭云善也
悾悾	音空
慤	苦角反
巍巍	魚威反
不與	音預注同
之稱	尺證反下注同
煥乎	音喚明也
天下治	直吏反
契	息列反
皐陶	音遥
予有亂十人	本或作亂臣十人非
召	七照反
奭	音釋
閎	音宏
夭	於表反又於遥反
散	息但反
宫适	古活反
參分	七南反一音三本又作三
殷紂	直久反
無閒	閒厠之閒注同
能復	扶又反
菲飲	音匪薄也
黻冕	上音弗下音免
而盡	津忍反
溝洫	呼域反
廣	光曠反下同
深	尸鴆反下同
