子罕第九凡三十一章皇三十章子罕	呼旱反希也
行之	下孟反
也純	順倫反絲也鄭作側基反黒繒也
易	以豉反
毋意	上音無下同意如字或於力反非
羣萃	在醉反聚也
嘗暴	如字木或作曽才能反
顔剋	諸書或作顔亥
爲夫子	于僞反又如字
見在	賢遍反
將喪	息浪反下及注同
得與	音預
當傳	直專反
大宰	上音太鄭云是呉太宰嚭
者與	音餘
天縱	子用反
吾少	詩照反下同
牢	力刀反鄭云弟子子牢也家語有琴牢字子開一字子張史記無文
多伎	其綺反
空空	如字鄭或作悾悾同音空
我叩	音口發動也
兩端	如字孔云終始也鄭云末也
以語	魚據反
不爲	于僞反
不出	如字舊尺遂反注同
矣夫	音符
此瑞	時恚反
齊	音咨
衰	七雷反
冕	音免鄭本作弁云魯讀弁爲絻今從古郷黨篇亦然
瞽	音古盲也
喟然	上苦位反又苦恠反
鑚之	子官反
惚怳	況往反本今作恍惚
循	音巡
欲罷	皮買反又皮巴反又音皮
卓爾	陟角反鄭云絶望之辭
病閒	如字
少差	初賣反
行詐	側嫁反
韞	紆粉反馬云藏也鄭云裏也
匵	本又作櫝徒木反馬云匱也鄭同
善賈	音嫁一音古
而沽	音姑賣也
匱	求位反
沽之	音姑
不衒	古縣字一音玄遍反
九夷	馬云東方之夷有九種
九種	章勇反
不爲酒困	馬云困亂也
斯夫	音符下章有矣夫並同
不舎	音捨
好德	呼報反下同
一簣	求位反土籠也
土籠	魯東反
而中	丁仲反又如字
雖覆	芳服反注同
語之	魚據反
不惰	徒臥反
也與	音餘注同
顔淵解	音蟹下同
焉知	於䖍反
少年	詩照反本今作年少
法語之	魚據反
巽	音遜
無說	音恱注及下同
繹之	音亦馬云尋繹也鄭云陳也
毋友	音無
勿憚	徒旦反
奪帥	色類反
其將	子匠反
衣弊	於旣反下同本今作敝
緼	紆粉反鄭云枲也
袍	蒲刀反
狐貉	戸洛反依字當作貈
也與	音餘
枲	絲里反
著	竹吕反
不忮	之豉反馬云害也書云狼也韋昭漢書音義音洎
不臧	作郎反
尚復	扶又反
後彫	丁條反依字當作凋
後別	彼列反
處治	直吏反
知者	音智
唐棣	大計反字林大内反
偏	音篇
未之	音味或作末者非
夫	音符注同一讀以夫字屬上句
