郷黨第十凡一章恂恂	音荀又音旬温恭之貌
朝	直遥反篇内不出者同
廷	徒寧反又徒佞反
便便	婢緜反辯也
侃侃	苦旦反
和樂	音洛
誾誾	魚巾反
踧踖	上子六反下子亦反踧踖恭和貌
與與	音餘
中	丁仲反
使擯	必刃反本又作儐亦作賔皆同
勃如	歩忽反
躩如	駈碧反盤辟貌
盤	歩干反字又作磐
辟	婢亦反
襜	赤占反
一俛	音免
鞠躬	九六反
閾	于逼反一音況逼反門限也
攝齊	音資裳下也篇末皆同
摳衣	苦侯反
逞顏色	勑井反
怡怡	以之反
没階趨	一本作没階趍進誤也
不勝	音升
爲君	于僞反
使	所吏反
上	時掌反又如字注同
下如	魯讀下爲趨今從古
蹜蹜	色六反
授玉	一本作受玉
曳踵	章勇反
享	許丈反注同
私覿	直歷反見也注同
愉愉	羊朱反
見也	賢遍反下同
紺	古暗反
緅	莊由反考工記云五入曰緅字林云帛靑色子勾反
領褏	詳又反字亦作袖
縁也	恱絹反
齊服	上側皆反下同本又作齋
似衣	於旣反下不衣同
䙝服	息列反
紾	之忍反本又作袗單也
絺	勑之反細葛
綌	去逆反麤葛
緇衣	側基反
麑	米傒反鹿子也
袂	面世反
相稱	尺證反
便作	婢面反
長一	直亮反
狐貉	戸各反
去喪	起吕反注同
不佩	字或從王旁非
非帷	位悲反
必殺	色界反注同
齊必	本或作齋同側皆反注同
遷坐	如字范寗才臥反
常處	昌慮反
食不	音嗣飯也
厭精	於豔反注及下同
膾	古外反又作鱠
饐	於冀反字林云飯傷熱溼也央莅央冀二反
而餲	烏邁反一音遏字林乙例反
魚餒	奴罪反說文云魚敗曰餒本又作鮾字書同
失飪	而甚反
朝夕	如字
食氣	如字說文作旣云小食也
無量	音亮
沽酒	音姑買也
撤去	起吕反下同
焄	香云反本或作葷同本今作薫
䟽食	音嗣又如字
瓜祭	古華反魯讀瓜爲必今從古
人儺	戶多反魯讀爲獻今從古
於阼	才故）(反本或作於阼階
逐疫	音役
送使	所吏反
饋藥	其愧反
拜而受之	一本或無而之二字
遺孔	唯季反本今無此字
廐	久又反夫子家廐也王弼曰公廐也
焚	扶云反
曰傷人乎	絶句一讀至不字絶句
賤畜	許又反
賜腥	音星說文字林並作胜云不熟也
賜生	魯讀生爲牲今從古
先飯	扶晚反注同
若爲𡮢食然	一本作若爲君𡮢食然爲于僞反
東首	手又反注同
扡	本或作拖徒我反又勑佐反
紳	音申
南牖	由久反
不衣	於旣反
大廟	音太
我𣩵	必刃反
昵	女力反
居不容	苦百反本或作容羊凶反
爲室	于僞反
齊衰	七雷反
雖狎	户甲反
見冕	鄭本作弁
謂數	色角反
迅雷	音信又音峻
車中不内顧	音故魯讀車中内顧今從古也
輿中	音餘一本作車中
枙	於革反本今作軛
輢	於𠋣反又居𦂶反
轂	古木反
山鿄音	良鄭云孔子山行見雉食鿄粟也
時哉	一本作時哉時哉
共之	本又作供九用反又音恭注同
三	息暫反又如字
嗅	許又反注同
