先進第十一凡二十三章先進	包云謂仕也鄭云謂學也
輩也	必内反
之中	丁仲反
猶近	附近之近
從我	才用反注同
德行	下孟反鄭云以合前章皇別爲一章
不說	音恱
即解	音蟹
人不閒於其父母昆弟之言	閒厠之閒注同
三復	息暫反又如字
之玷	丁簟反又丁念反
可磨	音摩
妻之	七細反
康子問弟子孰爲好學	呼報反一本作季康子鄭本同
顏路	回父也名由字季路
之車	音居
無椁	古廓反
曰噫	於其反痛傷之聲
天喪	如字亡也舊息浪反下及注同
慟	徒送反馬云哀過鄭云變動容貌
從者	才用反
夫人	音符下章夫人同
之爲	于爲反
焉能	上於䖍反
語之	魚據反
誾誾	魚巾反
行行	胡浪反剛貌或戸郎郎反
侃侃	苦旦反
子樂	音洛注同
以壽	音授
仍舊	魯讀仍爲仁今從古
貫	古亂反事也
藏	才浪反藏名
有中	丁仲反注同
不解	音蟹
故復	扶又反
得中	丁仲反
師愈	以主反
與	音餘
爲之	于僞反又如字注同
賦稅	如銳反
柴	仕佳巢諧二反
子羔	音髙左傳作子羔家語作子髙禮記作子皐三字不同
鈍也	徒頓反
也辟	匹亦反
在邪	似嗟反
也喭	五旦反
之行	下孟反
叛	普半反本今作畔
子曰回也其庶乎	或分爲別章今所不用
屢空	力從反
殖焉	帀力反
億則	於力反度也
屢中	丁仲反
雖數	音朔
空匱	其位反
而樂	音洛
億度	待洛反又徒洛反
數子	色主反下同
踐迹	本亦作跡子亦反
是與	音餘
鄙行	下孟反
逺	于萬反
􁒚	古文臣字本今作臣
與	音餘下同
弑父	音試
費宰	悲位反
夫人	音符
惡夫	上烏路反下音符
給應	應對之應
曽晳	星歷反史記云曽葴字晢
侍坐	才臥反又如字
長乎	丁丈反
毋	音無
吾以	鄭本作巳
難對	乃旦反
治	直吏反
先三人	悉薦反
千乗	繩證反
饑	音機鄭本作飢同
饉	其靳反
比及	必利反下同
知方	何云方義方也鄭云方禮法也
哂之	詩忍反
非曰	音越
小相	息亮反注及下同
時見	賢遍反
殷覜	吐弔反本或作見
衣玄	於旣反
冠章	古亂反
視朝	直遥反
鏗爾	苦耕反投琴聲本今作瑟聲
舎瑟	音捨
之撰	士免反具也鄭作僎讀曰詮詮之言善也
亦各言其志	一本作亦各言其志也
莫春	音暮本亦作暮
冠者	古亂反注同
浴乎	音欲
沂水	魚依反水名也
舞雩	音于
而歸	如字鄭本作饋饋酒食也魯讀饋爲歸今從古
衣單	於旣反下音丹
袷	古洽反
喟	起愧反又苦恠反
夫三	音符
也與	音餘
焉	於䖍反本今無此字
宗廟會同	本或作宗廟之事如會同非
非諸侯而何	一本作非諸侯如之何
