子路第十三凡三十章勞之	孔如字鄭力報反
先道	道導也本今作導
說以	音恱
曰毋倦	上音無下其卷反本今作無
焉知	於䖍反
其舎	如字置也
之迂	音于包云逺也鄭本作于狂也
不中	丁仲反下同
濫罰	力暫反
所錯	七故反本又作措
學稼	音嫁
爲圃	布古反又音布
上好	呼報反下同
實應	應對之應
夫如是	音符
繈	居丈反又作襁同博物志云織縷爲之廣八寸長丈二以約小兒於背
使於	所吏反
蘧	其居反
瑗	于眷反
史鰌	音秋
茍完	音桓
期月	音基注同
勝殘	音升注同
王者	于況反又如字注同
退朝	直遥反周生烈云君之朝鄭云季氏朝
何晏	於諫反
其與	音預
不易	以豉反
而喪	息浪反
無樂	音洛注同
葉公	舒渉反注同本今作葉
者說	音恱
莒	居吕反
父	音甫注同
毋欲	音無本今作無
公語	魚據反
直躬	孔云躬身也鄭本作弓云直人名弓
攘羊	如羊反有因而盜曰攘
父爲	于僞反注同
使於	所吏反
稱弟	亦作悌同大計反
行必	下孟反注同
硜硜	苦耕反
噫	於其反
斗筲	所交反竹器容斗二升
算	悉亂反本或作筭
數	色主反
狷	音絹
醫	於其反
善夫	音符
所嗜	常志反
好	呼報反
惡	烏路反注及下同
易事	以豉反下同
難說	音恱下同
度才	徒洛反
剛毅	魚旣反
木訥	奴忽反
質樸	普剥反
遲鈍	徒頓反
偲偲	音絲本又作愢
怡怡	以之反
