微子第十八凡十四章紂之	直又反
行異	下孟反
三	息暫反又如字
黜	勑律反
焉往	於䖍反
當復	扶又反
枉道	紆往反
齊人歸	如字鄭作饋其貴反
女樂	並如字注同
不朝	直遥反注同
接輿	音餘下同
乃見	賢遍反
可復	扶又反下同
辟亂	音避下同
殆而	魯讀期斯巳矣今之從政者殆今從古
孔子下	包云下車也鄭云下堂出門也
長沮	七餘反
桀溺	乃歷反
耦而	吾口反
廣	古曠反
夫執	音符
丘與	音餘
言數	所角反
處也	昌慮反下同本今無也字
孔子之徒與	音餘一本作子是本今作孔丘之徒與
滔滔	吐刀反鄭本作悠悠
治亂	直吏反
空舎	音捨
辟人	音避
耰	音憂
不輟	張劣反
覆種	章勇反下字同
憮	音呼又音武
徒與誰與	並如字又並音餘
子路從	才用反
荷	何可反又音何
蓧	徒弔反本又作條又作莜
不分	包云如字鄭扶問反云猶理
而索	所白反
植其	音值又市力反
而芸	音云多作耘字芸香草也
倚也	其綺反
拱	居勇反
而食	音嗣
見其	賢遍反
以語	魚據反
長幼	丁丈反
已知	音紀一音以
朱張	並如字衆家亦爲人姓名王弼注朱張字子弓荀卿以比孔子鄭作侏張云音陟留反
少連	詩照反下同
齊與	音餘
之朝	直遥反
言中	丁仲反下同
應倫	應對之應下同
思慮	息嗣反又如字
不復	扶又反
廢中	方肺反馬云棄也鄭作發動貌
大師	音太
亞	於嫁反
摯	音至
飯	扶晚反下同
繚	音了
缺	窺恱反
播	彼佐反摇也
鼗	徒刀反亦作鞉
少師	詩照反
不弛	舊音絁又詩𥿄反又詩豉反孔云以支反一音勑𥿄反落也並不及舊音本今作施
施易	音亦下同
周有八士	鄭云成王時劉向馬融皆以爲宣王時
伯适	古活反
季騧	古花反
四乳	如注反又如主反
生	所幸反又如字
