邶	蒲對反本又作鄁字林方代反
柏	音百字又作栢
舟第三	鄭云邶鄘衛者殷紂畿内地名屬古冀州自紂城而北曰邶南曰鄘東曰衛衛在汲郡朝歌縣時康叔正封於衛其末子孫稍并兼彼二國混其地而名之作者各有所傷從其本國而異之故有邶鄘衞之詩王肅同從此訖豳七月十三國並變風也
柏舟	柏木名以爲舟也
頃公	音傾
君近	附近之近
汎彼	敷劒反流貌
汎流貌	本或作汎汎流貌者此從王肅注加
耿耿	古幸反儆儆也
儆儆	音景
以敖	本亦作遨五羔反
匪監	本又作鑒甲暫反鏡也
以茹	如預反徐音如庶反
度也	待洛反下同
往愬	蘇路反
之怒	協韻乃路反
卷也	眷勉反注同
棣棣	本或作逮同徒帝反又音代富而閒習也
可選	雪兖反數也
儼然	魚檢反本或作嚴音同
可數	色主反
悄悄	七小反憂貌
愠于	憂運反怒也
遘閔	古豆反本或作覯
受侮	音武徐又音茂
寤辟	本又作擘避亦反拊心也
有摽	符小反拊心貌
拊心	音撫
迭而	待結反韓詩作臷音同云臷常也
澣衣	戸管反
憒辱	古對反
緑衣	毛如字緑東方之閒色也鄭改作褖吐亂反篇内各同
妾上	時掌反注上僭皆同
僭	牋念反
州吁	況于反
母嬖	補計反諡法云賤而得愛曰嬖嬖卑也媟也
黃裏	音里
閒色	閒厠之閒
鞠衣	居六反言如菊花之色也又去六反言如鞠塵之色王后之服四曰鞠衣色黃也
展衣	知彦反字亦作襢音同王后之服五曰襢衣毛氏馬融皆云色赤鄭曰色白
素紗	音沙
嫡妾	本亦作適同丁歷反
女所	崔云毛如字鄭音汝
之行	下孟反下同
以上	時掌反
衣織	於旣反下音志
俾無	卑爾反沈必履反使也
訧兮	音尤本或作尤過也
過差	初賣反又初隹反
淒其	七西反寒風也
燕燕	於見反鳦也
戴嬀	居危反戴諡也嬀陳姓也
名完	字又作兒俗音丸即衛桓公也
殺之	如字又申志反
見已	賢遍反
差	楚佳反又楚冝反
池	如字
鳦	音乙本又作乙郭烏拔反
于野	如字協韻羊汝反沈云協句冝音時預反後放此
巳憤	符粉反
泣涕	他禮反徐又音弟
頡之	戸結反飛而上曰頡
頏之	戸郎反飛而下曰頏
而上	時掌反篇内皆同
竚立	直吕反久也
感激	經歷反
于南	如字沈云協句冝乃林反今謂古人韻緩不煩改字
實勞	實是也本亦作寔
任只	入林反毛云大也沈云鄭而鴆反
塞瘞	於例反崔集注本作實
六行	下孟反下篇同
以勗	凶玉反徐又況目反勉也
日月之難	乃旦反
以至困窮之詩也	舊本皆爾俗本或作以至困窮而作是詩也誤
古處	昌慮反又昌吕反
我顧	本又作頋如字徐音古此亦協韻也後放此
相好	呼報反注同王崔申毛如字
語於	魚據反
不述	本亦作術
終風	終日風也韓詩云西風也
謔	許約反
浪	力葬反韓詩云起也
笑	本又作㗛俗字也悉妙反
凱風	開在反南風也
棘心	居力反俗作㯤
樂夏	音洛或一音岳
之長	丁丈反下皆同
夭夭	於驕反盛貌
劬勞	其俱反
少長	詩照反
叡	恱歳反下同
叡知	音智本亦作智
在浚	音峻衛邑也
浸潤	子鴆反
逸樂	音洛
睍	胡顯反
睆	華板反睍睆好貌
色說	音恱下篇注同
雄雉	爾雅云飛曰雌雄
刺衞	俗作㓨同七賜反詩内多此音更不重出
不恤	本亦作卹
數起	色角反
烝於	之升反
泄泄	移世反
奮訊	音信又音峻字又作迅同
自貽	本亦作詒以之反遺也
遺也	維季反沈羊類反
阻難	乃旦反下同
作繄	烏兮反是也
君之行	下孟反下君之行同
其朝	直遥反
下上	時掌反
女怨	如字下女怨同
德行	下孟反下注皆同
不忮	之跋反害也字書云恨也韋昭音洎
不臧	子郎反善也
匏有苦葉	匏音薄交反瓠也
之瓠	戸故反
以上	時掌反下皆同
渡處	昌慮反
則厲	力滯反以衣渉水也韓詩云至心曰厲說文作砅云履石渡水也音力智反又音例
則揭	苦例反褰衣渡水也
揭揭衣	並苦例反下同一云下揭字音起例反一本作揭褰衣
長幼	張丈反
爲之	于僞反
求妃	音配本亦作配下同
瀰	弥爾反深水也
鷕	以小反沈耀皎反雌雉聲或一音戸了反說文以水反字林于水反
所難	乃旦反下同
淫泆	音逸
之行	下孟反
不濡	而朱反漬也
軓	舊龜美反謂車轊頭也依傳意冝音犯案說文云軌車轍也從車九聲龜美反軓車軾前也從車凡聲音犯車轊頭所謂軓也相亂故具論之
其牡	茂后反
由輈	竹留反車轅也
旭	許玉反徐又許袁反日始出大昕之時也說文讀若好字林呼老反
大昕	許巾反
請期	音情又七井反下同
親迎	魚敬反
迨冰	音待及也
未泮	普半反散也
招招	照遥反號召之貌王逸云以手曰招以言曰召韓詩云招招聲也
卬否	五郎反我也本或作仰音同
號召	戸羔反
谷風	古木反東風也
黽勉	本亦作僶莫尹反黽勉猶勉勉也
見譴	遣戰反
采葑	孚容反徐音豐須也字書作蘴孚容反草木䟽云蕪菁也郭璞云今菘菜也案江南有菘江北有蔓菁相似而異菘音嵩
采菲	妃鬼反芴也
芴也	音勿爾雅云菲芴又云菲蒠菜郭以菲芴爲土瓜解息菜云似蕪菁華紫赤色可食
莖	河耕反
蔓	音万本又作蕪音無
菁	音精又子零反
與葍	音福本又作䔰音富爾雅葍䔰郭云大葉白華根如指色白可食
并棄	俾政反又如字
有違	如字毛離也鄭徘徊也韓詩云違張也
我畿	音祈門内也
巳訣	音決本或作決
裁於門内	一本作裁至於門又一本作裁至於門内
荼苦	音徒苦菜也
如薺	齊禮反菜也
宴爾	本又作燕徐於顯反又烟見反安也
涇	音經濁水也
渭	音渭淸水也
湜湜	音殖持正貌說文云水淸見底
其沚	音止
故見渭濁	舊本如此一本渭作謂後人改耳
動揺	餘招反又餘照反
屑以	素節反絜也
不復	扶富反
無發我笱	古口反捕魚器韓詩云發亂也
