鄘	音容
柏舟第四	鄭云紂都以南曰鄘王云王城以西曰鄘也
柏舟共	音恭下同
姜	居羊反共姜共伯之妻也婦人從夫諡姜姓也
蚤死	音早
僖侯	許其反史記作釐曹大家音僖
汎彼	芳劒反
常處	昌慮反
髧	本又作徒坎反兩髦貌
兩髦	音毛說文作髳音同禮子生三月翦髮爲鬌長大作髦以象之鬌音丁果反
昧爽	莫背反
而朝	直遥反
櫛	側乙反
纚	色蟹反又色綺反
笄緫	子孔反
冠緌	汝誰反
靡它	音他
天只	音紙
不亮	本亦作諒力尚反信也
我特	如字匹也韓詩作直云相當值也
靡慝	他得反邪也
邪也	似嗟反
牆有茨	在良反茨音徐資反茨蒺藜也
頑	五鰥反宣公庶子昭伯名也
烝	之升反載馳序注同
蒺	音疾
蔾	音梨
埽去	丘吕反下同
之行	下孟反
中冓	本又作遘古候反韓詩云中冓中夜謂淫僻之言也
不可詳	如字韓詩作揚揚猶道也
君子偕老	音皆
人君	小君也注云或者小字誤作人耳
副	芳富反首飾也
六珈	音加笄飾也
編	蒲典反或必先反
以別	彼列反
歩揺	餘昭反
委委	於危反行可委曲蹤迹也注同
佗佗	待何反德平易也注同韓詩云德之美貌
行可	下孟反舊如字
委曲	如字
平易	以豉反
揄	音遥字又作褕
狄	本亦作翟王后第一服曰褕狄
欲觀	古亂反又音官
之行	下孟反下同
玼	音此又且禮反鮮盛貌說文云新色鮮也字林云鮮也音同玉篇且禮反云鮮明貌沈云毛及吕忱並作玼解王肅云顔色衣服鮮明貌本或作瑳此是後文瑳兮王肅注好美衣服潔白之貌若與此同不容重出今撿王肅本後不釋不如沈所言也然舊本皆前作玼後作瑳字
鮮盛	音仙
鬒	眞忍反黒髮也說文云髮稠也服䖍注左傳云髮美爲鬒
不屑	蘇節反絜也
髢	徒帝反髲也
髲也	皮寄反
瑱	吐殿反充耳
揥也	勑帝反摘也
以摘	他狄反本亦作􁆿音同本又作擿又作謫並非謫音丁革反擿音直㦸反
揚且	七也反徐子餘反下同
晳也	星歷反
審諦	音帝
之莊	如字本又作壯側亮反
與	音餘
瑳兮	七我反說文云玉色鮮白
展也	陟戰反注展衣皆同沈張輦反
縐	側救反靡也
絺	勑之反
是紲	息列反
袢也	符袁反
丹縠	戸木反
袢延	以戰反又如字
之蹙	子六反
冬衣	於旣反著也下裏衣同
則裏	如字舊音吏
禮見	賢遍反
於君子	一本無子字
作襢	陟戰反
媛也	于眷反美女爲媛韓詩作援援取也
依倚	於綺反
桑中相竊	千節反
弋氏	羊職反
沬之	音妹衛邑也
惡衛	烏路反
行也	下孟反箋同
列國之女	一本作列國之長女長音丁丈反
要我	於遥反注下同
淇	音其衛水
葑	孚容反
蔓菁	音精又子形反
鶉之奔奔	音純䳺鶉鳥䳺音烏南反
行不	下孟反下同
彊彊	音姜韓詩云奔奔彊彊乗匹之貌
定之方中	丁佞反下同定星名爾雅云營室謂之定孫炎云定正也
衛爲狄所滅	一本作狄人本或作衛懿公爲狄所滅非也
漕	音曹
攘	如羊反
說之	音恱
熒澤	廻丁反
以廬	力居反
東辟	音璧
揆之	葵癸反
度也	待洛反下同
南視	字又作眂音同
廄	居又反
榛	側巾反
椅	於冝反梓屬草木䟽云梓實桐皮曰椅也
梓	音子
漆	音七
長大	丁丈反
彼虚	起居反本或作墟
夾於	居洽反
濟水	節禮反
依倚	於綺反
使能	所吏反
能說	如字鄭志問曰山川能說何謂也荅曰兩讀或言說說者說其形勢也或曰述述者述其故事也述讀如遂事不諫之遂
儡	本又作讄又作誄皆力水反說文云讄禱也累功德以求福也誄諡也
爲卿大夫	一本無卿字
倌人	音官徐古患反主駕人也說文云小臣也
星言	韓詩云星晴也
說于	毛始銳反舎也鄭如字辭說
星見	賢遍反
爲我	于僞反
操也	七刀反
騋牝	上音來馬六尺巳上也下頻忍反徐扶允反
以上	時掌反
六種	章勇反下同
過禮	一本作過禮制
而復	符富反
蝃蝀	上丁計反下都動反蝃蝀虹也爾雅作螮蝀音同
相長	張丈反
虹	音洪一音絳
遠父	于万反下同
惡之	烏路反下惡之皆同
朝隮	子西反升也徐又子細反鄭注周禮云隮虹
氣應	應對之對
大無	音泰注同
相鼠	息亮反篇内同
之行	下孟反
髙顯之處	昌慮反
無止	毛止所止息也鄭止容止也韓詩止節無禮節也
不遄	市專反速也
干旄	音毛
美好	呼報反篇内同
孑孑	居熱反又居列反
在浚	蘇俊反衛邑也
之旃	之然反通帛爲旃
紕之	毛符至反鄭毗移反
組也	音祖
之旒	音留
縿	所銜反何沈相沾反
彼姝	赤朱反
卑之	必寐反與也注予同
說此	音恱
干旟	音餘鳥隼曰旟
隼	荀尹反
州長	張丈反
緫以	子孔反
驂馬	七南反
析	星歷反
祝之	毛之六反織也鄭作屬之蜀反著也
著也	直略反沈知略反
載馳閔其	一本作愍密謹反
唁其	音彦弔失國曰唁
載駈	字亦作驅如字協韻亦音丘
跋渉	蒲末反草行爲跋水行爲渉韓詩云不由蹊遂而渉曰跋渉
告難	乃旦反
不臧	子郎反
不遠	于万反注同協句如字
不閟	悲位反徐又方冀反閉也
蝱	音盲貝母也藥名也
以療	力照反
尤之	本亦作訧音同過也
穉	本又作稚直吏反
一槩	古愛反
芃芃	薄紅反徐又符雄反盛長
長也	張丈反
控于	苦貢反引也
引也	夷忍反又夷刃反
求援	于眷反又音袁沈于万反
