鴻鴈勞來	力報反下力代反
矜寡	本又作鰥同古頑反徐又棘冰反篇内矜寡同老無妻曰矜老無夫曰寡
肅肅	所六反本或作䎘同羽聲也
劬勞	其俱反注及下文同韓詩云數也毛云疾苦也
王使	所吏反
矜人	棘冰反
偏喪	息浪反
欲令	力呈反
賙	音周救也
餼之	許氣反
去其	丘吕反
于垣	音袁
百堵	丁古反
其究	居又反窮也
嗸嗸	本又作嗷五刀反聲也
庭燎	力照反徐又力燒反大燭也鄭云在地曰燎執之曰燭又云樹之門外曰大燭於内曰庭燎皆是照衆爲明
箴之	之金反諫誨之辭
將朝	直遥反下皆同
何其	音基辭也下皆同
未央	於良反毛云且也鄭云猶言夜未渠央也說文云久也巳也王逸注楚辭云央盡也
將將	七羊反本或作鏘注同
且也	七也反又子徐反又音且經本作旦
鸞鑣	表驕反又必苗反
未渠	其據反
未艾	毛五蓋反云久也鄭音刈云芟末曰艾
晣晣	本又作晢之世反明也
噦噦	呼會反徐又呼惠反徐行有節也
芟末	所銜反
夜先	悉薦反
鄉晨	許亮反字又作嚮
有煇	音暉毛云光也
其旂	音祁巨畿反
别色	彼列反
沔水	緜善反沔流滿也徐莫顯反
朝宗	直遥反注皆同
春見	賢遍反下夏見同
鴥彼	惟必反
飛隼	息尹反
湯湯	失羊反波流盛貌
復不	扶又反
不蹟	井亦反
弭忘	彌氏反止也下音亡
好詐僞	呼報反
毁惡	烏路反
鶴鳴	草木䟽云鶴鳴聞八九里
九皐	音羔澤也韓詩云九皐九折之澤
聲聞	音問下同
數至	色主反
則見	賢遍反
治平	直吏反
樂彼	音洛沈又五孝反注及下同
爰有	音袁
檀	音壇
維蘀	音託落也
之觀	古亂反下同
朝廷	直遥反
它山	古他字
爲錯	七落反說文作厝云厲石也字林同乎故反
琢玉	陟角反
榖	工木反說文云楮也從木􁈄聲非從禾也毛云惡木也以上章上檀下蘀類之取其上善下惡故知榖惡木也
祈	勤衣反
父	音甫下同圻父司馬也掌封圻兵甲者
若􁀂	此古疇字本又作壽案孔注尚書直留反馬鄭音受
爲王	于僞反下母爲父同
厎止	之履反至也
亶不	都旦反誠也
不得供	九用反
養也	羊亮反
白駒	馬五尺以上曰駒
