生民之什第二十四	自生民至卷阿八篇成王周公之正大雅
生民姜嫄	音原姜姓嫄名有邰氏之女帝嚳元妃后稷母也鄭云髙辛氏之世妃
克禋	音因毛敬也鄭祭天名
以弗	音拂去也注同
去也	起吕反下同
郊禖	音梅下同
祠于	嗣絲反本亦作祀
九嬪	婢人反
弓韣	音獨弓也
祓也	音拂又音廢下同
齊肅	側皆反本亦作齋篇末齊敬同
武敏	密謹反毛疾也鄭拇也
歆	許金反毛饗也鄭歆歆然
攸介	音戒毛大也鄭左右也
載震	眞愼反毛動也鄭有娠也
而見	賢遍反
齊敏	側皆反又如字
育長	張丈反下同
拇也	音母足大指
介左右	如字
之處	昌慮反
不復	扶又反下故復同
誕彌	靣支反終也
如達	他末反注同毛云生也鄭云羊子也說文云小羊也沈云毛如字
言易	以豉反下同
不坼	勑宅反
不副	孚逼反說文云分也字林云判也匹亦反
無葘	音災注同
寘之	之豉反置也下同
隘	於懈反
巷	戸降反
腓	符非反避也
藉之	在夜反
􁀾矣	音孤泣聲也尚書云啓􁀾􁀾而泣是也
覃	徒南反本或作譚毛云長也鄭云始能坐也
訏	況于反毛大也鄭張口鳴呼也
匍	音蒲又音符本亦作扶
匐	蒲北反又音服本亦作服
岐	其冝反知意也
嶷	魚極反識也說文作㘈云小兒有知
覃長	張丈反或如字
識別	彼列反
蓺之	魚世反樹也
荏叔	而甚反叔或作菽音同毛云荏叔戎菽也鄭云戎叔大豆也郭璞云今胡豆是
旆旆	蒲貝反長也
穟穟	音遂苗美好也
幪幪	莫孔反茂盛也
瓜瓞	田節反
唪唪	布孔反徐又薄孔反多實也
長也	如字又張丈反
有相	息亮反注同助也
茀厥	音弗治也韓詩作拂拂弗也
實種	支勇反注種雜種種生不雜下嘉種并注同
實褎	徐秀反長也
實穎	營井反穗也尚書云唐叔得禾異畝同穎是也
有邰	他來反后稷所封國也今在京兆武功縣
維秬	音巨黒黍也
秠	孚鄙反亦黒黍也一稃二米又孚悲反郭芳婢反音門赤苗也爾雅作􁈍同郭亡偉反赤粱粟也
芭	音起白苗也徐又巨巳反郭云白粱粟也
稃	芳于反字書云麤穅也
天應	應對之應
故爲	于僞反下天爲已同
恒之	古鄧反徧也本又作亘
是穫	戸郭反
是任	音壬注同
肈祀	音兆毛始也鄭郊之神位也
徧	音遍下同
