臣工之什第二十七臣工王釐	力之反理也
來茹	如預反度也徐音如
茹度	待洛反下同
來朝	直遥反下皆同
維莫	音暮本或作暮注同
新畬	音餘田二歳曰新三歳曰畬
耒	力對反
耜	音似
措	七故反
於夏	戸雅反
被甲	皮寄反
於皇	音烏注同
迄用	許乞反至也
康樂	音洛下同
明見	賢遍反
庤乃	持恥反具也
錢	子踐反銚也
鎛	音博鎒也
奄	鄭音淹久也王徐並如字
觀	古玩反又如字注同多也
銍	珍栗反穫也
艾	音刈
銚	七遥反何士堯反沈音遥世本云垂作銚
鎒	乃豆反或作耨吕氏春秋云耨柄尺此其度也其耨六寸以閒稼也髙誘注云耨芸田也六寸所以入苗閒也字詁云頭長六寸柄長一尺鎒古字也今作耨同
銍穫也	戸郭反本或作鑊音同釋名云銍穫鐵也說文云銍穫禾短鎌也此則銍器可以穫禾故云銍穫也小爾雅云截穎謂之銍截穎即穫也
意嘻	意又作噫同於其反嘻音僖毛云噫嘆也嘻和也噫嘻有所多大之聲也
禱也	丁老反又丁報反
龍見	賢遍反
而雩	音于
是與	音餘
成王	如字又于況反注同
假爾	鄭王並音格至也沈云毛如字
光被	皮寄反
浚發	本亦作駿音峻毛大也鄭云疾也
發發伐也	一本無一發字
有徑	古定反
有畛	之忍反又之人反
有洫	況域反
有澮	古外反
耜廣	古曠反
振鷺	上之愼反羣飛貌下音路白鳥也一名舂鉏水鳥也一音盧
夏殷	戸雅反
𣏌	音起
其處	昌慮反
無斁	音亦厭也
無厭	於豔反
豐年	芳弓反大也豐年大有年也
多稌	音杜稻也徐勑古反
髙廩	徐力錦反又力荏反倉也
及秭	咨履反數億至萬曰秭一本作數億至億曰秭韓詩曰陳榖曰秭也
齍盛	上音資下音成
之穗	音遂
數萬	色主反下數億同
爲醴	音禮
烝畀	必寐反予也注同
祖妣	必履反
祫	胡甲反本或作洽
皆徧	音遍
畀予	音與
有瞽	音古樂官也無目眹曰瞽眹音直謹反本或作鼓
而合乎祖也	本或作合乎大祖
治定	直吏反
設虡	音巨植者曰虡
應	應對之應小鞞也注同
田	毛如字大鼓也鄭作􁇭音胤小鼓也
縣鼓	音玄注皆同
鞉磬	字亦作鼗音桃鞉小鼓也
柷	尺叔反木椌也
圉	魚古反楬也
飾栒	荀允反
如鋸	音據
植者	時力反又直吏反
衡者	華盲反
卷然	音權又起圎反
小鞞	歩兮反
木椌	苦江反
楬	苦瞎反
矇	音蒙有目眹而無見也
視瞭	音了視瞭有目人也
相之	息亮反
喤喤	華盲反又音橫又音皇
編小	薄殄反又必緜反史記音甫連反字林聲類韻集並布千反
賣餳	夕淸反密也又音唐方言云張皇反即乾餹也音唐
如篴	字又作笛同徒歷反
併而	歩頂反
永觀	古玩反又如字注同多也
和樂	如字或音洛
無愆	去連反
濳	在廉反糝也爾雅作涔郭音濳又音岑韓詩云涔魚池小雅作橬時砧反
獻鮪	于軌反
猗	於冝反
與	音余
漆	音七
沮	七余反
有鱣	張連反
鰷	音條白鰷也
鱨	音常
鰋	音偃
鯉	音里
糝也	素感反舊詩傳及爾雅本並作米傍參小爾雅云魚之所息謂之橬橬糝也謂積柴水中令魚依之止息因而取之也郭景純因改爾雅從小爾雅作木傍參音霜甚反又䟽廕反又心廩反字林作罧音山沁反義同
鮥也	音洛爾雅云鮥叔鮪
鮎也	乃謙反沈又奴廉反
雝	和也
禘	大計反大祭也
大祖	音泰
於祫	戸夾反合也大祭名也
相維	息亮反助也注同
辟公	音璧君也注同
於薦	鄭如字王音烏
假哉	音暇嘉也徐古雅反
宣悊	音哲本亦作哲同
宣徧	音遍下同
才知	音智
克昌	如字或云文王名此禘於文王之詩也周人以諱事神不應犯諱當音處亮反
瑞應	應對之應
旣右	音祐下同助也
大姒	音泰下同姒文王妃
載見	賢遍反下並同
辟王	音璧注同
和鈴	音零和在軾前鈴在旂丄左傳云錫鑾和鈴昭其聲也
央央	於良反徐音英
鞗革	音條
有鶬	七羊反本亦作鎗同
休有	許虯反又許求反注同
在軾	音式
多祜	音戸福也
朝見	直遥反下篇並同
卑	必爾反本又作俾
緝煕	七入反
純嘏	古雅反
福祚	才故反
有客	二王之後爲客也
來見	賢遍反序注同
旣絀	勑律反又作黜同
有萋	七西反
有且	七序反萋且敬愼貌
敦	都回反徐又音彫
琢	陟角反
重言	直用反
不肖	音笑
駮而	鄭邦角反又音角雜也
之縶	陟立反絆也
絆也	音半
餞送	音賤
安樂	音洛
夷易	以豉反下同
武大武	如字徐音泰注同
於皇	音烏注同
遏劉	於葛反止也
耆定	毛音指致也鄭巨移反老也韓詩音同鄭云惡也
汲汲	音急
