堯典第一卷之一虞書	凡十六篇十一篇亡五篇見存
孔氏傳	傳即注也以傳述爲義舊說漢以前稱傳
昔	古也
堯	唐帝名馬融云諡也翼善傳聖曰堯
聦	千公反
思	息嗣反又如字下同
著	張慮反
遁	本又作遯徒遜反退也避也
禪	時戰反讓也授也
放	方往反注同徐云鄭王如字
勲	許云反功也馬云放勲堯名皇甫謐同一云放勛堯字
欽明文思	馬云威儀表備謂之欽照臨四方謂之明經緯天地謂之文道德純備謂之思
被	皮寄反徐扶義反
名聞	音問本亦作問
溢	音逸
九族	上自高祖下至玄孫几九族馬鄭同
黎	力兮反
羲和	馬云羲氏掌天官和氏掌地官四子掌四時
昊	胡老反
重	直龍反少昊之後
黎	髙陽之後
日月所㑹	謂日月交會於十二次也寅曰析木卯曰大火辰曰壽星巳曰鶉尾午曰鶉火未曰鶉首申曰實沈酉曰大梁戊曰降婁亥曰娵訾子曰玄枵丑曰星紀
嵎	音隅馬云嵎海嵎也夷萊夷也尚書考靈耀及史記作禺銕
暘	音陽
谷	工木反又音欲下同馬云暘谷海嵎夷之地名
日出於谷	本或作日岀於陽谷陽衍字
寅	徐以眞反又音夷下同
賔	如字徐音殯馬云從也
岀日	上尺遂反又如字注同
平	如字馬作苹普庚反云使也下皆放此
秩	如字
日中	貞仲反又如字
殷	於勤反馬鄭云中也
七宿	音秀下同
畢見	賢遍反下同
析	星歷反
孳	音字
乳化	上儒付反說文云人及鳥生子曰乳獸曰産
申重	直用反
南訛	五禾反
昧	武内反
冥	莫定反
餞	賤衍反馬云滅也滅猶没也
毨	先典反說文云仲秋鳥獸毛盛可選取以爲器用也
分別	彼列反下同
隩	於六反馬云煖也
氄	如勇反徐又而充反又如充反馬云温柔貌
辟	音避
耎	如兖反本或作濡音儒
毳	尺鋭反
曁	其器反
朞	居其反下同
旬	似遵反十日爲旬
迊	子合反
釐	力之反
熙	許其反興也
疇	直由反
放	方往反注同
胤	引信反馬云嗣也
吁	況于反徐往付反一音于
嚚	魚巾反
訟	才用反馬本作庸
又好	呼報反下注同
爭	鬪也
若予	音餘又羊汝反
采	七在反馬云官也
復求	上扶又反
驩	呼端反
兜	丁侯反
共工	上音恭注同
􁃁	仕簡反徐音撰馬云具也
都於	下音烏
官稱	尺證反
滔	土刀反
漫	末旦反下同又末寒反
背	音佩
傲	五報反下同
很	恨懇反
湯湯	音傷
洪	戸工反
浩浩	胡老反
滌	大歷反
襄上	時掌反
俾	必爾反
僉	七亷反又七劒反
曰於	音烏
鯀	故本反馬云禹父也
朝臣	上直遥反
咈	扶弗反忿戻也
方命	如字馬云方放也徐云鄭王音放
圯	皮美反
戾	力計反
异	徐云鄭音異孔王音怡巳也
朕	直錦反馬云我也
巽	音遜馬云讓也
否	方久反不也又音鄙
忝	他簟反辱也
不肖	音笑說文云肖骨肉相似也不似其先故曰不肖
錫	星歷反
鰥	故頑反
虞舜	虞氏舜名也馬云舜諡也舜死後賢臣録之臣子爲諱故變名言諡
俞	羊朱反
德行	下孟反下其行同
瞽	音古
傲	五報反
瞍	素后反
之稱	尺證反又如字
諧	戸皆反
烝烝	之丞反
姦	古顔反
女于	上而據反
妻	千計反
嬀	居危反
汭	如銳反水之内也杜預注左傳云水之隈曲曰汭
嬪	毗人反
