泰誓下第三申令	力政反
重	直用反
夫長	丁丈反
巳上	上音以下時掌反
惰	徒卧反
斮	側略反又士略反
朝	陟遥反
脛	戸定反
剖	普口反
耐	乃代反
痡	徐音敷又普吳反
邪	似嗟反
技	其綺反
褻	息列反
喪	蘇浪反
斷	丁管反
天惡	烏路反
孜孜	音滋
殄	徒典反
殱	子廉反
毅	牛旣反
獸	徐始售反本或作嘼許救反
旁	歩光反
魄	普白反說文作霸匹革反云月始生魄然貌
旁近	附近之近
哉	徐音載
豐	芳弓反文王所都也
華	胡化胡瓜二反華山在恒農
非長	丁丈反
不復	扶又反
駿	荀俊反
豆	本又作梪
籩	音邊
以上	時掌反
燔	音煩
曁	其器反
大王	大音泰
肈	音兆
王迹	上于況反又如字注王業王功同
厎	之履反
烝	之承反
萃	在醉反
藪	素口反
魁	苦回反
窟	口忽反
遏	烏末反
周召	上照反本又作邵
貃	已白反
俾	必爾反
篚	音匪
爲之	上于僞反
應	應對之應
相予	上息亮反
逾	亦作踰
陳于	上直刃反注同徐音塵
倒	丁老反
漂	匹妙反徐敷妙反又匹消反
杵	昌吕反
著	張略反
散	西旦反
賚	力代反徐音來
巳責	上音以下側界反
賙	音周本亦作周
養	羊亮反
拱	居勇反
所任	而鴆反
治	直吏反
