洪範第六卷之七勝	商證反
禄父	下音甫
範	音范
鎬	胡老反本又作鄗武王所都也
隂	黙也馬云覆也
騭	之逸反馬云升也升猶舉也舉猶生也
相協	上息亮反助也
彞	以之反
鯀	工本反
陻	音因
汩	工忽反
五行	戸庚反
不卑	必二反徐甫至反注同與也
斁	多路反徐同路反敗也
殛	紀力反本或作極音同
錫	星歷反
農	馬云食爲八政之首故以農名之
嚮	許亮反一音許兩反
沮	在汝反
此巳上	時掌反
禹所第敘	馬云從五行巳下至六極洛書文也漢書五行志以初一巳下皆洛書文也
炎	榮鉗反
上	時掌反又如字下同
揉	如酉反
鹹	音咸
鹵	音魯
貌	本亦作䫉
視	常止反徐市止反
思	如字徐息吏反下同
儼	魚簡反
諦	音帝
睿	恱歳反馬云通也
晢	之舌反徐之列反又之世反
成當	下浪反
縱	子用反或作從音同
士卒	子忽反
宿	音秀
迭	田節反
見	賢遍反
比	毗志反注同
罹	馬力馳反又來多反
之行	下孟反
好	呼報反
下人	遐嫁反
無虐	馬本作亡侮
煢	岐扃反
畏	如字徐云鄭音威
其行	如字徐下孟反
其爲	于僞反
陂	音祕舊本作頗音普多反
好	呼報反
惡	烏路反注同
闢	婢亦反
平平	婢緜反
治	直吏反
以近	附近之近
克	馬云勝也
禦	魚吕反
能治	直吏反
爕	息協反
辟	徐補亦反
玉食	張晏注漢書云玉食珍食也韋昭云諸侯備珍異之食
頗	普多反
僻	匹亦反
僭	子念反
忒	他得反馬云惡也
蓍	音尸
霽	子細反
蒙	武工反徐亡鉤反
驛	音亦注同
屬	音燭
占用二	馬云占筮也
衍	以淺反
逢	馬云逢大也
冠	官喚反
暘	音陽
乾	音干
煖	乃管反
以長	丁丈反
蕃	音煩
廡	無甫反徐莫杜反
美行	下孟反
治	直吏反下政治治其職皆同
晢	之設反徐音制又音哲
咎	其九反
豫	羊庶反徐又音舒
省	悉井反
别	彼列反
好	呼報反
橫	華孟反又如字
凶	馬云終也
折	時設反一音之舌反
尫	烏黃反
班	本又作般音同
分器	扶問反注同
