酒誥第十二嗜	市志反
王若	馬本作成王若曰注云言成王者未聞也俗儒以爲成王骨節始成故曰成王或曰以成王爲少成二聖之功生號曰成王没因爲謚衛賈以爲戒成康叔以愼酒成就人之道也故曰成此三者吾無取焉吾以爲後録書者加之未敢專從故曰未聞也
妹邦	馬云妹邦即牧養之地
欲令	力呈反下始令勿令同
文王第稱穆	周自后稷而封爲始祖后稷生不窋爲昭鞠陶爲穆公劉爲昭慶節爲穆皇僕爲昭差弗爲穆毁揄爲昭公非爲穆髙圉爲昭亞圉爲穆諸盩爲昭大王爲穆王季爲昭文王爲穆故左傳宫之竒云大伯虞仲大王之昭也虢仲􁄹叔王季之穆也又富辰云管蔡已下十六國文之昭也昭一音韶窋音竹律反揄音投盩音張流反大並音太
毖	音秘
少正	上詩照反
爲祭	上于僞反下同
惟行	下孟反注及下注之行同
厥長	丁丈反下注長官諸侯之長同
賈	音古
養	羊亮反
洗	先典反馬云盡也
腆	他典反
省	悉井反
饋	其位反
信任	音壬
畏相	說文云仰塗也廣雅云塗也馬云堊色一音故愛反
􁆆	徐在私反
樸	普角反馬云未成器也
斵	丁角反
雘	在略反徐烏郭反馬云善丹也說文云讀與靃同也又一郭反字林音同
夾	音協近也
朝享	上直遥反
付	如字馬本作附
拓	音託
懌	音亦字又作斁下同
先	悉薦反注同
監	古陷反
爲	于威反
