顧命第二十四而治	直吏反
相	息亮反
顧	工戸反
命	臨終之命曰顧命馬云成王將崩顧念康王命召公畢公率諸侯輔相之
懌	音亦馬本作不釋云不釋疾不解也
洮	他刀反徐音逃馬云洮洮髮也
頮	音悔說文作沫云古文作頮馬云頮頮面也
被	皮義反徐扶僞反注同
憑	皮冰反下同說文作凭云依几也字林同父冰反
齊	側皆反
盥	音管又音灌
加朝	直遥反
奭	音釋
芮	如銳反
彤	徒冬反
賁	音奔
之長	丁丈反
幾	音機徐音畿下同
瘳	勑留反
重光	上直龍反馬云日月星也太極上元十一月朔旦冬至日月如疊璧五星如連珠故曰重光
麗	力馳反
肄	徐以至反又以制反
侗	徐音同又勑動反馬本作詷云共也
斥	昌亦反
釗	姜遼反又音昭徐之肴反
夫人	如字注同
冒	亡報反一音墨馬鄭王作勗
貢	如字馬鄭王作贛音勑用反馬云陷也
出	如字徐尺遂反
綴	丁衛反下同
王崩	馬本作成王崩注云安民立政曰成
幄	於角反下同
墉	音容本亦作牖
首	手又反
俾	必爾反
伋	居及反齊侯名太公子
度	舊音待洛反恐誤注云作冊書法度音冝如字
傳	直專反
伯相	息亮反
供	音恭
黼	音甫徐音補
扆	於豈反
屏	歩經反
畫	胡卦反
牖	音酉
復	扶又反
嚮	許亮反
篾	眠結反馬云纎蒻
純	之允反又之閏反下同
縁	恱絹反本或作純
厎	之履反馬云青蒲也
蒻	音弱
苹	音平
豐	芳弓反
莞	音官又音關
鏤	來豆反
夾	工洽反徐音頰注同
筍	息允反馬云箁箬也徐云竹子竹爲席于貧反
紛	孚云反
漆	音七徐七利反
綬	音受
越玉	馬云越地所獻玉也
五重	直容反
琬	紆晩反
琰	以冉反
削	音笑
夷玉	馬云東夷之美玉說文夷玉即珣玕琪
天球	音求馬云玉磬
雍	於用反本亦作邕
鼖	扶云反注同
中法	上丁仲反
車渠	上尺遮反車渠車軔也
兊	徒外反
共	音恭
阼	才故反
南向	許亮反
塾	音孰一音育
重	直用反
弁	皮彦反徐扶變反
綦	音其馬本作騏云青黒色
夾	徐工洽反
戺	音俟
廉	力占反稜也
鉞	音越說文云大斧也
戣	音逵
瞿	其俱反徐音懼
鋭	以稅反
隮	子西反徐子詣反
蟻	魚綺反
瑁	莫報反
憑	皮冰反
卞	皮彦反徐扶變反
眇眇	彌小反
咤	陟嫁反字亦作宅又音妬徐又音託又豬夜反說文作詫下故反奠爵也馬本作詫與說文音義同
酢	才各反
供王	音恭
嚌	才細反
互	音護
宅	如字馬同徐殆故反
徹	丑列反徐直列反
處	昌吕反
