吕刑第二十九贖	音蜀注下同
耄	本亦作毛報反切韻莫報反
度	待洛反注同馬如字云法度也
詰	起一反
蚩	尺之反
尤	有牛反馬云少昊之末九黎君名
鴟	尺之反鴟梟惡鳥馬云鴟輕也
義	本亦作誼
宄	音軌
攘	如羊反
矯	居表反
虔	其然反
劓	魚器反
刵	徐如志反
椓	丁角反
黥	其京反
麗	力馳反
并	必政反
泯泯	面忍反徐音民
棼棼	芳云反徐扶云反
覆	芳服反徐敷目反
詛	側助反
背	音佩
約	如字又於妙反
發聞	音問又如字注同
腥	音星
之行	下孟反
君帝	君冝作皇字帝堯也
遏	於葛反
重	直龍反注同
黎	力兮反
棐	音匪又芳鬼反
鰥	居頑反
淸問	馬云淸訊也
折	之設反下同馬鄭王皆音悊馬云智也
種	章用反
殖	承力反
斷	丁亂反下同
祗	止而反
治	直吏反
賂	來故反
爲天	上于僞反
任重	上而鴆反下輕重之重
麗	力馳反
蠲	吉縁反
咎	其九反
聽	如字又他經反
少	詩照反
長	丁丈反
日勤	上人實反一音曰
天齊于民	絶句馬云齊中也
俾我	絶句上必爾反馬本作矜矜哀也
曰吁	況于反馬作于于於也
度	待洛反注同馬云造謀也
兩造	七報反注同
核	幸革反
不應	應對之應下同
疵	才斯反
惟來	馬本作求云有求請賕也
墨辟	婢亦反
鍰	徐戸關反六兩也鄭及爾雅同說文云六鋝也鋝十一銖二十五分銖之十三也馬同又云賈逵說俗儒以鋝重六兩周官劒重九鋝俗儒近是
閱	音恱
顙	素黨反
涅	乃結反
剕	扶謂反
倍差	側加反下同傳云五百鍰也馬云倍二百爲四百差者又加四百之三分之一凡五百三十二鍰三分鍰之一也
刖	音月又五割反絶也
互見	賢遍反
無僭	子念反
并	必致反
數	色住反
刑當	丁浪反
謂上	時掌反下注同
鞠	九六反
劾	亥代反玉篇胡得反
以儆	音景
天相	如字馬息亮反助也
治	直吏反
令衆	上力呈反
屬	音燭
