開宗明義章仲尼	女持反仲尼取象尼丘山又音夷字作尼古夷字也援神契云蟲也
居	如字說文作凥音同鄭玄云凥凥講堂也王肅云間居也孔安國云靜而思道也
曽	則能反姓也
子	男子美稱也曽子孔子弟子也名曑字子輿魯人也或作參音同義別下皆同
侍	卑在尊者之側曰侍
子	孔子也古者稱師曰子
曰	語辭也從乙在口上乙象氣人將發語口上有氣故曰字缺上也凡曰皆放此
先王	鄭玄云禹三王最先者案五帝官天下三王禹始傳於殷於殷配天故爲孝敎之始王謂文王也
有至德	鄭云至德孝悌也王云孝爲之至也
要	因妙反注同
道	鄭云要道禮樂也王云孝爲道之要
孝悌	大計反又順也本今無此字
民用和睦	音目字林云忘六反
上下無怨	紆萬反
女	音汝本或作汝凡本女字皆放此汝水名音同義別
知之乎曽子辟	音避注同本或作避
曑	所林反
不敏	密隕反逹也
夫	音符注及下同
人之行	下孟反
復	音服注同
坐	在臥反注同
女	音汝本今作汝
身體髮膚	方于反
不敢毁	如字蒼頡篇云毁破也廣雅云虧也
傷父母得其顯譽	音豫
也者􁃪彊	其良反
而仕行歩不逮	音代亦及也又音大計反
縣	音玄
車	音居
致仕	自父母至仕字本今無
大雅云	此文王之詩六章文
毋	音無本亦作無
念	鄭玄云無念無忘也爾雅云勿念也
祖聿	尹吉反爾雅循也述也本今作爾
