喪親章孝子之喪	如字又息浪反
親也死事未見	賢遍反
哭	苦谷反
不偯	於豈反俗作哀非說文作怒云痛聲也音同
言不文	文飾也本或作聞非
不爲趨	七須反字從芻楚俱反疾歩也
翔	行而張拱曰翔室中不翔行而張足曰趨堂上不趨
唯	維癸反又以水反
而不對也去	羌吕反
文繡衣	於旣反
衰	七雷反字或作縗同並義俗作衰色追反非也
般也	自趨字至此本今無
聞樂	如字
不樂	音洛
故不樂也	音洛
不嘗	如字
鹹	音咸
酸	素丸反禮三年之喪食無鹽酸
而食粥	之六反又音育謂朝一溢米暮一溢米自不嘗至此本今無
此哀慼	七歷反
之情毁瘠	情
羸	力爲反色救反一本作病又或作憊皮拜反自瘠字至此本今無
喪不	蘇郎反
過三年示	神志反
民不肖者企	丘豉反
而及之賢者俯	音甫
而就之再期	本又作朞音同自而就之至此本今無
爲之棺	音官
槨	音郭
衣衾	其䕃反注同舊如字
而舉之衾謂單	音丹一本作殮力瞻反
可以亢	苦浪反舉也
尸而起也	自謂單字至此本今無
陳其簠	音甫
簋	音軌簠簋俱祭器名
擗	婢亦反字亦作躃
踊	音勇
哭泣	起及反
啼號	户髙反
竭情也	自啼字至此本今無
卜其宅兆	兆卦也字書皆作垗廣韻云垗葬地
而安厝之	七故反字亦作措
爲之宗廟	字亦作庿
以鬼享之	許丈反又作饗之
無遺纎	息廉反正皆放此
也尋繹	音亦
天經地義究	音救
竟人情也行	下孟反
畢孝成	自無遺字至此本今無
