郷射禮第五	鄭云州長春秋以禮㑹民而射於州序之禮也謂之郷者州郷之屬
郷射	食夜反
州長	丁丈反
猶警	音景
語也	魚據反
此爲	于僞反下同
殊別	彼列反
斯禁	如字劉音賜
加勺	上灼反
篚	音匪
縣于	音玄注同
辟射	音避下辟射同
所射	食亦反
中掩	劉丁仲反
束之	如字
以爲	于僞反下爲人同
獲者	如字劉胡檗反下文同
羮定	多佞反注同
朝服	直遙反下及下注及朝同
一相	息亮反注同
傳命	丈專反下傳同
賔厭	一涉反下賔厭同
當楣	亡悲反
作浣	戸管反
疑立	魚乞反又音嶷注下同
小辟	婢亦反一音避
折俎	之設反後皆放此
嚌之	才計反注同
坐挩	始銳反注下同
啐	七内反
拭也	音式
醋主	才各反報也劉云與酢同音義
便也	婢面反後放此
取觶	之豉反
禮殺	所界反劉色例反後皆同
人復	扶又反
示徧	音遍下同
之長	丁丈反注及下注同
德行	下孟反下德行同
辯有	音遍後皆同
爲僎	音遵
別於	彼列反
夾尊	古洽反劉古協反
不去	起吕反注同
再重	直容反下同
欲大	音泰劉唐餓反
相者	息亮反下及注同
何瑟	胡可反又音河
于縣	音玄
乃合	如字劉音閤下合足同
不閒	閒厠之間
大王	音泰下大師同
成王	如字劉干況反
瞽矇	音蒙
則爲	于僞反下注爲有爲己爲位爲當眀爲同
人相	息亮反下文作相以相注相謂同
解倦	古賣反
以監	古咸反
袒	徒旱反
決	古穴反
兼挾	劉音協一音子協反下皆同
乗矢	繩證反後乗矢皆同
猶闓	音開下同
著右	丁略反一音直略反
大擘	補革反劉薄歷反大指也
射韝	古侯反劉苦侯反
見	賢遍反
鏃於	子木反一音七木反
弣右	芳甫反劉方輔反
年少	申召反
楅豐	音福
倚于	於綺反下同
北括	古活反
以比	毗志反劉音鼻注同
相近	附近之近
爲涖	音利又音類
說束	如字又吐活反又始銳反注同
當辟	音避
相工	息幹反
三笴	劉古老反矢幹也字林云箭笴也公但又
矢幹	古但反又古旱反
郷堂	許亮反
弓矢拾	其劫反劉其輒反更也除決拾以外皆同
拾更	音庚
搢三	音進又音箭劉又祖雞反插也後同
一个	古賀反下皆同
插也	初洽反下同
復言	扶又反下復言同
豫則	音榭岀注
下郷	遐嫁反
猶併	步頂反下皆同
不去	起吕反下注同
取扑	普卜反劉方逼反後皆同
以撻	他達反
欲令	力呈反
於中	丁仲反下中人者中則以中並同
猶閒	間厠之閒
儀省	所景反
仆也	音赴
還其	劉戸串反一音環下還其後同
無射	食亦反注同
從傍	蒲郞反或作旁
說決	吐活反又始銳反下說決拾皆同
