燕禮第六	鄭云諸侯無事若卿大夫有勲勞之功與羣臣燕飲以樂之禮也
戒與	音預注與者同
相君	息亮反
勞	力報反下君勞以勞同
使臣	所吏反下文使者使臣皆同
樂之	音洛下尚樂宴樂同
告語	魚據反
人縣	音玄注同
爲燕	于僞反下爲卿爲拜同
東霤	力又反
罍水	音雷又力囘反
象觚	音孤
瓦大	音泰尊名注同下放此
用綌	去逆反
若錫	悉歷反劉音余章反
兩圜	音圎
瓦甒	亡甫反
卑而	如字劉又音婢
爲緆	悉歷反又余章反又羊豉反
布純	之閏反又章允反後放此
西郷	許亮反本又作曏下及注同
莞筵	音官
加繅	音早
師長	丁丈反下同
大僕	音泰下大宰大平大王皆同
由闑	魚列反
之近	附近之近
又復	扶又反下復盥復言復再拜又復將復而復同
敢伉	苦浪反敵也
辟正	音避下辟正主辟君皆同
爲觶	章豉反
坋	步困反劉扶悶反
塵	如字劉直吝反
嚌之	才計反
挩手	始銳反
坐啐	七内反
酢王	才各反
宰胥	劉思敘反一音如字下胥薦同
媵觚	上以證反又繩證反送也
酌散	思旦反注及下同
禮殺	所界反下皆同
壹弛	尸氏反
類與	音餘下人與竝同
命長	丁丈反後不岀者同
爲其	干僞反下爲拜猶爲爲其爲祭同
相飲	於鴆反
文辯	音遍下同
作徧	音遍後同
別尊	彼列反
兼卷	九轉反劉居逺反
重席	直容反注下皆同
猶去	起吕反下同
則先	悉薦反下先大夫同
牧有	牧養之牧劉音目
大尊	音泰劉徒餓反
近君	附近之近下同
私昵	女乙反
之坐	才臥反
之處	昌慮反
無脀	之承反
瞽矇	音蒙
執技	其綺反
少牢	詩召反
左何	胡我反又音河
相入	息亮反注及下相祭并注同
則傚	戸敎反本又作詨同
其更	音庚
賢知	音智
便其	婢面反
南陔	工才反
風切	方鳳反
重雜	直用反
惡能	音烏
考父	音甫
乃閒	閒厠之閒注及下注放此
魚麗	力知反
下賢	避嫁反
纍	力追反
蔓	音万
之治	直吏反
之長	如字
關雎	七徐反
葛覃	大南反
召南	上照反注同後放此
采蘋	音頻
興王	如字又干況反
之采	七代反
被于	皮寄反
以監	古銜反
俱相	息亮反
爲君	于僞反下爲位所爲同
皆說	吐活反劉寄恱反注同
􁌄	士戀反劉才悶反
肝膋	音遼
狗胾	壯吏反
南郷	許亮反
媵觚	觚依注音觶
欲令	力呈反
亦學	戸敎反敎也
大樂	音泰
別於	彼列反
鑮人	本又作鎛音博下同
皆辟	音避劉房益反
甸人	大練反
燋也	哉約反劉哉妙反
􁆻人	音昬
掌共	音恭
陔夏	戸雅反下同
之使	所吏反下使人同
不腆	他典反
寡鮮	息淺反
重	直用反
傳命	丈專反
朝服	直遙反注同
素韠	音畢
今辟	音璧
而衣	於旣反
亨于	普庚反注同
公食	音嗣
饗時	許兩反或作郷非
燕爲	于僞反
公父	音甫下同
飲南	於鴆反下文若飲并注同
堵父	音者劉音覩
猶逺	于万反
樂闋	苦穴反
應之	應對之應
示易	以䜴反
則勺	音灼劉又音照
於鑠	上音烏下舒若反
栗蹙	子六反
酏	以皮反劉書支反
糝食	素感反
糗	去久反乾飯屑也劉香久反孟子曰舜飯糗茹草
餌	音二
粉餈	才私反
袒	徒旱反
朱	如朱反
稍屬	章欲反
辟不	音避
俟復	扶又反
一笴	工但反又工老反
厭於	一涉反下同
公郷	許亮反
相者	息亮反
