聘禮第八	鄭云大問日聘諸侯相於久無事使卿相問之禮也小聘使大夫
聘禮	匹正反問也
因朝	直遙反後皆同
命使	所吏反下以意求之
上介	音界副也下放此
易於	以豉反
大宰	音泰官名下放此
先行	悉薦反
管人	古緩反劉音官管人掌館舎之官後同
布幕	音莫
玄纁	許云反
皆乗	繩證反
辟使	音避
南郷	許亮反下以意求之
賈人	音嫁後同掌物價之官
監其	古銜反
爲當	于僞反下同
復展	扶又反下不復入復校復請不復皆同
之稱	尺證反
之率	音律劉音類
四只	劉音紙
于笲	音煩器名
必盛	音成
躐行	力涉反
載旜	之然反通帛爲旜孤卿所建
表識	如字又音志
相近	附近之近
櫝	大木反函也
繅	音早圭藉也注璪同
藉圭	在夜反後皆放此
璋	音章半圭口力
琮	才宗反劉又音綜半壁也
繒也	似陵反又才陵反
妃合	音配本亦作配
瑑圭	大轉反
以覜	他弔反
脫舎	音捨
于竟	音景後同
直徑	古定反
猶道	音導下請道同
非爲	于僞反下爲其且爲所爲來爲主凡爲明爲同
餼之	許氣反猶遺也牲腥曰餼謂殺而未熟
積唯	子賜反或如宇
用少	詩照反下少牢皆同
以秣	音末
執筴	音策
掠也	音諒
師從	才用反下同
一肄	以二反劉常二反習也注同
爲壝	劉以垂反一音以癸反
壇	大丹反封土曰壇
畫階	音獲注同
外垣	音袁
皆與	音預注同
以幾	音機本亦作譏
問從	才用反下注授從同
幾人	居豈反
當共	音恭本或作供同後放此
委積	上於僞反下子賜反後放此
各下	戸嫁反
拭圭	音式
拭淸	如字劉才姓反
放而	方徃反
私覿	大歷反
有勞	力到反下文及注皆同
便疾	婢面反後放此
者與	音餘
乗皮	繩證反後乗馬乗禽乗皮皆同
儐勞	必刄反劉云與擯同
簠方	音甫劉音蒲本或作簋外圎内方曰簠内圎外方曰簋
圜	音圎
不腆	他典反善也厚也
之祧	他條反逺廟爲祧謂始祖廟也
旣拚	方問反謂灑埽也劉符變反
俟閒	如字劉音閑
奄卒	寸忽反
齊戒	側皆反本亦作齋
設飧	音孫注同熟食曰飧
飪一	而審反劉而鴆反孰也
六鈃	音刑
稾實	古老反
并刈	魚廢反
訝	五嫁反迎也
俟辦	蒲莧反辦具之辦
而傳	丈專反下同後傳命放此
所爲	于僞反下爲其皆同
直	音值
闑	魚列反
閾外	音域又況域反
而上	時掌反
所別	彼列反
皆裼	西歷反
相君	息亮反下放此
賔辟	音避劉房益反注同後賔辟之類并注各放此
逡	七旬反
遁	音旬
必後	戸豆反又如字下及後同
鴈行	戸郎反下同
中棖	直庚反爾雅謂之楔門兩旁木也
西塾	音孰劉又音育
猶近	附近之近下同
依前	於豈反本又作扆
繢	戸内反
純	劉之閏反一音章允反後放此
曏入	許亮反下同
又盡	津忍反
先賔	悉薦反
立處	昌慮反
當楣	亡悲反
言辟	音避又扶益反
見其	賢遍反下皆可以意求之
坫之	丁念反
麛	音迷或作麑同
靑豻	五旦反胡地野犬也劉音鴈
褎	本又作褏詳又反
絞衣	戸交反
爲温	于僞反下及注賔爲同
凡襢	音但劉上戰反
則攝	之涉反下及注皆同
并執	必性反一音如字下同
告糴	大歷反
汶陽	音問
公食	音似下親食同
加萑	音完
几與	音餘
塵坋	蒲悶反劉本亦作坋被也或作被皮義反
爲梧	五故反
几辟	婢亦反又音避注同
加柶	音四
面枋	彼命反
以飲	於鴆反
尚擸	劉音獵一音以涉反
啐	七内反
相幣	息亮反下以相并注同
殺也	所界反
右靮	丁歷反
從者	才用反注及下注可從從者皆同
辟享	音避下辟堂辟君又辟皆同
扣馬	音口
還牽	劉戸串反
纎縟	音辱
