覲禮第十	鄭云覲見也諸侯秋見天子之禮曰覲禮
覲禮	其覲反
璧勞	力到反注同下王勞注勞之勞其以勞請事勞同
之朝朝服	並直遙反下以意求之
使者	所吏反下放此
為人	如字又于偽反
見侯	賢遍反下侯見卑見同
乘馬	繩證反下乘馬皆同
左驂	七南反
騑	芳非反
之從者	才用反
司空與	音餘篇末注月與館與同
女順	音汝下注猶女同
卿為	或作鄉非
訝者	五嫁同
詔相	息亮反
先朝	悉薦反
分別	彼列反
諸任	音壬
裨冕	婢支反劉音卑注同
衣裨衣	上於既反下如字下衣此衣放此
而冠	古亂反下冠冕同
言埤	毗支反一音卑
公袞	工本反
鷩	必列反
毳	尺銳反
孤絺	丁里反劉本作希張里反
於祧	他彫反
弧	音胡
韣	音獨
有繅	音早
張縿	所銜反又所感反本又作幓下同
侯信	音申
以藉	才夜反下繅藉同
韋衣	於旣反
廣袤	上古曠反下音茂
爲璪	音早
斧依	於豈反注依如同
今綈	大西反
屏風	步丁反
莞席	音官
紛純	諸允反劉之閏反下同
繢之	戸内反
南郷	許亮反下放此
傳	丈專反下傳此傳而皆同
而上	時掌反下而上同
四享	四依注音三享音香丈反劉虚讓反
積畫	音獲
絲纊	音曠劉古曠反
卓上	劉丁角反
折其	之設反
右肱	古弘反
奉篋	苦協反
大史	音泰後大史大常大隂皆同
是右	音又亦如字注右主之右同
耊老	大結反又音鐵
毋下	音無
謂食	音嗣下同
壝土	以垂反後同
爲埒	音劣
猶重	直龍反下同
監之	工銜反
巡守	音狩下同
方琥	音虎
黃琮	才宗反
見王	賢遍反
侯先	悉薦反下同
四傳	丈專反注同一音孚
俠門	古洽反
作傅	音付
樊纓	歩干反
二乗	繩證反
盟約	如字又於妙反
詛祝	莊慮反
如皦	古了反
燔柴	音煩
地瘞	乙例反
揭	苦蓋反
作殪	一計反
之處	昌慮反
