喪服經傳第十一	鄭云天子以下死而相喪衣服年月親䟽降殺之禮也喪必有服所以爲至痛飾也
斬衰	七回反字又作縗後皆同斬者不緝也縗以布爲之長六寸廣四寸在心前縗之言摧也所以表其中心摧痛
苴	七如反有子之麻
絰	大結反實也
絞帶	戸交反後皆同一音如字
菅	古顏反草也毛詩傳云茅已漚爲菅
屨	九具反履也
明爲	于僞反下同
在要	一遙反後放此
之缺	丘蘂反劉屈絹反
齊衰	音咨緝也後同
不緝	七入反下同
有蕡	扶云反麻實
大搹	音革㧖也
去五	起吕反下同
各齊	如字劉才計反
擔主	市豔反注同
條屬	音燭注同
六升	衆並如字鄭音登登成也
鍛	丁亂反
菲	扶未反杜預云草屨也
倚	於綺反
廬	力居反
寢苫	失占反草心
枕	之鴆反
塊	苦對反土也本又作􁏷說文云塊俗凷字
歠	昌悅反
粥	之六反劉音育
一溢	如字劉音實鄭云二十四兩曰溢爲米一升二十四分升之一射慈同王肅劉逵袁準孔倫葛洪皆云滿手曰溢
柱	丁主反注同
楣	亡悲反梁也
䟽食	音嗣又如字
飯素	劉扶晚反今本多作飰字
食	如字又音寺
㧖也	於革反
爲殺	所界反劉所例反
猶著	直略反下同
以別	彼列反下逺別別於同
右縫	扶弄反下左縫出縫皆同
梁闇	烏南反
壘	劣委反又力水反
墼	古狄反劉薄歷反
涂墍	劉其旣反又許氣反一古慨反
爲父	于僞反凡爲服之例放此意求之
長子	丁丈反後長子長殤皆同
言嫡	本又作適同丁狄反
所傳	丈專反
與禰	乃禮反
爲所爲	上干僞反注同下如字
布緫	子孔反
箭笄	音雞
髽	側瓜反
篠也	素了反
露紒	音計下同
之括	如字劉音活
如著	丁略反
幓頭	七消反
子冠	古亂反
子免	音問
無衽	而甚反又而鴆反裳際也
長六	直亮反後放此
厭於	一葉反後皆放此
家相	息亮反
􁆻寺	音昬守門人也寺内小臣
牡麻	茂后反
枲麻	思似反
沽功	音古後同
藨	皮表反劉扶表反
蒯	苦怪反草也
女以	音汝下同
期矣	音基本又作朞後皆放此
帶縁	以絹反注同
大子	音泰
無施	以豉反注同
從爲	于僞反
旁尊	劉薄浪反下注同又如字
牉合	普半反
則辟	音避下注辟大同
適子	丁狄反本又作嫡後除適人之類可以意求之
逺別	彼列反下同
而見	賢遍反下同
將上	時掌反
孰後	如字又音候下放此
何算	素管反劉音選
大祖	音泰注大祖同
近政	附近之近
稷契	息列反
序昭	市遙反又如字下昭穆皆放此
綴之	丁劣反
適人	施隻反
妻稺	直吏反
爲之	于僞反下爲其同
敢與	音預注同
於朝	直遙反注及下章注同
者與	音餘
所寓	音遇寄也
圻内	巨衣反本又作畿同
越竟	音景
恩殺	所界反
未冠	古亂反
文縟	音辱
不樛	居虯反
猶數	音朔下同
散帶	悉但反
爲其	于僞反
姪	大結反字林丈一反
㛮	本又作嫂同素早反
人治	直吏反注治猶同
猶行	戸郎反下同
卑逺	于万反
猶傁	素口反
人稱	尺證反
之別	彼列反下有別并傳同
上而	時掌反
相爲	于僞反下其爲爲之下文所爲同
見恩	賢遍反下以見同
不復	扶又反
繐衰	音歳
接見	賢遍反注同下章不見并注放此
澡麻	音早
治去	起吕反後注猶去則去同
莩	音敷
垢	古口反
無絇	其俱反
娣	大計反
姒	音似兄弟之妻娣姒或云謂先後亦曰妯娌
弟	大計反本亦作娣
長	丁丈反注同
􁅈子	而注反
有食	音嗣
傅姆	音茂劉音母字林亡又反
見於	賢遍反
則劬	其俱反
緦麻	音絲
省文	色景反
朝服	直遙反後章放此
庶孫之中殤	依注中音下
不見	賢遍反章末注同
則爲	于僞反下記所爲下注必爲相爲爲其同
壻	息計反女之夫
縓	七絹反范倉亂反
縁	以絹反下及注同
一染	而漸反
不見	賢遍反
嫌其爲	如字又于僞反
若辟	音避下同
袒	徒旱反
免	音問字或作絻注同
幼少	詩召反
虞祔	音附
錫衰	思狄反
謂墳	扶云反
屍	音尸
柩	其又反
大斂	力驗反
之稱	尺證反
滑易	以豉反
素緫	子孔反
折笄	之設反
有著	丁略反下同
櫛	莊乙反
榛笄	莊巾反
刻鏤	劉音陋
摘頭	他狄反
大飾	音泰劉唐餓反
三袧	劉音鉤又恪憂反
猶殺	色界反劉色例反下同
大古	音泰
以便	婢面反
謂辟	音壁博歷反下皆同
廣	古曠反
袤	音茂
袂屬	音燭劉又音蜀
之肱	古弘反
袪尺	起魚反
併兩	步頂反
拱尚	九勇反
