士喪禮第十二	鄭云士喪其父母自始死至於旣殯之禮
適室	丁狄反注同適室正寢之室也
幠	火吳反覆也
用斂	力豔反後皆同
者齊	側皆反本亦作齋
北庸	如字牆也本亦作墉
當牖	音酉䆫也
衽	而甚反曲禮注云臥席也
去死	起吕反
簪裳	側林反劉左南反
左何	戸我反又音河
扱領	初洽反劉初輒反
則夏	戸雅反後夏祝皆同
純衣	側其反
纁裳	許云反
中屋	如字劉丁仲反
用篚	方鬼反本或作篋苦協反
以衣	於旣反注及衣戸同
西北厞	扶未反本或作扉音非
楔齒	息結反
爲將	于僞反下并注不爲同
含	戸暗反本亦作唅後放此
綴足	丁劣反劉張歳反
辟戾	音壁下力計反
以馮	音憑
俠牀	古洽反
亦適	丁狄反
使者至	所吏反
㧁	劉羌據反閉也
者三	息暫反
人襚	音遂衣服曰襚
執要	一遙反後放此
言遺	唯季反與也
別於	彼列反下皆同
爲銘	亡丁反禮記云銘眀旌也
䞓末	丑貞反
旗識識之	上音試下音式亦作試
爲旆	步貝反
竹杠	音江
橦也	丈江反
梠	音吕
甸人	大練反
掘坎	其勿反又其月反
爲垼	音役
東郷	許亮反注同後放此
塊竈	苦對反劉音古雷反謂冝用土塊也
廢敦	劉音對又都愛反及注下皆同
重	直容反注重鬲於重同
鬲	音歷下放此
皆濯	大角反
造于	七報反注同
五種	章勇反
以盛	音成下同
渜濯	上奴亂反下直孝反下文放此
以汲	居及反
將縣	音玄
滌	大歷反
漑	古愛反
事遽	其據反
不綪	注作䋫側庚反後皆同說文云䋫縈繩也
江沔	音緬水名也一本作沱大何反江別爲沱
謂縈	於營反
繩索	悉各反
以親	如字劉音清刄反
鬠	劉音膾又戸膾反後同
纋中	音憂一音何侯反
廣袤	古曠反下音茂
賔爲	于僞反下同
有惡	烏路反
掩練	劉音奄
析其	西歷反
裹首	音果
瑱	他見反充耳
白纊	音曠劉古曠反緜也
幎	依注音縈於營反劉宛名反又武遍反又音緜後同
組繫	戸計反下同
葛藟	力水反
以絮	息據反
爲㳙	古玄反
握手	於角反劉烏豆反下設握同
牢中	牢音樓出注
若檡	音澤
猶闓	音開
挾弓	音協又子協反
令不	力呈反下令可同
挈指	苦結反劉本作契苦計反
吒鼠	劉音託
冒	亡報反後皆同
手齊	如字又才計反
䞓殺	所界反劉色例反注及下注同
韜尸	土刀反
而上	時掌反
純衣	莊其反注同
所衣	於旣反下所衣同
褖衣	他亂反後同
縁之	說絹反注縁同
不襌	音丹下同
一稱	尺證反
韎	音妹又武拜反劉又武八反
韐	古荅反又古洽反
緼	音温劉烏本反
韍	音弗蔽膝
以璆	音虯劉巨虯反
文竹	如字劉目眞反
去一	起吕反
珵	他頂反本又作珽同
侯荼	音舒
笏作	音忽
皆繶	於力反
緇純	諸允反劉之閏反注同
組綦	音其一音其記反注同
于踵	諸勇反
士冠	古亂反
以魁	苦回反
柎	方于反
馬絆	音半
于笲	音煩
於筐	丘方反
用綌	去逆反
櫛	莊乙反
於簞	音丹笥也
葦	于鬼反
笥	息嗣反
通裁	在代反又音才
管人	如字劉又音官
不說	土活反劉舒悅反注同
繘	均必反劉俱筆反綆也
淅米	西歷反
汏也	徒賴反
受潘	芳元反下及注同淅米汁也
用重	直龍反
用爨	七端反又七亂反
盛米	音成下注盛物巾盛盛笙同
處也	昌慮反
造冰	七到反下同
士併	歩頂反下皆同
襢	之善反下同
笫	壯矣反下同牀簀也
侍從	才用反
倮裎	力果反下直貞反
挋用	之愼反劉居吝反晞也淸也
淸	如字又才性反下絜淸同
用枓	音主
作湪	劉土亂反
蚤	依注音爪下鬊蚤同
揃	子淺反
斷爪	丁管反
揃䰅	音須本亦作須
大蜡	士嫁反
扱諸	初洽反劉初輒反下同
以從	劉才用反下同
爲飯	于僞反下扶晩反下佐飯并下文同
南首	手又反
便扱	婢面反
于跗	方于反
連絇	其于反
足坼	丑宅反
三稱	尺證反杜預云衣襌複具曰稱下放此
而衣	於旣反下同
不紐	女九反
不數	所主反
省文	所景反
欲見	賢遍反
捷也	初洽反下同
于掔	烏亂反
大擘	補革反劉薄歷反大指也下同
爲藉	才夜反
有彄	苦侯反
擐	劉郭大反一音患
作捥	烏亂反
櫜之	古刀反劉古道反
爲橐	音託
鬊	音舜劉又音旬亂髮也
辟奠	婢亦反又音避
重木	直容反下及注同
縣物	音玄下同
簪扎	側林反劉左南反
鬻	本又作粥之六反一音育
餘飯	扶晩反注同謂以飯尸之餘米爲粥
於養	羊亮反
幂用	本又作鼏亡狄反
久之	依注音灸
用靲	劉舉琴反下同說文其闇反
竹䈼	音蔑
辟屈	音壁
綪絞	戸交反後同
縮從	子容反下同
赬裏	丑貞反赤也
無紞	丁敢反
被識	申志反
無別	彼列反
散衣	息但反下及注同
袍襺	古典反
盡用	津忍反
取稱	尺證反
饌于	劉牀轉反一音士眷反後同
鍛濯	丁亂反下大角反
齊坫	丁念反
爲奠	于僞反下爲舉爲不爲塵皆同
苴	七如反
絰	大結反
大鬲	音革又作搹同
搤	音戹本又作㧖
去一	起吕反下并注同後放此
齊	音咨後同
易服	以豉反
冝差	初賣反
簀也	音責
殺之	色界反劉色例反
四鬄	託歷反解也
去蹄	大兮反
兩胉	音博劉音百又音魄脅也
扃	古營反
肩髀	步啓反又必爾反下文同
則辟	婢亦反
或傎	本又作顚丁田反
倒衣	丁老反
馮尸	音憑後皆同
髺髮	音括劉音活
人免	音問後放此
雞斯	所買反劉霜綺反下作纚同
而紒	音計下同
令著	丁略反下同
幓頭	七消反
作絻	音問
髽	側瓜反
