士虞禮第十四	鄭云虞猶安也士旣葬其父母迎精而反日中而祭之於殯宫以安之禮
饋食	其位反
側亨	普庚反劉虚兩反注同
一胖	音判
用鑊	戸郭反
饎	尺志反
幂用	亡狄反
苴	子徐反劉子都反下及記同
刌	七本反
猶藉	在夜反後皆同
便其	婢面反後放此
別於	彼列反
二敦	音對劉又都愛反後放此
匜水	音移
錯	七故反後同
簞巾	音丹
作鉉	玄犬反
南郷	許亮反
羞燔	音煩
臨位	力䕃反下同
髽	側瓜反
散帶	悉但反
祝免	音問
澡葛	音早
爲其	于僞反下爲神同
長	丁丈反下文并注同
近南	附近之近後放此
東縮	所六反
從也	子容反下文并注同
爲蹙	子六反
倚杖	於綺反注及下同
祔杖	音附
啓㑹	古外反後放此
顯相	息亮反下文不相并注同
㩊衣	音宣手發衣曰㩊又作擐音患古患反
少牢	詩召反後放此
祝祝	劉下之又反及注下放此
奉篚	芳勇反下芳鬼反本亦作筐
哭從	才用反後以意求之
旣封	彼驗反劉通鄧反
淳戸	之純反注及下同
辟執	音避
妥尸	他果反劉湯回反坐安也
擩	韋帨反劉而玄反又而誰反
墮祭	許恚反注同又相恚反
猶隳	許規反
嚌之	才計反
湆	去及反
胾	側吏反
尸飯	扶晚反注及下并下注九飯同
啗肉	大敢反
舉胳	音格一音各
三个	古賀反
曰個	古賀反
肵俎	音祈後同
酳尸	以刃反劉侯吝反
賔長	丁丈反下賔長皆同
肝炙	支夜反
進柢	丁計反後同
併也	步頂反
以醋	才各反本亦作酢
直室	音值
繶爵	於力反
有篆	大轉反
猶養	才亮反下同
尸謖	所六反起也
前道	音導下前道道尸爲道同
厞用	扶未反劉音非隱也
爲厭	一豔反下同
飫也	於庶反
不櫛	莊乙反
期以	音基篇末同
用棜	於庶反
凡爲	于僞反下爲淺爲神本爲圭爲同
羮飪	而甚反
臂臑	乃報反
肫	音純又之春反
骼	音格又音各
左膉	音益脰肉也後同
脰	音豆頸也後同
殳矛	音殊下莫侯反
鱄	市專反又市轉反
鮒	音附
髀	步禮反又方爾反
鬐	渠之反
爲胝	音帝
下尸	戸嫁反
以盛	音成
淺	劉音箭一音賛
汚	汚穢之汚
負依	於豈反注同
若薇	音微
用荁	音丸
苦荼	音徒
堇類	音謹
爲枯	如字又音姑劉本作枯音先古反
爲芐	音戸劉音下
蠃	力禾反
不楬	苦瞎反劉苦割反本或作毼同
不說	他活反劉詩恱反下說絰說首并注同
郷尸	許亮反下注皆同
踧	子六反
踖	子亦反
辟退	音避又婢亦反
使適	丁狄反
不綏	依注音墮許恚反劉相恚反
湆胾	莊吏反劉本作酨酢再反
拾踊	其業反注下同
更也	音庚下同
牖郷	許亮反亦䆫也
不復設	扶又反下豈復又復同
重閉	直用反
顯相	息亮反注及下顯相同
悲思	息嗣反
剛鬣	力涉反豕曰剛鬣
昧冒	亡比反下亡報反
香合	本又作薌音同黍曰薌合
普淖	女孝反劉徒較反普大也淖和也謂黍稷
明齊	才計反注同明齊新水也
溲酒	所求反注醙同
涗齊	始銳反
眀粢	音咨一音側其反
祫事	音洽
爾女	音汝下同
勸彊	其丈反下同
報葬	禮記音芳付反下同
令正	力呈反
離也	力智反
乃餞	拻淺反送也
于濟	子禮反
于禰	乃禮反劉本作泥音同
四脡	徒頂反又他頂反
鳥翅	申豉反
從也	子容反
入臨	力䕃反
重餞	直勇反下重帶同又直用反
胊在	其俱反
闈門	音韋劉音暉
不與	音預注同
隮祔	子兮反升也
差䟽	初賣反
搔	依注音爪
揃	子淺反注鬋同
頭嗌	音益
中月	劉丁仲反注同
而禫	大感反
猶閒	間厠之間下同
言澹	大斬反
某妃	豐非反劉又音配
