天官冢宰第一	本或作冢宰上非餘卷放此
惟王	如字干寶云王天子之號三代所稱
雒	音洛水名也本作洛後漢都洛陽改爲雒
之景	京領反下皆同
辨	本亦作辯徐邈劉昌宗皆方免反別也一音平勉反
別也	彼列反下同
以縣	音玄下同
槷	魚列反下同
召誥	上詔反下古報反
太保	音泰
汭	人銳反
體國	鄭云體猶分也干寶云體形體
面朝	直遥反
令天	力呈反
冢宰	鄭云宰主也干云濟其淸濁和其剛柔而納之中和曰宰
掌邦治	直吏反注邦治下治官皆同
大宰	音泰注及後放此
副貳	徐音二
府藏	才浪反下同
官長	丁丈反下皆同
自辟	必亦反徐方狄反
胥	鄭徐劉思敘反戚思餘反下皆同
徭役	音遥
諝	劉思敘反
宫正	此以下鄭揔列六十職序干注則各於其職前列之
膳夫	上戰反
庖人	徐扶交反
賈八人	鄭徐音古劉音嫁下放此
裹肉	音果
苞苴	子餘反
物賈	音嫁
内饔	鄭於容反
割亨	戚普庚反劉普孟反
之稱	尺證反
亨人	劉普庚反
主爲	干僞反下爲主同
甸師	田遍反
主共	音恭下皆同
䱷人	音魚本又作魚亦作䰻同又音御
鼈人	必列反
腊人	音昔
醫師	意其反
有和	胡臥反又音禾
齊	才計反
瘍	音羊
瘍創	初良反
奄	於檢反謂精氣閉藏也劉於驗反徐於劍反
奚	如字又胡禮反
從坐	才卧反
漿人	子良反
凌人	力證反字從冰或力升反
醢人	呼在反
不盡	津忍反
醯人	本又作䤈呼西反
幂人	莫歷反
解止	佳賣反
掌幕	武博反
貨賄	呼罪反
司㑹	古外反注同鄭云主天下之大計
尚書	音常
簿書	步古反後簿書皆同
少内	詩詔反
歳斷	丁亂反
􁆻	音昬
囿	音又
斿	本亦作游音由
未冠	古亂反
嬪	符眞反婦也
内治	直吏反
女祝	之六反鄭徐之又反
典枲	絲里反
裁縫	戚奉容反徐扶用反下同
縫人	劉扶用反
染人	如豔反劉而險反
追師	丁回反治玉石之名一曰雕
屨人	紀具反
夏	戸雅反注同翟雉名
采	如字或作菜
夏翟	音狄
爲緌	如誰反
大宰邦國	鄭云大曰邦小曰國邦之所居亦曰國于云國天子諸侯所理也邦疆國之境
治典	直吏反注下治典邦治治官治職之治皆同
以擾	而小反鄭而昭反徐李尋倫反
以諧	戸皆反
以詰	起一反禁也干云彈正糾察也
馴也	似倫反
度作	待洛反
猶倳	側吏反下同猶立也
灋	古法字
官聮	音連
以弊	必世反斷也鄭蒲計反徐劉府世反
斷也	丁亂反下同
斂弛	尸氏反
以比	毗志反鄭房利反
簡稽	古奚反鄭又音啓
以版	音板
傅別	音附下彼列反
書契	苦計反
劑	子隨反爾雅云劑翦齊也
以要	於妙反徐於召反後不音者放此
朝覲	直遥反凡言朝覲皆同
辠	古罪反
劓	魚兾反
刖	音月又五刮反
以馭	魚慮反
賦貢	鄭云賦口率出泉也貢功也干云賦上之所求於下貢下之所納於上
采邑	音菜
周召	上照反
毛耼	乃甘反
月奉	符用反本或作俸
口率	徐劉音類戚音律一音所律反下同
所稅	舒銳反
八柄	兵命反
其行	下孟反注同
殛	紀力反
鮌	古本反
敺	起俱反
園圃	布古反又音布
毓	古育字
藪	速苟反
牧	牧養之牧徐音目劉音茂
蕃鳥	扶元万
飭化	音勑
商賈	音古行曰商處曰賈下注同
閒民	音閑
秫	音述
曰瑳	七何反
曰琢	陟角反
曰鏤	婁豆反
爲人	于僞反
傭	音容
賃	女鴆反
梁苽	音孤彫胡也字或作菰
果蓏	力果反
其樊	如字又方元反
畜牧	許又反又許六反
美稱	尺證反下同
釐降	力之反
曰圉	魚吕反養馬曰圉
質於	豬二反
䟽不孰	色居反菜也劉音蘇
曰饉	其靳反
家削	本亦作稍又作所敎反徐所召反
幣餘	鄭婢世反干必世反
名與	音餘
郷大夫	劉音香
每處	昌慮反後可以意求
羞服	干云羞飲食也服車服也服或作膳
芻	初俱反
匪頒	鄭音班徐音墳
好用	呼報反注同
贈勞	力報反
嬪貢	鄭音頻司農音賔
爲摰	音至本亦作贄
楛矢	音戸
櫄	勑倫反
幹	古旦反
篠	西了反
簜	大黨反
絺	勑其反
紵	直吕反
璣	徐音畿劉音其旣反一音機
琅	音郎
玕	音干
柚	羊救反一音羊受反或音喻
繫邦	音計
以治	直吏反下注王治凡治眡治皆同
曰藪	干云冝作叟
德行	下孟反
耡	音助
乃縣	音玄注同
挾日	子協反字又作浹同于本作帀子合反十日也
木鐸	待洛反
以徇	辭俊反
其參	七南反鄭云卿三人也干云三公也
傅其	戚音附徐方慕反
各監	古銜反
爲民	于僞反
之平	音評
要之	一遥反
糞	弗運反
洒	色賣反
前期	如字于本同徐昨見反本或作先如字又悉薦反
所諏	子須反謀也
散齊	西但反下側皆反下同
眂	音視本又作視後皆同
滌	直歷反
濯	直角反
謂漑	古愛反
甑甗	魚善反徐音彦一音言本又作䰛音歷
納亨	普庚反注同劉普孟反
郷祭	許亮反
獻齊	才計反
神示	本又作祇音畿
享先王	許兩反劉音向注享幣同
時見	賢遍反下同
春朝	直遥反下文同
之酢	音昨
依前	於豈反本亦作扆
含玉	本又作唅戸暗反後同
旣窆	彼驗反徐補贈反
璧琮	才宗反
巡守	音狩本亦作狩後巡守皆放此
小宰宫刑	鄭如字謂宫中之刑也干同杜作官
之治	直吏反下及注皆同
爭訟	爭鬪之爭
專達	干云達決也
其委	於僞反下賙委同
積	子賜反
斂弛	尸氏反劉本作施音弛杜作施
涖	音利又音類
玉鬯	勑亮反
牲鑊	戸郭反
玉齍	音資
六郷	音香
屬其	音燭
六紖	徐音胤劉音引本或作引
上相	息亮反
豕與	音餘
政役	鄭音征司農如字
以比	毗志反注同
以傅	音附注同
別	彼列反注同
要會	古外反凡要㑹㑹計之字皆放此
士卒	子忽反下同
簡閱	音恱
貸予	他代反
傅著	直畧反
平賈	音嫁
月平	劉音病
弊羣	必世反
治也	如字下文治其弛舎同
斷也	丁亂反下同
不解	佳賣反
傾邪	似嗟反
共其	音恭禮本供字皆作共可以意求之
祼將	古亂反
不爲	于僞反
莫稱	尺證反
啐之	寸對反
含襚	音遂
所賙	音周
使齎	子兮反
今上	時掌反下同
夏之	戸雅反後放此
宰夫掌治	直吏反注及下之治賛治官掌其治皆同
朝之	直遥反後皆同
治藏	才浪反注治藏同
別異	彼列反
辟於	音譬本亦作譬下皆同
傳吏	直專反
辟名	徐芳石反劉芳益反干云不當也
畜獸	許又反
作見	賢遍反
比官	如字注同戚毗志反
委積	上於僞反下子賜反此二字相連皆同此音
飲	鄭徐於鴆反注同
食	音嗣注飲食公食同
賔賜之飧	音孫
牽	一本作賔賜掌其飧牽干本同
俶獻	昌六反
用賻	音附
而賵	孚仲反
共辨	簿莧反
期㑹	如字
警戒	京領反
宫正比宫	徐芳履反一音毗志反注下並同
直宿	戚如字劉息就反下同
柝	吐各反
夕莫	音暮本亦作暮
行夜	下孟反
爲其	于僞反下注皆同
有解	佳賣反
惰	徒臥反
離部	力智反
重門	直龍反
聞於	音問又如字
忘守	手又反又音手下文同
出疆	居艮反
之倅	七内反
分別	彼列反
德行	下孟反
呵其	呼何反又音何
持操	七曹反
䟽數	音朔
禄稟	彼錦反
去其	起吕反
其竒	音羇徐去冝反
衺	似嗟反亦作邪
譎	古穴反
觚	音孤
會其什	如字注同
敎道	徒報反下道導同
蹕	音畢徐又音痺
讀火	戚如字徐音豆
塡	音田
街	音佳
倚廬	於綺反
宫伯適子	丁歷反
於徼	古弔反
候便	婢面反
頒其	音班
膳夫之食	音嗣飯也注及下食用公食同
食飯	扶萬反依字作飰
二十罋	徐劉音瓮屋貢反
之饌	仕眷反
盡聞	津忍反
淳	之純反下同
熬	五刀反
淳毋	莫胡反一音武由反
炮	歩交反
牂	作郎反
擣珍	丁老反
膋	了彫反
五韲	作西反
三臡	劉奴兮反徐耳齊反
稌	音杜徐他古反
苽	古吳反
䣼	本又作涼力羊反徐力放反
􁎀	於美反徐於計反
􁉦	以支反劉書支反
朝食	如字下奉朝同
陪鼎	徐蒲來反
授祭品	鄭云禮飲食必祭示有先也干云祭五行六隂之神與民起居
刌	寸本反劉音忖沈寸没反徐倉典反
大札	側八反徐音截疫癘也杜注左傳夭死曰札
有烖	音災
疫	音役
癘	音厲
君爲	于僞反
見於	賢遍反下文及注同
而閒	劉古莧反戚如字
庖人六畜	許六反注同即六牲也
六獸	司農云麋鹿熊麏野豕兔鄭云有狼無熊干注麏作麞熊作貆
六禽	鄭云羔豚犢麛雉鴈也司農及干鴈鶉雉鳩鷃
麕	本又作麇亦作麏居倫反麞也
鶉	音純
鷃	於諌反
鴿	古合反
麛	音迷鹿子
未孕	以證反一音乗
鱻	悉然反生肉也
薧	苦老反乾肉也
計數	色柱反下校數同
不䙝	息列反
好羞	呼報反
䱹	側雅反
蟹	戸買反
胥	息徐反劉音素字林先於反蟹醬也
乃令	力呈反
付使	所吏反
乗禽	繩證反下同
膏香	牛脂也禮記作薌音同
腒	其居反乾雉也
鱐	所留反乾魚也
臊	素刀反杜云犬膏也司農及干云豕膏也
腥	音星杜云豕膏鄭干云雞膏也或作雉膏
鱻羽	鄭云鮮魚也羽鴈也杜云鮮羽鴈也
羶	書然反羊脂也
煎和	胡臥反下文同
暵熱	呼旱反劉呼旦反
水涸	胡洛反徐戸格反
爲人	于僞反
内饔割亨	普庚反注及下同
肆解	託歷反
齊以	才細反
胾	側吏反
膰	音燔本亦作燔
脀	職升反
庮	音由徐餘栁反干云病也司農云朽木臭也
泠毛	音零徐郎年反
而躁	早到反
犥	本又作皫芳表反又符表反又芳老反徐又孚趙反
而沙	如字一音所嫁反或蘇他反
鳴貍	音鬰徐於弗反
豕盲	亡亮反
眡	視二反又音視
睫	音接一音將業反
而般	音班
臂	如字徐本作辟音方𥿄反
螻	音樓如螻蛄蟲臭也干音漏内病也此依禮記文
是別	彼列反
澌也	音西
蛄	音姑
掌共羞	共依注音具
膴	火吳反徐凶武反
胖	普半反
鍛	丁亂反
鉶羹	音刑
䐑肉	直輒反又之渉反
大臠	力轉反
好賜	呼報反注同
外饔饗食	音嗣
長帥	色類反
亨人之齊	才細反注同
爨	七亂反
大羹	音庚又音衡下同
肉湆	去及反
甸師耕耨	乃豆反
齍盛	音資
芸	音云徐音運本或作耘
芓	音子徐音兹
三推	出誰反又他回反
莤	所六反
酒滲	所鴆反
浚也	荀閏反劉思順反
􁃚	如恱反
苴	音租又子餘反
以藉	在夜反
泲酒	子禮反
醴齊	才細反
蓏	力果反
瓞	大結反
受眚	生景反
斷其	丁亂反
不踐	音翦
獸人掌罟	音古
搏所	音博劉音付後同
觸攫	俱縛反又俱碧反又作擭華霸反
弊田	如字徐蒲計反
注于	之樹反
仆也	普卜反一音芳豆反又音赴
釐所	音來本亦作萊
植虞	直吏反又時力反徐音栽
而珥	徐如志反
以享	許丈反劉音向後皆放此
禴	由若反
祀祊	音方
折	之設反
馘	古獲反
以數	色主反一音所
筋角	音斤
䱷人水偃	於建反徐本作匽一返反
關空	戚音孔下同
王鮪	位軌反
鱻薧	本又作槁苦老反
鼈人取互	戸故反干云對也
㒼	莫干反
簎	戚勑角反劉倉伯反徐倉格反沈槍昔反案莊子云冬則擉鼈於江擉音义角反義與此同今從彼讀
蜃	市軫反鄭云大蛤也干云鰌類
貍物	莫皆反
以􁍦	音义
