春官宗伯第三僉曰	七潛反皆也
曰俞	羊朱反然也李一音由
女秩	音汝
氏姓	如字劉音紙
大廟	音泰下放此
隮	本又作躋子兮反升也
夏父	音甫
釁夏	虚覲反
鬱人	於物反
鬯人	勑亮反
秬	其許反李其虛反
一稃	音孚
鋪之	普吳反又音孚
藉之	在夜反
守祧	他堯反
奄八人	於檢反劉於驗反
周爲	于僞反
才知	音智
三昭	上招反說文作佋
少府	詩照反
冢塋	音營
之長	丁丈反後皆放此
之稱	尺證反
矇	音蒙
眡	音視鄭常至反
瞭	音了又力小反字林同云明也
杜蒯	如字劉音屠下苦怪反
目眹	直忍反本又作䀕或作䀹劉又音睫
之瞍	本又作􁄚素口反說文云無目也字林云目有眹無珠子也先久反
鎛師	音博
韎師	戚莫拜反劉李音妹
味食飲之味	如字又莫介反
菋	莫戒反又音味
荎	直基反劉直棃反李音姪
著	直居反李張慮反
韎韐	古洽反又音閤
籥師	餘若反
猶繹	音亦祭之明日又祭也字書作釋
去籥	起吕反下同
鞮	丁兮反許愼云屨也
鞻	九具反又力具反吕忱云鞮革屨也鞻者靲鞻
所屝	房味反
蹋鼓	徒臘反李吐臘反
沓行	他荅反又如字
謂楯	食允反又音允
菙氏	時髓反
燋	哉約反
焌	音俊又子寸反
問蓍	音尸
眂祲	子鴆反李且祍反
甸祝	音電後不音者同
詛祝	側慮反
謂祝之	之又反
使沮	在吕反沈音敘
馮	音憑
相氏	息亮反注同
宿	劉息就反一音夙
離	力計反
不貣	吐得反或音二
巾車	如字劉居覲反
猶衣	於旣反
大宗伯地示	音祇本或作祇下神示地示之例皆放此下卷亦然
佐王	本或作左音同
享之	許丈反後不音者同
以禋	音因李又音煙
以槱	羊九反本亦作楢音同積也
燎	良召反
飌師	音風
芃芃	薄工反一音房逢反
棫	音域
樸	音卜
三能	他來反下同
圜丘	于權反
以貍	亡皆反劉莫拜反
沈	如字劉直䕃反
疈	孚逼反一音方麥反
共工	音恭
句龍	古侯反下同
厲山	如字本或作烈
爲禩	音祀又作祀
爲罷	如字一音芳皮反
披磔	張格反
亦食此	音嗣下食宗族同
少昊	詩照反下少昊同
曰重	直龍反
該	古來反
蓐收	音辱
不見	賢遍反此内不音者同
四竇	音獨本亦作瀆下同
省文	所景反
磔禳	如羊反
及蜡	士詐反
百種	章勇反
及郵	有牛反
畷	音綴井田間道左思吳都賦云畛畷無數又陟劣反
以肆	他歷反解骨體
祼	古亂反
以禴	餘若反
以烝	之承反
是祫	户夾反
率五	音律又音類
含	戸暗反本亦作唅
襚	音遂
凶札	如字又音截
不縣	音玄
爲火	于僞反下荀偃爲同
以禬	劉戸外反徐古外反
以更	音庚下同
所喪	息浪反
于澶	善然反
曰朝	直遥反注下不出者皆同
更遞	音弟
而徧	音遍下同
猶朝也	張遥反
殷覜	他弔反一音他堯反
竟外	音境
僭	子念反沈創林反
差	初佳反沈初冝反
閱衆	音恱
封疆	居良反
不別	彼列反
昬冠	古亂反
脤	上忍反
膰	音煩
見命	如字下士相見同
以上	時掌反
彪	甫休反
實先	悉薦反下先時同
後之	胡豆反
爲瑑	直轉反
信圭	音身
麤縟	音辱
愼行	下孟反
六摰	音至本或作贄
鶩	音木
守介	音界或作兮扶問反
以繢	胡對反
衣之	於旣反
皮與	音餘
神坐	才卧反後神坐放此
植璧	音值又時力反一音置
黃琮	才宗反
赤璋	音章
白琥	音虎
玄璜	音黃
混	戸本反本又作崑音昆
淪	音倫本又作崙魯門反
各放	方往反
爲制	于僞反
其中	丁仲反又如字
令民	力呈反下同
淫泆	如字本亦作佚
蕩滌	徒歷反
邪穢	似嗟反
道人	音導
急悍	戸幹反劉音旱戚胡板反
其種	章勇反
省牲	本又作眚同息井反後省牲鑊皆同
鑊	戸郭反
玉齍	音咨下同
詔相	息亮反注下同後詔相皆放此
漑祭	古愛反本或作槪
亨牲	普庚反
不與	音預下同
載果	音祼古亂反出注小宗伯職放此
曰儐	必刃反本或作賔同
純衣	側其反
假祖	音格至也
立依	於豈反
南郷	許亮反
以筴	初革反
乃頒	音班
小宗伯威仰	如字劉五郎反
熛怒	必消反
含樞	昌朱反
紐	女九反
招拒	居禹反沈又音巨
汁光	音叶劉子集反
之昭	常遥反
適子	丁歷反同
監門	古銜反
及果	古亂反下同
䰞	音煑
相治	息亮反下相其禮及注同
爲剽	芳遥反或祊遥反
徽識	式志反又昌志反
匪罋	於貢反
公食	音嗣下同
誤與	音餘下侯與同
之衰	七雷反注同
不中	丁仲反注同
爲夫	于僞反下爲取同
師甸	音田下大甸同
類造	七報反注造猶同
牧之	戚音目劉音茂
表貉	莫駕反鄭音陌後表貉皆同
蚩蚘	音尤
之芟	色銜反
載柞	側百反
獮	思淺反
及禜	音詠
酺也	音蒲又音歩
鬱人焦中	子遥反劉似消反本又作鐎音同李又即脩反
造冰	七報反下同
士併	薄冷反
䄠	章善反沈又音但
第	側几反
遂貍	亡皆反
遣奠	弃戰反
斝之	古雅反
之嘏	古雅反
王酳	侯吝反又音胤
脯㸋	音煩
鬯人社壝	唯癸反劉欲鬼反
大罍	音雷或郎追反
壇墠	音善或音禪
禜門	音詠
用瓢	婢遥反
齎	音齊在兮反杜音資
營鄼	作管反
作剽	匹召反
蠡也	力兮反或郎戈反
割去	起吕反
柢	音帝
用脩	音卣羊久反又音由中罇也
凡祼	音埋岀注
用槪	古愛反
凡疈	孚逼反
用散	素旱反注及下注同
獻象	素何反
蚌	歩項反
曰合	音含本亦作含
將	如字本又作漿
設斗	音主注同
給淬	七内反
共介	音界
被之	普皮反又皮寄反
爲執	于僞反
神與	音餘
畛於	之忍反致也
某父	音甫本又作甫
雞人用􁇠	於紏反
嘑旦	火吳反本又作呼
以􁅭	古弔反
以警	音景
朝服	直遥反
比於	毗志反
禳	如羊反
司尊彞泲之	子禮反下同
醴齊	才計反下文注除齊語齊人並同
兩獻	本或作戲注作犧同素何反注及下注汁獻同
斝彞	音嫁
兩著	直畧反注同
朝享	直遥反注朝享朝受政猶朝及下注朝用同
蜼	音誄又以水反
兩大	音泰注同
酌盎	烏浪反
玉琖	莊産反
爲酢	才洛反
彞卣	音酉又音由本亦作攸
蛇虺	上虵下許偉反
射隼	食亦反下荀尹反
禺屬	音遇劉音隅
卬鼻	魚丈反又五剛反
獻酌	素何反司農音儀
涗酌	舒銳反李一音雪
脩酌	直歷反注同
爲數	音朔下同
爲齍	子兮反
挩飾	舒銳反本或作拭
勺而	上酌反下同
齊和	胡臥反
醴醆	莊産反
粢	才計反記作齊音同
緹	音體
舊澤	音亦下曰醳音同
摩莎	素何反
去滓	起吕反
浩酒	胡老反或古老反
司几筵彤	徒冬反
莞	音官又音丸
藻	本又作繅音早
朝覲	直遥反下注來朝朝者同後朝覲朝見之類放此
黼	音甫
依	於豈反下及注同
