夏官司馬第四輿司馬	音餘衆也
行司馬	戸剛反注同行行列也
軍將	子匠反凡軍將將帥之類放此
師帥	所類反下將帥之字皆同
爲卒	子忽反後皆同
卒長	丁丈反卷内不出者放此
一比	毗志反
大祖	音泰下大師及下文大僕同
皇父	音甫
旣儆	本亦作敬京領反
見於	賢遍反下同
廣有	光浪反
作勛	香云反劉音訓
賈四	音嫁注及下同
量人	音亮或音良下同
猶度	待洛反下同
司爟	古喚反
爲燋	哉約反李又音灼
若觀	古喚反下同
火與	音餘
掌疆	居良反注及後同
環人	戸關反劉戸串反
卻也	起略反下同
挈壺	劉苦結反一音結又戸結反
盛水	音成
射鳥氏	食亦反
搏鳥	音博一音付本又作捕音歩
掌畜	許六反注同劉許又反
虎賁	音奔下同
世爲	于僞反
放想	方丈反本或作瓬音同
事䙝	息列反
弁師	皮彦反
大稱	尺證反
鎧也	苦愛反
戈盾	常允反又音允
句子	古侯反下音結
矢箙	音服
槀人	古老反
箭幹	如字沈古旱反
參乗	繩證反
齊右	側皆反下齊僕并注同
大馭	音御
朝覲	直遥反後朝覲皆同
朝朝	上如字下直遥反
莫夕	音暮
校人	戸敎反字從木若從手旁作是比校之字耳今人多亂之注校之校人同
趣馬	七口反劉淸須反注同
皁一	才早反
趣養	淸須反又七口反一音七句反
蹶惟	居衛反
牧師	舊音目劉音茂沈音木
痩人	所求反
數也	色主反數之同
圉師	魚吕反
乗一人	繩證反注同
麗一人	如字耦也
訓道	音導下同
邍	音原
撢人	他南反與探同
以語	魚據反
大司馬制畿	音祈
別也	彼列反下皆同
樂業	如字又音洛一音五敎反
監國	古銜反
詰禁	去吉反
郷民	許亮反
比小	毗志反注同親也
九伐	如字劉扶發反
馮弱	皮冰反馮猶乗陵
眚之	所景反
瘦	所又反
粗者	音麤本亦作麤
其竟	音境
則壇	依注作墠音善
憚之以	徒旦反下同本或無之字
荒蕪	音無
坐殺	才臥反
放弑	本又作殺同音試
獸行	下孟反
悖人	必内反
去之	起吕反
夫唯	音苻
聚麀	於牛反牝鹿也
乃縣	音玄注同
治象	直吏反
挾日	子協反
有分	符問反
所共	音恭凡供字皆作共後放此
假令	力呈反
中春	音仲下放此
列陳	直覲反下之陳可陳陳前徇陳行陳巡陳皆同餘以意求之
蒐狩	所留反
辨鼓	如字劉万免反
鐸	直各反
鐲	直角反
鐃	女交反
賁鼓	扶云反
將軍	如字本或作軍將
執提	徒兮反
鼙	薄兮反
謂鉦	音征
讙	火官反
嘵	女交反
攝提	爾雅云大歳在寅曰攝提格
疏數	音朔下注䟽數同
表貉	莫駕反注同
火弊	婢世反劉薄計反
後射	食亦反下王射同
其豵	子工反
獻肩	詩作豜音同
施生	式豉反
爲禡	莫駕反
茇舎	蒲末反
撰車	息轉反又仕轉反注音算息緩反
萊沛	歩未反一音貝又普貝反
謂數	色主反
簿書	歩古反後簿書皆放此
徽識	音志一音試下同
