冬官考工記第六	鄭云此篇司空之官也司空篇亡漢興購千金不得此前世識其事者記録以備大數爾
與居	音預
監百	古銜反
以上	時掌反凡言以上放此
共工	音恭
面埶	音勢
以飭	音勑下同
以辨	皮莧反具也注及下同
以長	丁丈反下同
操也	匕曹反
販	甫萬反
粤無	音越
鎛	音博田器也注及後同
燕無	音烟
函	戸南反鎧也後同
無廬	魯吳反下皆同本或作蘆
偫乃	直里反
錢	子淺反
斯㨄	音趙一音大了反
含垢	工口反
鎧也	苦代反
爲纑	音盧下同
竹櫕	才官反李音纂
柲也	音秘劉又音筆
摩䥨	力庶反
夫人	徐劉方無反沈音扶
草薉	音穢劉云穢字之異者
燕近	附近之近
矜柲	其巾反李其京反
畜牧	許又反下音目又音茂
知者	音智
創物	初亮反依字作剏
始闓	音開
爍金	徐劉余灼反義當作鑠始灼反
合此	如字劉音閤
爲枳	吉氏反
鸛	徐劉音權公羊傳同本又作鸜左傳同其俱反
鵒	音欲
踰濟	子禮反四瀆水
貉	戸各反獸名依字作貈
踰汶	音問水名
爲猨	音袁
之削	如字李思約思詔二反
妢胡	扶云反
之笴	古老反注作槀同
矢幹	古旦反或古旱反
櫄	勑倫反
箘	其隕反李其轉反
簵	音路
栝	音戸尚書作楛音同
爲邠	彼貧反
以泐	音勒
以澤	音亦李音釋
再扐	音勒
後卦	如字又俱賣反
解散	音蟹
刮摩	古八反
摶	李音團劉音博
埴	時職反
言拍	普百反
黏土	女廉反
作捖	劉音刮戚音完李侯管反
㮚	古栗字
段桃	徐丁亂反劉徒亂反
韗	況万反劉音運本或作䩵同
畫繢	戸對反後同
筐	音匡
㡛	莫黃反
玉楖	側筆反
陶瓬	甫罔反又音甫
侏儒	音朱
榎屬	古馬反字或作檟
爲鞄	匹學反劉音僕
鞄	如兖反柔革工
芒芒	莫黃反下同
放於	甫罔反下同
甒大	音武下音泰
卑宫	如字劉音婢
盡力	津忍反
溝洫	況域反
六畫	音獲
而迆	以氏反後同
崇於	本亦作古崈字
殳長	音殊下直亮反後放此
酋矛	在由反或且州反
皆插	徐劉初輒反戚初洽反
車輢	於綺反劉於寄反車傍也一音起寄反
倚移	於綺反下以氏反下放此
著戈	丁畧反
邪倚	似嗟反
其樸	普剥反劉音僕一音扶禄反
屬	章欲反下及注同
戚速	徐劉將六反李音促注同
附著	直畧反下同
以操	七曹反
作數	色角反下同
則易	以豉反
巳􁃠	音婢
登陁	徐丈爾反劉堂何反李音他輈人同
巳大也	音泰劉他餓反
阪也	音反
乗車	繩證反後乗車皆放此
軹	音只轂末也
轐焉	音卜又音僕
軹	音衛
旃僕	之然反下如字又音卜
軌廣	古曠反後放此
輪人輻牙	音訝下皆同
中冬	音仲下中夏同
以橿	居良反
其鑿	在洛反又曹報反
内	如銳反依字作枘
而合	音閤又如字
輪輮	而久反劉音柔李而又反
輪敝	婢世反徐劉伏滅反
幎爾	莫歷反
諸圜	于權反
均致	直置反下注稹致同
揱	音蕭又色交反又音朔李又所咸反
肉稱	尺證反注同
易直	以豉反
纎殺	色界反劉色例反下同一音如字
揱參	上色交反又音蕭劉音朔下所林反
桑螵	戚毗昭反劉平堯反
蛸	音蕭又音消
其眼	魚懇反
其幬	音疇下同劉又音濤李一音持株反或一音蹈
幔轂	莫干反
則裹	音果
隅見	賢遍反
限切	魚懇反李如字下同切音如字李倉愛反
其綆	依注音餅李方善反又姑杏反玉篇云鄭衆音補管反
其蚤	音爪下同
言餅	必并反劉本頃反
輪箄	劉薄歷反李又方匹反一音薄計反下皆同
爪牙	劉音雅
其菑	側吏反注及下皆同
不齵	五構反一音隅
相佹	九委反
匡刺	洛割反下同
如胾	側吏反
立梟	古堯反
稹理	之忍反本又作稹劉依司農音奠一音眞
不藃	李戚好角反劉呼報反
作秏	呼報反
藃暴	歩角反下同劉歩莫反一音蒲報反
必橈	乃孝反
則柞	莊百反
則摯	讀爲𣙗劉魚列反戚魚結反
迫唶	莊百反
令牙	力呈反卷内皆同
厚一寸	胡豆反後放此
而中	丁仲反
詘之	丘勿反
度兩	待洛反下度之同
之阞	音勒
捎	音蕭
其藪	素口反李一音倉豆反
轂空	音孔
趨也	七住反又七須反下同
去一	起吕反後去一去二皆同
爲賢	如字劉李胡眄反注同
相稱	尺證反下同
陳篆	直轉反
必數	色角反李色住反
轂約	烏孝反又如字
丸漆	如字又胡喚反
量其	音良下量其藪同
鑿	曹報反又如字後同
深	尸鴆反下放同
大扤	五骨反或五活反
而強	其良反劉其尚反
不勝	音升
故竑	獲耕反
而殺	色界反劉色例反注同
之溓	依字力簟反依注音黏女廉反
衰小	劉初危反一音如字
黏著	直畧反下附著同
爲骹	胡飽反又下敎反李又苦敎反
近轂	附近之近
人脛	刑定反
揉輻	而九反又音柔李又奴丑反一音而又反
火槁	劉苦老反沈居趙反
平漸	子亷反下同
無槷	魚列反依注音涅乃結反李一音素結反
倨句	音據
鑿内	如稅反
摋也	素結反
足見	賢遍反注同
綆參	方穎反下七南反又音三
不掉	徒弔反
欲杼	直吕反
欲侔	亡侯反劉莫豆反
是摶	徙丸反李又丈轉反
不甐	本又作鄰音吝李一音鱗
不挫	作臥反李又祖加反
瘣也	胡罪反
中規	丁仲反下同
萭之	姜禹反李又音俱注同
蔞	良主反劉音流下文同李又里俱反
縣之	音玄後皆同
相直	音值
則斵	陟角反
難易	以豉反
杠中	音江
桯圍	讀為楹音盈
信其	音申
部廣	古曠反劉音徑下同
為下	于偽反下為雨同
弓鑿	才報反
蓋橑	音老劉力報反
鑿空	音孔
弓菑	側吏反劉音廁
撓之	乃敎反
剡其	以冉反又才冉反
庇軹	方二反
輨	或作幹俱音管
近部	附近之近
蚤圍	音爪
幾半	音祈
欲卑	音婢下同
隤下	大回反
而霤	力又反
潦車	音老
車與	音餘
殷畝	音隱
不隊	直類反
輿人參稱	尺證反注同
為隧	雖遂反注邃同又音遂注燧同
如鑚	作官反
之較	古學反
兩輢	於綺反劉於既反下同
作榷	音角
植者	直吏反下同
轛	音對又張歳反李一音都回反
繫綴	張歳反
軨立	劉音領又音零下同
鄉人	許亮反
中規	丁仲反下皆同
弘殺	色界反
凡居	如字舊音據
無并	如字又必政反
偏邪	似嗟反
棧車	士板反劉才産反
欲弇	劉於驗反又於檢反
爲其	于僞反
革鞔	莫干反
易坼	以豉反下勑白反
輈人	張留反車轅也方言云楚衛之間韓謂之輈
五楘	音木本又作鞪同
種馬	章勇反
齊馬	側皆反
與轐	音卜舊方木反又音僕
之咸	本又作減同洽斬反
率寸	音類又音律下同
軓前	劉音犯注同
作􁇶	音犯
所尌	音樹
與隧	雖遂反
兩軛	於革反
不勝	音升
其孫	音遜注同
無弧	音胡杜音烏
不汚	李音烏一音紆
今夫	音符
轅摰	竹二反輖也
覆車	芳服反
必易	以豉反下注之易喻易同
輖也	音周一音弔或竹二反
上阪	時掌反下登上同
必縊	一臂反劉一計反
作偪	音逼
不援	音袁
其邸	丁禮反
必緧	音秋
作䱸	音秋與緧同
欲頎	苦佷反
典	音殄又勑殄反注同
馬倚	於綺反
利準	音水又如字下及注皆同
重讀	直用反又直龍反
不楗	杜音蹇鄭音倦
不便	婢面反
不罷	音皮
不契	苦結反注同
需	音須又乃亂反注同
衣衽	而甚反又而鴆反
環灂	子召反李音在學反
之被	皮寄反
沂鄂	魚斤反下五各反
九斿	音留
宿之	音秀下同
象伐	如字劉扶廢反
與參	色林反
東辟	音壁
弧韣	音獨
張幓	所銜反本又作縿同
又爲	于僞反
下齊	才細反下及注皆同
段氏	丁亂反
刃削	如字李音笑下同
鑒燧	音遂
錞于	音淳
豆區	烏侯反
鬴也	音輔
錢鎛	子淺反
則忍	音刃
築氏鋒鍔	五各反
冶氏鋌	徒頂反
三垸	音丸
異齊	才細反
槀中	古老反
句孑	古侯反下句兵同
接柲	音祕
而邪	似嗟反
以啄	丁角反
必橫	劉華孟反又如字
磬折	之設反
而便	婢面反
曼胡	莫干反
三鋝	色劣反又音劣或音環
鍰也	戸關反又于眷反
萊稱	尺證反
中矩	丁仲反注同
與刺	七賜反注同
著柲	直略反
鐏	徂悶反劉祖悶反
折與	音餘
桃氏臘廣	力闔反一音獵李魯頰反
之莖	戸耕反
劍夾	古協反又古洽反下同
鐔	戚音淫徐劉音㝷一音徒南反
於把	劉音霸戚必雅反
易制	以豉反
裨冕	婢支反劉音卑
笏	音忽
虎賁	音奔
說劍	吐活反劉詩恱反
鳧氏兩欒	本又作鸞力端反
之銑	先典反
之鉦	音征
上袪	丘書反徐丘庶反
之甬	音勇
之旋	如字李信犬反
蹲熊	音存
